,State,Metropolitan Areas,Race with the Machine,Interpersonal Task,Group Task,Conflict Resolution,Management and Supervision,Race ahead of the Machine,Communication,Systems Analysis,Creative and Critical Thinking,Changing the Course of the Race,Routine Problem Solving,Information Processing,Race against the Machine,General Physical Task,Dynamic Physical Task,Running a Different Race,Equipment Maintenance,Vehicle and Equipment Operation,Machine Control,Hazardous Task
20,AZ,Lake Havasu City-Kingman,0.028548805821869905,0.008320091278307462,0.003995524670003393,0.012832510883266084,0.0034006789902929595,0.006295226284395161,0.006442002123307464,0.0001720036052559933,-0.0003187794441682976,-0.008883173056993099,-0.005524241278804548,-0.0033589317781885404,-0.011160367341578879,-0.005768916987850828,-0.005391450353728053,0.0008087047654866675,0.000574072830906245,0.0011736512706944366,0.002162655088132872,-0.003101674424246893
21,AZ,Phoenix-Mesa-Scottsdale,0.02828371403913682,0.008153291040982856,0.003541038938514568,0.009874251296148244,0.006715132763491168,0.0151319818512317,0.010040047844133218,0.0028242798239747897,0.0022676541831236803,-0.00502232727446679,-0.005065845788728283,4.351851426149384e-05,-0.007168099386523004,-0.0033590132056607394,-0.0038090861808622654,-0.0063416380598663715,-0.0008929800577745297,-0.003550915183565345,0.0001017037165884256,-0.0019994465351149265
22,AZ,Prescott,0.034706124792860164,0.012065262517517245,0.004457531860036192,0.011449586573271331,0.006733743842035386,0.009858361995984888,0.00806180678603631,0.0014026269803435606,0.00039392822960500687,-0.00947550789780964,-0.0069011196574714564,-0.002574388240338191,-0.008432924335705153,-0.0029560798078650946,-0.005476844527840058,-0.00891789220061584,-0.000429476466591713,-0.0053176851081971,0.00016176849730857937,-0.0033324991231356016
23,AZ,Tucson,0.02969543266743702,0.009858463540611824,0.003851482724419911,0.009816669194939738,0.006168817207465553,0.01495608678932016,0.01150740379688827,0.00215927559739822,0.0012894073950336616,-0.005931698365970031,-0.00572286314115892,-0.00020883522481111166,-0.003299126224663496,-0.0019275378671831656,-0.00137158835748033,-0.007794943756472189,-0.0008224125733217942,-0.004151420032162165,-0.0008867268756446098,-0.00193438427534362
24,AZ,Yuma,0.0317945295498893,0.011866132755657885,0.004072057537684463,0.010125229115775332,0.005731110140771621,0.015084181534318732,0.012160726079841805,0.0018827341116447586,0.0010407213428321807,-0.004487232665263144,-0.003228097523088509,-0.0012591351421746414,-0.005979527891840572,-0.0042772882506650345,-0.0017022396411755375,-0.010635950789601887,-0.0009341553642613424,-0.004108879262666731,-0.0009447929212133484,-0.004648123241460491
25,CA,Bakersfield,0.019755996438456325,0.005564322851242157,0.003401082186917505,0.007036394846201236,0.0037541965540954475,0.008114840540367249,0.006226839275956596,0.0014922663953125439,0.0003957348690980991,-0.003774737017703617,-0.003579370300160208,-0.00019536671754340557,0.007846152007267945,0.0015115333273742412,0.006334618679893704,0.002565706969749809,-0.0002601278411213208,0.002468518420790586,0.0009654141192597976,-0.0006080977291792433
26,CA,Chico,0.0276653173896087,0.006471389081681649,0.003725088528470231,0.01016948137191663,0.0072993584075401845,0.00912833282414921,0.005376768582376429,0.002380790194899273,0.0013707740468735135,-0.009837039683641774,-0.007885788995095427,-0.0019512506885463606,0.0017510780674438592,0.002234515717219339,-0.0004834376497754797,0.0012067710330018327,0.0009111385391518608,-0.0007606742827555926,0.001233770824367101,-0.00017746404776152957
27,CA,El Centro,0.031167404790146583,0.008782172946577141,0.003612110090954383,0.015021125212590247,0.003751996540024813,0.010005349391564113,0.009566014055670334,0.0012978637580177994,-0.0008585284221240205,-0.0036411624084313476,-0.0027455870238679157,-0.0008955753845634357,0.0022586394049315807,0.0007786969833123504,0.0014799424216192306,-0.018889595159695155,-0.0022489415103423786,-0.010535227223939585,-0.0004999514971428981,-0.005605474928270283
28,CA,Fresno,0.027991090723930204,0.007718671863694286,0.003766746910156937,0.012524983972704837,0.003980687977374154,0.007060746826968847,0.0073788235769893734,0.0006610633086876308,-0.0009791400587081543,-0.005751997198876854,-0.0046691146999032,-0.0010828824989736544,0.01052007884231801,0.0041495684277988104,0.0063705104145192,0.003057360426024017,0.00021324892558604103,0.003015702125087193,0.0005359172576041224,-0.0007075078822533429
29,CA,Hanford-Corcoran,0.026214872308013448,0.007720982592450131,0.0040222182011008575,0.011317087475340812,0.003154584039121635,0.009169320821982728,0.010056154846181616,0.00024385111670146767,-0.0011306851409003619,-0.013098354679439456,-0.009432119803365065,-0.0036662348760743975,0.005894123226052983,6.624335465347382e-05,0.005827879871399515,0.007284340348253621,-0.0020161408094146425,0.009324850341563287,-2.305302835882428e-06,-2.206388105915544e-05
30,CA,Los Angeles-Long Beach-Anaheim,0.02750891458824665,0.007114791170435647,0.003918562699517545,0.01070055611234532,0.005775004605948143,0.01052540098428878,0.0069801828608757254,0.002161509866603632,0.0013837082568094253,-0.004070785402029431,-0.004229508783138637,0.00015872338110922007,0.004852235741784797,0.001625780127771391,0.0032264556140133988,0.0009121682901563344,-0.0004209642815337939,0.0003879720111117299,0.0009007916667385547,4.436889383985926e-05
31,CA,Madera,0.011890619031380806,0.0046820435300503754,0.0030921892373991337,0.001947719478276204,0.0021686667856550853,0.0023775771827817954,0.003332543263674173,-5.174372269609907e-05,-0.0009032223581962752,-0.014558605020606913,-0.00934402638550607,-0.0052145786351008435,0.013397445709135591,0.003856789064797243,0.009540656644338348,0.017015332328946753,0.00221345660695314,0.011599410952702352,0.00161680752535745,0.0015856572439338355
32,CA,Merced,0.021655198364663897,0.005337559942313781,0.00405674494197907,0.008866411870585282,0.003394481609785782,-0.00311426093892822,-0.00030761449531606366,0.0006768742607821416,-0.003483520704394295,-0.012655335057458332,-0.008578806003312886,-0.004076529054145451,0.009749602845419036,0.0019039201200542891,0.007845682725364754,0.006927784743630483,0.00014165090903451617,0.0036140969479089703,0.0020987271231169176,0.0010733097635700732
33,CA,Modesto,0.02122692078698501,0.005329758823474681,0.004032170188051248,0.008650245991976821,0.003214745783482267,0.0036019681764292155,0.004613983401297261,0.0003471181036639945,-0.0013591333285320314,-0.007770995521287002,-0.005316594302560804,-0.0024544012187261953,0.003346401939929453,0.0011990429686507265,0.0021473589712787326,0.011896194151329116,0.0012653997728817726,0.00586157925268433,0.0027515189165359666,0.0020176962092270483
34,CA,Napa,0.02942472128093417,0.011649923018265984,0.0028334312786924107,0.009939910943158506,0.005001456040817247,0.0054399871221966776,0.003956759923585553,0.0010417056492052679,0.00044152154940586835,-0.013144655408785013,-0.010279400721994202,-0.0028652546867908024,0.0033773068298057485,0.0014466664995203065,0.0019306403302854426,-0.0048337158711974785,-0.0005340344722002122,-0.0018370649789576574,-0.00037881931802458135,-0.0020837971020150198
35,CA,Oxnard-Thousand Oaks-Ventura,0.024976681468995617,0.006763167577401578,0.0039589185731470295,0.009895083763277772,0.00435951155516922,0.005834131313228838,0.0051117529914772525,0.0006867390300342724,3.5639291717314e-05,-0.006831832760687773,-0.004752472340567936,-0.002079360420119837,0.0042041954585080865,0.001486588944396086,0.0027176065141120004,0.0034019630233549786,-0.00021093527533673148,0.0012092117643355133,0.00132677224851821,0.001076914285837994
36,CA,Redding,0.032154006492588344,0.009030950834296196,0.003706269726152735,0.013882546053752021,0.005534239878387377,0.00709624214631857,0.0062936885675872745,0.0015840874830202415,-0.0007815339042889294,-0.00465689511720524,-0.00583757174167035,0.001180676624465117,-9.568233611381703e-06,0.00033938688731468414,-0.00034895512092606584,-0.004096430154274258,-0.00013730419627979058,-0.004506442410735939,0.0017214633687539851,-0.0011741469160125168
37,CA,Riverside-San Bernardino-Ontario,0.02334961150666423,0.004849270887571824,0.004368371543081199,0.010196637399496195,0.003935331676515028,0.0023231269021598837,0.002900403845369423,0.0005826881650207536,-0.0011599651082302984,-0.007293963550595389,-0.0044942275259179315,-0.002799736024677455,0.008484427802551861,0.00452351686425076,0.003960910938301109,0.007036674684446395,0.00031286538875578696,0.0039784851515047145,0.0019564284066961347,0.0007888957374897441
38,CA,Sacramento--Roseville--Arden-Arcade,0.024115104059391324,0.005616278375780146,0.003389455129207216,0.009444050386077095,0.005665320168326896,0.007828065563864811,0.004607892191482138,0.0025883090989047178,0.0006318642734779513,-0.007606083485860227,-0.006271070514576746,-0.0013350129712834669,0.00891555430512217,0.004760301141945879,0.004155253163176304,0.00765206054662694,0.0014445289544483544,0.0025675968335128053,0.001806550159919349,0.0018333845987464415
39,CA,Salinas,0.015292324259029128,0.00396475692425758,0.0023609119144586623,0.0061137383946004925,0.002852917025712377,0.0006017359862122568,0.0021372073200652537,-0.00034127163157413043,-0.0011941997022788741,-0.010950082054236893,-0.007186375599519291,-0.0037637064547176025,0.015865144971126705,0.005173039034576825,0.01069210593654988,0.013570774810888891,0.0008340905917139704,0.010336686650114191,0.0014301544725180484,0.0009698430965426676
40,CA,San Diego-Carlsbad,0.02436528546115363,0.0064193180538396405,0.0033767801394101013,0.008116457678632727,0.0064527295892711604,0.01195526879192496,0.007660983876365102,0.0030019659169412856,0.0012923189986185635,-0.001657856261914864,-0.002737639509486134,0.0010797832475712699,-0.00020959136970147285,0.0006504722305241961,-0.0008600636002256759,0.004592157024186916,0.0009260394081799274,0.0010987370033764962,0.0016651500825240542,0.0009022305301064347
41,CA,San Francisco-Oakland-Hayward,0.021426172492575283,0.00460938848049411,0.003181965349263596,0.007476230553001859,0.006158588109815719,0.014763835790374588,0.008193573566620517,0.004658717912691492,0.0019115443110625761,-0.0009873854750735297,-0.002679661194594986,0.0016922757195214566,-0.0006525616654052546,0.0003421195867956001,-0.0009946812522008408,0.0026022967687309856,0.0003929994437847084,0.001265223381021283,0.000959471118298496,-1.5397174373505546e-05
42,CA,San Jose-Sunnyvale-Santa Clara,0.020770424614171862,0.00526636943738195,0.0035908961433363702,0.006114896883132187,0.005798262150321351,0.02275115974685539,0.014347585498942328,0.004838784817152605,0.003564789430760447,0.00560193412982804,0.0016556558327209885,0.003946278297107053,-0.0033578494296445105,-0.0013080918520513851,-0.0020497575775931184,-0.003370824639131284,-0.0016205207451009016,-0.001363342987007278,4.4700760142683115e-05,-0.00043166166716579815
43,CA,San Luis Obispo-Paso Robles-Arroyo Grande,0.02504324009309708,0.007301011213945227,0.0033718206313852537,0.008259182585044406,0.006111225662722205,0.0067109794537034565,0.004839429652485378,0.002389948066863537,-0.0005183982656454604,-0.008482367693781134,-0.006356584592335568,-0.0021257831014455664,0.001982524171547692,0.002247495591992284,-0.00026497142044459854,0.003014206935404468,0.0007749628421824129,0.0014899442132818436,0.0012441601786390944,-0.0004948602986988813
44,CA,Santa Cruz-Watsonville,0.025807290570459662,0.005302383209290849,0.0038078173703596134,0.010714176098906049,0.0059829138919031384,0.00310885968284029,0.0033901866527003967,0.0008056805406595462,-0.0010870075105196518,-0.007100252497772353,-0.0055886659145666364,-0.0015115865832057152,0.003203598961558668,0.002058926638384931,0.0011446723231737302,0.0073713110530053685,0.0004952593389710123,0.0016105276731207055,0.002542341291977189,0.002723182748936469
45,CA,Santa Maria-Santa Barbara,0.02202367255701952,0.004632218009038999,0.003506207669228876,0.007791898683848601,0.00609334819490305,0.0011163296516817633,0.00048136962663468397,0.0009850114874042446,-0.00035005146235717386,-0.008600296898148535,-0.005962297887678636,-0.002637999010469891,0.00695665069081397,0.0037856466559323117,0.0031710040348816577,0.009137867519154809,0.00022759700388868057,0.004584041722286859,0.0019290726713638922,0.0023971561216153715
46,CA,Santa Rosa,0.023403831578081624,0.006899692639192079,0.0031275125970327247,0.008491670394757511,0.004884955947099309,0.004080827207300089,0.0036536000648389397,0.0008532435737394796,-0.00042601643127833724,-0.008655125584867002,-0.006641981016833755,-0.002013144568033254,0.006227040656951288,0.003726084404264425,0.0025009562526868627,0.004459495674589808,0.000557712673373404,0.001486208865737082,0.0012514825714404554,0.0011640915640388702
47,CA,Stockton-Lodi,0.024192571070498728,0.006365802056130125,0.004088804586874382,0.009450673682750238,0.004287290744743981,0.0049953211198544714,0.005648205786288892,0.00034442609495483924,-0.0009973107613892671,-0.006291777147023489,-0.004605234086681259,-0.0016865430603422195,-0.0004042520376650455,-0.0015131890798416386,0.0011089370421765998,0.013823461222725096,0.000944145831492882,0.007731088270470894,0.002203870434794281,0.0029443566859670453
48,CA,Vallejo-Fairfield,0.0247935953788336,0.005066937017038059,0.00381851129432441,0.010677844410486527,0.005230302656984619,0.0044709452206555395,0.0042338461541898825,0.0015033880440007905,-0.0012662889775351266,-0.005896969402135868,-0.0045448637378132295,-0.0013521056643226311,-0.0012369676886134493,0.001140510333914331,-0.0023774780225277875,0.00874518061944321,0.002541193486117411,0.0010637245516889671,0.0029275057520242,0.0022127568296126526
49,CA,Visalia-Porterville,0.017112534983978425,0.004948994030892898,0.003051901893952408,0.007075005072159191,0.0020366339869739287,0.0026534619195481557,0.003175204590544517,0.0002376356195434269,-0.0007593782905397847,-0.011362083043119642,-0.007460930606985258,-0.0039011524361343905,0.010697379999374604,0.0027087942403083783,0.007988585759066233,0.00422315512705651,-0.00013199567230838885,0.0038065758762152453,0.0006811224922851357,-0.00013254756913549243
50,CA,Yuba City,0.017810166054272058,0.0030319295354111282,0.003295056914640201,0.008755182567303961,0.002727997036916757,0.001008697798834446,0.003469364889469355,0.00022079719338855342,-0.002681464284023471,-0.012147790362899856,-0.007936308349290239,-0.0042114820136096185,0.007324532696417141,0.004620678701971213,0.002703853994445921,0.013499378909714213,0.001865944546987153,0.0062849840100285895,0.0031943484034378834,0.002154101949260582
51,CO,Boulder,0.021212833561284592,0.0048665041812811505,0.003330123102803577,0.0059674844777932385,0.007048721799406622,0.01316244964983887,0.007203655172436944,0.002603436410208593,0.003355358067193337,-0.00035087044823645114,-0.002944315957336442,0.002593445509099984,-0.003086527023260219,8.875965605688318e-05,-0.003175286679317102,0.003903799208953146,-0.0003466658855965782,0.0010067523954650009,0.001188949773130686,0.0020547629259540304
52,CO,Colorado Springs,0.0265146716656226,0.00798763004506721,0.0035310583270993603,0.00888403470343635,0.0061119485900197135,0.010726595742506355,0.007333416050147909,0.0024587023460375147,0.0009344773463209332,-0.005246632078515404,-0.004241466958866493,-0.0010051651196489179,-0.0002567938999674113,0.0016131234315353293,-0.0018699173315027406,0.005672603013446076,0.00025743216550932693,0.003145806176814661,0.0012564142685591235,0.0010129504025629538
53,CO,Denver-Aurora-Lakewood,0.023891629743162,0.0063420169637875634,0.003633050259545747,0.00803274116150888,0.005883821358319804,0.013832158901543769,0.007984764458838826,0.003354362248707464,0.0024930321939974874,-0.001998304772959245,-0.0033394912210568607,0.0013411864480976155,8.950992527961832e-05,0.001022978584480777,-0.0009334686592011726,0.0018128842474827433,0.0004987227126457723,0.0005871363318571202,0.0007635623075587307,-3.6537104578900775e-05
54,CO,Fort Collins,0.02239006175151501,0.006030463139186891,0.003392957826903383,0.006991127219129728,0.005975513566295009,0.01668722643179489,0.009999008537855021,0.004359674130844786,0.002328543763095089,-0.0009420838605769671,-0.00235672860375441,0.0014146447431774498,-0.01040154503776214,-0.002347215556451676,-0.00805432948131047,0.0049917962443357935,0.0020497128224982626,0.0010461032934693665,0.0015118795715247345,0.0003841005568434239
55,CO,Grand Junction,0.03510328736954412,0.009071622997389528,0.004572701924696651,0.01450076983298697,0.006958192614470953,0.011807384517810672,0.00767804552988885,0.0018220978406888434,0.0023072411472329648,-0.00559005066952109,-0.0044710802426789695,-0.001118970426842128,-0.004857335560914375,-0.0004627696842749718,-0.004394565876639403,-0.004686511756581496,0.00035993149527160234,-0.004446700720665935,0.0008468332502981207,-0.001446575781485302
56,CO,Greeley,0.021971744594656187,0.005786404657508189,0.0034212067303898176,0.0076170609659270095,0.005147072240831156,0.0024634246473440318,0.0012572878055919364,0.0012986954337814904,-9.255859202937992e-05,-0.009969843938277462,-0.006766163693016664,-0.0032036802452608017,-0.0037856009662180228,-0.0014647335545883294,-0.0023208674116297,0.017602971119683675,0.0031684863495280192,0.007020127708655705,0.0035735193518645725,0.0038408377096353923
57,CO,Pueblo,0.0339226130432433,0.008408829738004227,0.004840451396492312,0.011897276606569264,0.008776055302177507,0.008597098642520257,0.0018634212993985449,0.0033126269323494363,0.003421050410772269,-0.006205384899503383,-0.005987787285314364,-0.00021759761418901904,-0.0063522257925566475,-0.0018837798181842863,-0.004468445974372355,0.006146322853174069,0.0010014602808784846,0.0023821949254735557,0.0016825156550281904,0.0010801519917938394
58,CT,Bridgeport-Stamford-Norwalk,0.02510705791577625,0.007321440778087586,0.004128795632125136,0.007832636408104839,0.005824185097458693,0.009063363803841805,0.005938791377321562,0.0017772885624469,0.0013472838640733453,-0.009393402759846405,-0.0064364988917991256,-0.00295690386804727,0.0010319507314854037,0.0006694952149056549,0.00036245551657973496,-0.00055851796192051,-0.0009369433573036824,0.00011067670452841875,7.294055841440897e-05,0.00019480813244035156
59,CT,Hartford-West Hartford-East Hartford,0.02254347584361574,0.0061254377080774474,0.0038401814493972015,0.006275347119732272,0.006302509566408831,0.01273321601324863,0.007873148783580933,0.002953457965838201,0.0019066092638294965,-0.005744576293870041,-0.00620424185259285,0.00045966555872280906,-0.0015323429943934765,-0.00017759466871548196,-0.001354748325678001,0.0006405980602389866,-0.0003687143397275161,0.000879976967779552,0.00032986996403341565,-0.00020053453184646486
60,CT,New Haven,0.024109253389795,0.006927312937993202,0.003917867046018233,0.007887195778215894,0.005376877627567684,0.009987320627179969,0.00803379909589383,0.0015475261845753555,0.00040599534671078777,-0.006371151314957871,-0.005550119435548756,-0.0008210318794091218,0.0017214393073188144,0.001261234875735269,0.00046020443158353847,0.00148188875409154,-0.0004834072054782576,0.001080803480674141,0.0006063448336080905,0.0002781476452875624
61,CT-RI,Norwich-New London-Westerly,0.02550189732532296,0.007455921723410225,0.0037454927418271978,0.007418382582726292,0.006882100277359232,0.010744316070518706,0.0067330309929704854,0.0028349372457708005,0.0011763478317774086,-0.0054732103751472675,-0.004509655308919183,-0.0009635550662280764,-0.007639951036711196,-0.0018786345002377578,-0.0057613165364734506,0.0039457654410920565,0.001252657000431083,0.0024528037512423014,0.0006328106865514696,-0.0003925059971327943
62,DC-VA-MD-WV,Washington-Arlington-Alexandria,0.02674699567071878,0.007586441733385713,0.003326640307505789,0.007927585744510267,0.00790632788531703,0.017331573350828675,0.009698529321882587,0.004448016402471056,0.003185027626475021,-0.0014040995059219632,-0.0023240460944842158,0.0009199465885622453,-0.0021583112270351784,-0.00052005939252096,-0.0016382518345142286,-0.0021332607922782687,-0.0016858010612174625,0.00035163404195975514,-0.00030033248225462203,-0.0004987612907659464
63,DE,Dover,0.02694379235664482,0.007335350138400497,0.0046672662385709605,0.009064639017033478,0.005876536962639855,0.00813292934417105,0.0074680877331817904,0.0014185442289664644,-0.0007537026179772026,-0.008302534708640119,-0.00466089226987295,-0.003641642438767169,-0.010682688331563191,-0.003665638216315492,-0.007017050115247697,0.007605761994641551,0.00011863439697903413,0.004524722207145261,0.0017992637875308309,0.0011631416029864207
