,State,Metropolitan Areas,Automation Index,Race with the Machine,Communication,Managerial Task,Clerical Task,Equipment Maintenance,Race against the Machine,Information Processing,Perceptual Task,Equipment Operation,Operation Monitoring,Physical Task,Race ahead of the Machine,Strategic Thinking,Running a Different Race,Dynamic Physical Task,Hazardous Task,Group Task,Conflict Resolution,Creative Thinking,Changing the Course of a Race,Routine Task
10, AL,Mobile,0.415607171,2.518147119,1.235163259,0.503541282,0.667747133,0.111695443,-1.902618592,-0.542261421,-0.303649097,-0.065080004,-0.54491991,-0.44670816,-0.02146886,-0.02146886,0.083591199,-0.341862867,-0.053550896,0.172038923,0.412530865,-0.105564827,-0.262043694,-0.262043694
11, AL,Montgomery,0.343040581,1.967364385,0.950105302,0.460757443,0.376088063,0.180413576,-1.433334499,-0.566864983,0.013861571,0.127558206,-0.494526315,-0.5133629789999999,-0.03455827,-0.03455827,0.147386626,-0.306454083,0.034811929,0.187122838,0.345658335,-0.113752394,-0.30381766,-0.30381766
12, AL,Tuscaloosa,0.33481230300000003,2.035665568,0.950240521,0.6359737670000001,0.253696327,0.195754953,-1.723189425,-0.5612821579999999,-0.272583132,0.138165614,-0.463080207,-0.564409543,0.183278253,0.183278253,0.146513207,-0.346553072,0.032078748,0.202707493,0.38115521,-0.122875172,-0.3074553,-0.3074553
13, AR-MO,Fayetteville-Springdale-Rogers,0.321842495,2.89969865,1.097724025,1.046198412,0.730123705,0.025652508,-2.7071819560000003,-0.252375675,-0.437592795,-0.6406279570000001,-0.425953157,-0.950632371,0.5169577879999999,0.5169577879999999,-0.247251851,-0.669710657,-0.354846307,0.202888696,0.501169914,0.073246503,-0.140380136,-0.140380136
14, AR-OK,Fort Smith,0.443465308,2.677640306,1.251650655,0.8405637970000001,0.724134781,-0.13870892699999998,-2.322407121,-0.3731818770000001,-0.418498104,-0.353550971,-0.623341911,-0.553834258,0.166892588,0.166892588,0.06735360900000001,-0.408573046,-0.364737725,0.258179769,0.68335589,-0.10087128,-0.146014074,-0.146014074
15, AR,Hot Springs,0.253230424,2.6337331880000003,1.4198945180000002,0.8175705740000001,0.22192494,0.17434315600000005,-2.105411398,-0.97522257,-0.164398309,0.049331315999999986,-0.566912164,-0.44820967,0.113489476,0.113489476,0.09368509,-0.792112389,-0.060905402,0.216880334,0.8282480590000001,-0.098425512,-0.482265932,-0.482265932
16, AR,Jonesboro,0.449244683,3.044656906,1.464389575,0.753553771,0.798880172,0.027833388,-2.554352858,-0.781874805,-0.312138246,-0.183179962,-0.441957035,-0.8352028090000001,0.182195016,0.182195016,0.010052247,-0.647723887,-0.073998121,0.293059913,0.492677232,-0.05396289,-0.233306628,-0.233306628
17, AR,Little Rock-North Little Rock-Conway,0.285392103,2.219436571,0.931266636,0.845296875,0.398314408,0.044558651,-1.94003343,-0.336948766,-0.341615189,-0.17772045600000005,-0.594588491,-0.489160528,0.229250665,0.229250665,0.11687408,-0.395312849,-0.14220485900000002,0.217137936,0.4985279620000001,-0.06127411,-0.340135783,-0.340135783
18, AR,Pine Bluff,0.439876517,3.114501174,1.63213955,0.6863348640000001,0.890626965,-0.094600205,-2.693314015,-0.405367939,-0.362911626,-0.543477541,-0.323399296,-1.058157614,0.222621031,0.222621031,-0.027707674,-0.717546233,-0.273940715,0.363700752,0.685230075,-0.08515155199999999,-0.176223999,-0.176223999
19, AZ,Flagstaff,0.612381242,2.671352923,1.114699663,0.869274531,0.535380506,0.15199822300000002,-1.482068973,-0.436997049,-0.232102999,0.135755891,-0.478911941,-0.469812874,-0.005337102,-0.005337102,-0.457195333,-0.746944666,-0.265210701,0.216312596,0.463331488,-0.12468405,-0.114370273,-0.114370273
20, AZ,Lake Havasu City-Kingman,0.53896973,2.766352459,1.446309948,0.69919488,0.529838235,0.091009397,-2.062748409,-0.545535133,-0.444415189,0.113992737,-0.481400457,-0.705390367,0.05078969,0.05078969,-0.030013843,-0.68420086,-0.190048935,0.234827786,0.7967235020000001,-0.18731533600000005,-0.185410167,-0.185410167
21, AZ,Phoenix-Mesa-Scottsdale,0.283593286,2.534840005,1.188026744,0.822642531,0.633336161,-0.109165432,-2.38645498,-0.27329200000000003,-0.691196246,-0.267892483,-0.53962805,-0.614446201,0.283258062,0.283258062,0.108507433,-0.543674594,-0.184574209,0.16585734,0.7057899329999999,-0.034891037,-0.256557234,-0.256557234
22, AZ,Prescott,0.425544113,2.8208746380000003,1.476848274,0.956726883,0.462742216,-0.075442735,-2.425865844,-0.463085499,-0.799682353,-0.221828217,-0.432868083,-0.5084016920000001,0.195499947,0.195499947,0.098504543,-0.648304113,-0.339268814,0.316353,0.839588143,-0.069863673,-0.263469171,-0.263469171
23, AZ,Tucson,0.285051512,2.392135615,1.158963208,0.648239266,0.716829191,-0.13189605,-2.095725102,-0.312367429,-0.479507272,-0.284596199,-0.583154579,-0.436099623,0.038210195,0.038210195,0.245130095,-0.300465332,-0.176538062,0.18281804,0.6108997620000001,-0.071584312,-0.29469929100000003,-0.29469929100000003
24, AZ,Yuma,0.576070035,2.988249648,1.462283087,0.615201856,1.016578281,-0.105813576,-2.588058911,-0.36152396,-0.6693493970000001,-0.375419427,-0.453958238,-0.727807889,0.068731403,0.068731403,0.11287131,-0.391486084,-0.482168799,0.307815553,0.7825739559999999,-0.103863315,-0.005723415,-0.005723415
25, CA,Bakersfield,0.363958193,1.083417328,0.620059755,0.347385225,0.187864435,-0.07189208700000001,-1.132041428,-0.363246974,-0.140289253,-0.053394663,-0.498313086,-0.076797453,0.027231979,0.027231979,0.65337507,0.470748979,-0.211245845,0.200749294,0.330293558,-0.137170917,-0.26802475600000003,-0.26802475600000003
26, CA,Chico,0.113258174,1.427357209,0.65487822,0.711019168,-0.104966805,0.166426625,-1.4352778169999998,-0.5961760629999999,-0.25245319,-0.014229892,-0.66312356,0.090704889,0.078672653,0.078672653,0.58007168,-0.144975037,-0.054627526,0.122963827,0.823443725,-0.166733309,-0.53756555,-0.53756555
27, CA,El Centro,0.374966633,2.081609103,1.199549423,0.422057076,0.712899851,-0.252897246,-2.633903081,-0.234348665,-1.25575273,-0.658271527,-0.485830029,0.00029987,0.045670723,0.045670723,0.937623245,0.130826306,-0.56645027,0.282141344,1.225796245,-0.13469038,-0.056033356,-0.056033356
28, CA,Fresno,0.222253237,1.391243669,0.7735326379999999,0.414984053,0.298115833,-0.095388855,-1.79229309,-0.450753632,-0.33323263,-0.270977039,-0.61252894,-0.124800849,-0.027734539,-0.027734539,1.022256921,0.258715496,-0.199798127,0.2366733,0.878160687,-0.151494435,-0.371219724,-0.371219724
29, CA,Hanford-Corcoran,0.399195965,1.541200402,0.708427177,0.409673533,0.532278726,-0.109179035,-1.048251032,-0.548559275,0.409034175,0.175834983,-0.600873007,-0.483687907,-0.005769804,-0.005769804,0.224965764,-0.146863432,-0.017213344,0.245821159,0.374808192,-0.23158681,-0.312949365,-0.312949365
30, CA,Los Angeles-Long Beach-Anaheim,0.133196035,1.147011763,0.6602086429999999,0.517686106,0.057044732,-0.087927718,-1.400281062,-0.378578886,-0.268534552,-0.157089852,-0.563527778,-0.032549993,-0.017807485,-0.017807485,0.79458889,0.127860454,-0.061705045,0.134913565,0.7066306290000001,-0.113110713,-0.390316071,-0.390316071
31, CA,Madera,0.049118336,0.266211241,0.625200493,0.23375331,-0.427508573,-0.165233989,-1.095472089,-0.564628957,-0.108703575,-0.020366483,-0.762421435,0.360648361,-0.078177735,-0.078177735,1.539249348,1.197695211,-0.389171154,0.22899139,0.643234352,-0.141500452,-0.582692429,-0.582692429
32, CA,Merced,0.42520422,1.278134455,0.758975999,0.291070899,0.176572203,0.051515354000000006,-1.28569116,-0.625575039,0.019988931,0.149609403,-0.7270676759999999,-0.102646779,-0.197579089,-0.197579089,0.8632703759999999,0.353182537,0.031629988,0.225141454,0.493603993,-0.240287595,-0.232930362,-0.232930362
33, CA,Modesto,0.378011957,1.702372004,0.913942593,0.477783863,0.355464465,-0.044818917,-1.499835464,-0.591499643,-0.09581769,0.06401760299999999,-0.654964192,-0.221571542,-0.060543686,-0.060543686,0.463242426,-0.006247683,-0.170650561,0.23220493600000006,0.579555586,-0.17161985300000002,-0.227223322,-0.227223322
34, CA,Napa,0.200377199,1.821710296,1.253165818,0.627943374,0.041503666,-0.100902561,-1.706770013,-0.50361166,-0.492123515,-0.105972115,-0.780248313,0.17518559,-0.128181805,-0.128181805,0.7839463870000001,0.380465604,-0.252568144,0.066846381,0.7636576420000001,-0.174455096,-0.570327665,-0.570327665
35, CA,Oxnard-Thousand Oaks-Ventura,0.21853686,1.282296797,0.920930097,0.443788353,0.015489706,-0.097911358,-1.4436181280000002,-0.489524001,-0.223558753,-0.05783573700000001,-0.600295341,-0.072404295,-0.100629052,-0.100629052,0.8364553240000001,0.091293166,-0.033794127,0.151736461,0.7484292840000001,-0.12120946,-0.35596808,-0.35596808
36, CA,Redding,0.325281986,2.434047662,1.270683771,0.72593421,0.513818281,-0.07638860000000001,-2.2815742180000003,-0.193236034,-0.704566824,-0.347027858,-0.7069710990000001,-0.329772402,0.148139616,0.148139616,0.310539262,-0.3886055470000001,-0.233200901,0.216041969,0.935836104,-0.219532364,-0.285870335,-0.285870335
37, CA,Riverside-San Bernardino-Ontario,0.329236305,1.084776035,0.6205967370000001,0.39610564,0.039387465,0.028686193,-1.186577348,-0.575178741,-0.04850602,0.097993513,-0.605928576,-0.054957524,-0.10930935,-0.10930935,0.802101229,0.139632955,-0.011743239,0.217494683,0.621255198,-0.16453836800000002,-0.261754261,-0.261754261
38, CA,Sacramento--Roseville--Arden-Arcade,0.153472269,1.219231875,0.499817343,0.506561057,0.207816018,0.005037458,-1.273806604,-0.400563371,-0.1658927,-0.054703856,-0.693818967,0.041172291,0.038799063,0.038799063,0.596121895,0.059045468,0.007025704,0.123747585,0.519337674,-0.113034535,-0.426873961,-0.426873961
39, CA,Salinas,0.312030337,0.529971996,0.415026783,0.316608945,-0.210805156,0.009141424,-0.425568932,-0.537813063,0.312371614,0.249296769,-0.680238595,0.230814344,-0.187690613,-0.187690613,0.8045177379999999,0.70876485,-0.247682628,0.132451051,0.404676464,-0.193691998,-0.409199853,-0.409199853
40, CA,San Diego-Carlsbad,0.344263158,1.473113743,0.597220929,0.5593024120000001,0.283038646,0.033551756,-1.144300208,-0.271507586,-0.25348473,-0.00524427,-0.479319568,-0.134744054,0.020667004,0.020667004,0.228399016,-0.225108369,-0.044855423,0.092096367,0.4974060770000001,-0.091139636,-0.233616397,-0.233616397
41, CA,San Francisco-Oakland-Hayward,0.16353003900000002,1.108963374,0.479002471,0.5561769679999999,0.08684076,-0.013056825,-1.1043207590000002,-0.251196437,-0.219689729,-0.099107708,-0.467103255,-0.06722362900000001,0.111534244,0.111534244,0.409128185,-0.103796131,-0.040189806,0.08446206,0.516863637,-0.048211575,-0.361775006,-0.361775006
42, CA,San Jose-Sunnyvale-Santa Clara,0.31940081,1.516469113,0.38288975,0.446534411,0.8421332840000001,-0.155088332,-1.22113928,-0.015914296,-0.385614525,-0.286962735,-0.329090775,-0.20355695,-0.023963063,-0.023963063,0.157340185,-0.303648499,-0.094283937,0.08745058900000001,0.35136604200000005,0.116455991,-0.109306144,-0.109306144
43, CA,San Luis Obispo-Paso Robles-Arroyo Grande,0.282155275,1.723377915,0.941728889,0.7313667009999999,0.031719088,0.018563238,-1.4575512380000002,-0.507789405,-0.346842778,-0.071027198,-0.4789188,-0.052973057,0.054630009000000014,0.054630009000000014,0.328608869,-0.209273437,-0.187672891,0.131195741,0.7443144970000001,-0.14995504099999998,-0.36691028,-0.36691028
44, CA,Santa Cruz-Watsonville,0.400889774,1.46518721,0.648803004,0.6112578120000001,0.115832496,0.08929389800000001,-1.256716723,-0.535930673,-0.26363252,0.227236506,-0.6711444040000001,-0.013245632,-0.201628676,-0.201628676,0.7518092,-0.0402112,0.054215524,0.212993791,0.719603271,-0.194792185,-0.357761237,-0.357761237
45, CA,Santa Maria-Santa Barbara,0.162757446,1.2520005909999998,0.692482485,0.679571167,-0.033419816,-0.086633244,-1.2825808909999998,-0.541782465,-0.263655092,0.044831900999999987,-0.499229125,-0.02274611,0.031088852,0.031088852,0.661375526,0.047592398,-0.114182471,0.20546629,0.602247579,-0.07974826900000001,-0.499126633,-0.499126633
46, CA,Santa Rosa,0.297074759,1.484027031,0.855189465,0.464135029,0.163918991,0.0007835460000000001,-1.291169519,-0.433189568,-0.252224082,-0.062913544,-0.583248428,0.040406103,-0.027029295,-0.027029295,0.526311392,0.009821582,-0.07907175,0.110159088,0.64569782,-0.160295347,-0.395064849,-0.395064849
47, CA,Stockton-Lodi,0.313458373,0.92298164,0.617407876,0.286466102,0.015833218,0.003274445,-1.095185824,-0.7270564559999999,0.228179317,0.087811454,-0.603446029,-0.08067411,-0.259875352,-0.259875352,1.07669005,0.346283901,0.050396679000000014,0.280557348,0.5842877120000001,-0.184835591,-0.331152141,-0.331152141
48, CA,Vallejo-Fairfield,0.320105052,1.325740483,0.7161198670000001,0.542602344,-0.145087676,0.212105948,-1.176742151,-0.511204251,-0.146120585,0.103718318,-0.465107433,-0.1580282,-0.019251499,-0.019251499,0.5340670129999999,-0.356171814,0.077141582,0.19186855,0.79284238,-0.171613685,-0.343708793,-0.343708793
49, CA,Visalia-Porterville,0.201677733,0.834328388,0.687951256,0.22587304,-0.016647988,-0.06284792,-1.1273933040000002,-0.6375682189999999,0.168585478,-0.07640251599999999,-0.619411132,0.037403085,-0.11315977,-0.11315977,0.984891825,0.781099491,-0.250017979,0.253009639,0.344022038,-0.143221364,-0.376989406,-0.376989406
50, CA,Yuba City,0.316073631,1.344777224,0.8121956920000001,0.432031378,0.149372775,-0.048822621,-1.34158768,-0.569517965,-0.173225768,0.125707558,-0.73335157,0.008800064,-0.115420879,-0.115420879,0.794983487,0.129362801,-0.099972959,0.200569499,0.7642885509999999,-0.199264405,-0.366678521,-0.366678521
51, CO,Boulder,0.08952155,1.178620836,0.654650344,0.749188599,0.020738258,-0.245956365,-1.122899022,-0.28192204,-0.178078441,-0.015978035,-0.461449833,-0.185470673,-0.030529423,-0.030529423,0.435742132,-0.198682282,-0.05182836,0.119801418,0.502511755,0.063939601,-0.371412974,-0.371412974
52, CO,Colorado Springs,0.221799869,1.697765204,0.933475868,0.638621265,0.222265949,-0.096597878,-1.407078015,-0.457563202,-0.094726176,0.072239745,-0.594078444,-0.332949939,0.0074930169999999985,0.0074930169999999985,0.281410521,-0.33315912,-0.05749036900000001,0.143028348,0.5842316329999999,-0.055199971,-0.357790857,-0.357790857
53, CO,Denver-Aurora-Lakewood,0.240264455,1.285107014,0.64830182,0.539790181,0.074127939,0.022887074,-1.237331779,-0.298286222,-0.271263709,0.001902472,-0.455896312,-0.213788008,0.120414864,0.120414864,0.397419004,-0.124274552,-0.064649037,0.112090592,0.511096133,-0.036844132,-0.325344648,-0.325344648
54, CO,Fort Collins,0.379713426,1.926960872,0.788232624,0.7310642079999999,0.245152732,0.162511307,-1.4371982769999998,-0.324505967,-0.270787811,-0.017082404,-0.321129171,-0.503692924,0.287619103,0.287619103,-0.158919438,-0.7335506209999999,-0.07615325,0.16251901300000002,0.510369839,-0.022104419,-0.238748834,-0.238748834
55, CO,Grand Junction,0.265269656,2.517357535,1.380559936,0.772200826,0.3824725370000001,-0.017875763,-2.487013949,-0.49834795,-0.604636126,-0.282303526,-0.4457577620000001,-0.655968585,0.300298074,0.300298074,0.238460587,-0.730746798,-0.217430097,0.224018711,1.007691095,-0.045072324,-0.303832592,-0.303832592
56, CO,Greeley,0.419281096,1.586201372,0.7472230670000001,0.504428187,0.122023719,0.2125264,-1.219182585,-0.590833815,0.08847990900000001,0.266567546,-0.4116594770000001,-0.5717367489999999,0.092834276,0.092834276,0.295057205,-0.329337649,0.161141623,0.195779954,0.35769893700000005,-0.09022566,-0.33562917200000003,-0.33562917200000003
57, CO,Pueblo,0.295817884,1.680270088,0.8843408759999999,0.878200578,-0.24277698600000006,0.16050561900000002,-1.538469391,-0.49873158,-0.245639313,0.256546312,-0.422478071,-0.62816674,0.208220872,0.208220872,0.34736446200000004,-0.6227481779999999,-0.015544141,0.283071809,0.773941648,-0.071356676,-0.401568146,-0.401568146
58, CT,Bridgeport-Stamford-Norwalk,0.138972502,1.434920543,0.8961170829999999,0.568954215,0.085692294,-0.115843048,-1.553953287,-0.510855409,-0.253580353,-0.102087158,-0.6560266229999999,-0.031403744,0.046302641,0.046302641,0.622993101,-0.0065913230000000005,-0.045310145,0.199053393,0.622074876,-0.146233701,-0.411290496,-0.411290496
59, CT,Hartford-West Hartford-East Hartford,0.194318029,1.6726858830000002,0.746952759,0.632349484,0.311164369,-0.017780729,-1.51874228,-0.360884478,-0.279859806,-0.139361928,-0.684286177,-0.054349891,0.063379953,0.063379953,0.335427272,-0.08201543900000001,-0.07112792799999999,0.175953008,0.420042215,-0.107424584,-0.358432799,-0.358432799
60, CT,New Haven,0.241699619,1.451746789,0.7887612409999999,0.440418375,0.304556524,-0.081989351,-1.451363836,-0.475758888,-0.161715394,-0.094830634,-0.719381687,0.000322767,-0.054495889000000006,-0.054495889000000006,0.616360996,0.012687001000000002,-0.092648041,0.178710991,0.681026225,-0.16341518,-0.320548441,-0.320548441
61, CT-RI,Norwich-New London-Westerly,0.287799323,1.909860292,0.969580999,0.635764227,0.107567979,0.196947086,-1.306538357,-0.4574155070000001,-0.038951238,-0.044413002,-0.487595024,-0.278163586,0.093072756,0.093072756,-0.151566315,-0.5281189000000001,-0.046592273,0.173684817,0.34893,-0.09946996,-0.257029054,-0.257029054
62, DC-VA-MD-WV,Washington-Arlington-Alexandria,0.058997324,1.480482687,0.723075395,0.865022617,0.144847057,-0.252462382,-1.476708018,-0.299673434,-0.274482293,-0.14246183,-0.495646527,-0.264443933,0.172487715,0.172487715,0.309473787,-0.247915241,-0.090362899,0.181057047,0.457401526,0.009293353,-0.426738847,-0.426738847
63, DE,Dover,0.358990153,1.809794115,0.861587377,0.603495419,0.235479106,0.109232212,-1.519114655,-0.767158584,-0.024526002,0.334465157,-0.64921662,-0.412678607,-0.049737623,-0.049737623,0.402941283,-0.396865985,0.051965357,0.257134006,0.6323448220000001,-0.141636918,-0.284892966,-0.284892966
64, FL,Cape Coral-Fort Myers,0.254758573,2.224285395,1.207199812,0.7678973000000001,0.132091187,0.117097096,-1.995382734,-0.891655588,-0.13500331,0.178291505,-0.601481963,-0.545533378,-0.007898215,-0.007898215,0.5068358479999999,-0.455531613,-0.034501194,0.194370668,0.842327264,-0.039829278,-0.473081722,-0.473081722
65, FL,Crestview-Fort Walton Beach-Destin,0.130395015,2.451331336,1.395985157,1.069083442,0.04180721,-0.055544473,-2.096806459,-0.893148127,-0.030238314,0.146601985,-0.573679621,-0.746342383,0.050830465,0.050830465,0.202601092,-0.795231905,-0.120652245,0.259375124,0.887168863,-0.028058745,-0.477561419,-0.477561419
66, FL,Deltona-Daytona Beach-Ormond Beach,0.104166939,2.150875093,1.183458291,0.965950887,-0.099903018,0.101368933,-2.244287649,-0.810684724,-0.24781746,0.123228078,-0.689745308,-0.619268234,0.221409059,0.221409059,0.533883573,-0.37097372,-0.083610218,0.278418292,0.76337624,-0.053327021,-0.557713136,-0.557713136
67, FL,Gainesville,0.116530761,1.439449449,1.002071642,0.72260141,-0.52193974,0.236716137,-1.633384022,-0.83504902,0.019337531,0.191163299,-0.590598509,-0.418237323,-0.084892323,-0.084892323,0.950240008,-0.275268618,0.109812494,0.286006188,0.891929383,-0.062239438,-0.554882351,-0.554882351
68, FL,Jacksonville,0.287879061,1.890058914,0.8010350070000001,0.6428476089999999,0.29856430300000003,0.147611995,-1.713345011,-0.62380245,-0.074122275,0.088938605,-0.677835544,-0.426523346,0.00727156,0.00727156,0.426509904,-0.24313855,-0.012278393,0.196100798,0.585479607,-0.099653559,-0.322616306,-0.322616306
69, FL,Lakeland-Winter Haven,0.30356987,2.092710579,1.040136243,0.714393479,0.28285624,0.055324618,-2.026519116,-0.6682276620000001,-0.151149013,0.124984993,-0.612083271,-0.720044162,0.093120843,0.093120843,0.469471711,-0.360574551,-0.057753923,0.29882163,0.663036836,-0.07405828099999999,-0.325214148,-0.325214148
70, FL,Miami-Fort Lauderdale-West Palm Beach,0.220920025,1.998783696,0.954911912,0.7448825990000001,0.215380717,0.08360846799999999,-1.738927221,-0.623928261,-0.115480302,0.089383688,-0.637345025,-0.451557322,0.042630825,0.042630825,0.33181375,-0.278389124,-0.028724024,0.18271152,0.528167912,-0.071952534,-0.413381026,-0.413381026
71, FL,Naples-Immokalee-Marco Island,0.308834891,1.924611091,1.090378111,0.848231637,-0.0264755,0.012476843,-1.800142349,-0.60510338,-0.33738418200000003,0.044156446,-0.450935824,-0.450875409,0.164645211,0.164645211,0.386754819,-0.418675703,-0.08607442400000001,0.139406849,0.799342275,-0.047244179,-0.36703388,-0.36703388
72, FL,North Port-Sarasota-Bradenton,0.244620861,1.953326965,1.048338015,0.7103556990000001,0.068312049,0.126321202,-1.827184704,-0.7179341779999999,-0.143868158,0.110322337,-0.5946028870000001,-0.481101819,0.04887487,0.04887487,0.504145147,-0.28977658300000003,-0.054587699,0.241157565,0.6601750279999999,-0.052823164000000006,-0.434541417,-0.434541417
73, FL,Ocala,0.301282694,2.291720432,1.301191627,0.801993352,0.168733198,0.019802256,-2.281173825,-0.697245467,-0.392247501,0.08491382300000001,-0.646721571,-0.62987311,-0.007016191999999999,-0.007016191999999999,0.637491815,-0.214391628,-0.079806712,0.288160511,0.744414847,-0.100885204,-0.33973953700000004,-0.33973953700000004
74, FL,Orlando-Kissimmee-Sanford,0.290512309,2.299788032,1.088932864,0.822305315,0.365598058,0.022951795,-1.93565391,-0.524366284,-0.270756174,-0.039414992,-0.635891766,-0.465224695,0.069975988,0.069975988,0.134955049,-0.34490623200000003,-0.160560072,0.164038023,0.4993380120000001,-0.022954682,-0.27855285,-0.27855285
75, FL,Palm Bay-Melbourne-Titusville,0.170174938,2.133339079,1.154337322,0.851706526,0.278395834,-0.151100603,-1.91311172,-0.472710429,-0.351741249,-0.003275665,-0.4367933,-0.6485910770000001,0.08765036,0.08765036,0.278507137,-0.540958386,-0.084516575,0.233364594,0.665293655,0.005323848000000001,-0.416209917,-0.416209917
76, FL,Panama City,0.315682283,3.22029592,1.728413269,1.064268919,0.571039075,-0.143425343,-2.805167767,-0.566704442,-0.678193608,-0.13927636599999998,-0.5409552329999999,-0.880038118,0.175084278,0.175084278,0.067745232,-0.786033435,-0.396757786,0.209089998,1.070901719,-0.029455264,-0.34227538,-0.34227538
77, FL,Pensacola-Ferry Pass-Brent,0.090963506,2.534348731,1.443341699,0.968067806,0.242997642,-0.120058416,-2.520316835,-0.69598975,-0.471397949,-0.035240557,-0.589874433,-0.727814145,0.180966433,0.180966433,0.462261807,-0.49042181,-0.194388522,0.293746984,0.913667652,-0.060342497,-0.566296629,-0.566296629
78, FL,Port St. Lucie,0.322547438,2.945615637,1.3644700369999998,0.934839077,0.635860294,0.010446228,-2.859363349,-0.549855764,-0.617059101,-0.199668683,-0.657766131,-0.83501367,0.261748114,0.261748114,0.269743503,-0.511887511,-0.217529725,0.281075378,0.7681843829999999,-0.050099021,-0.295196468,-0.295196468
79, FL,Punta Gorda,0.271762179,2.656808624,1.443357784,0.937486225,0.039748776,0.236215838,-2.514415447,-0.952724687,-0.282668266,0.11632892,-0.534992206,-0.860359208,0.022320582,0.022320582,0.578226264,-0.8030837009999999,-0.094014663,0.416543825,1.124797155,-0.066016352,-0.471177844,-0.471177844
80, FL,Sebastian-Vero Beach,0.383972003,2.758129491,1.41752258,0.869211648,0.41841777,0.052977493,-2.491275341,-0.499471721,-0.3731982820000001,-0.168230562,-0.7463541779999999,-0.7040205979999999,0.14293336,0.14293336,0.27799640800000003,-0.610372469,-0.107985157,0.246080654,0.8144813209999999,-0.06420794,-0.303811916,-0.303811916
