,Job Code,Job Title,Job Family,Description
11,11-3051,Industrial Production Managers,Management Occupations,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
11,11-3061,Purchasing Managers,Management Occupations,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services.  Includes wholesale or retail trade merchandising managers and procurement managers."
11,11-3071,"Transportation, Storage, and Distribution Managers",Management Occupations,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations.  Includes logistics managers."
11,11-3111,Compensation and Benefits Managers,Management Occupations,"Plan, direct, or coordinate compensation and benefits activities of an organization.  Job analysis and position description managers are included in “Human Resource Managers” (11-3121). "
11,11-3131,Training and Development Managers,Management Occupations,"Plan, direct, or coordinate the training and development activities and staff of an organization."
11,11-9021,Construction Managers,Management Occupations,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems.  Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation.  Includes managers in specialized construction fields, such as carpentry or plumbing."
11,11-9031,"Education Administrators, Preschool and Childcare Center/Program",Management Occupations,"Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs.  Excludes “Preschool Teachers"" (25-2011)."
11,11-9032,"Education Administrators, Elementary and Secondary School",Management Occupations,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools."
11,11-9033,"Education Administrators, Postsecondary",Management Occupations,"Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges."
11,11-9041,Architectural and Engineering Managers,Management Occupations,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.  Excludes “Natural Sciences Managers"" (11-9121)."
11,11-9051,Food Service Managers,Management Occupations,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.  Excludes “Chefs and Head Cooks” (35-1011)."
11,11-9071,Gaming Managers,Management Occupations,"Plan, direct, or coordinate gaming operations in a casino.  May formulate house rules. "
11,11-9081,Lodging Managers,Management Occupations,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.  Excludes “Food Service Managers"" (11-9051) in lodging establishments."
11,11-9111,Medical and Health Services Managers,Management Occupations,"Plan, direct, or coordinate medical  and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
11,11-9121,Natural Sciences Managers,Management Occupations,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.  Excludes “Architecture and Engineering Managers"" (11-9041) and ""Computer and Information Systems Managers"" (11-3021)."
11,11-9131,Postmasters and Mail Superintendents,Management Occupations,"Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office. "
11,11-9141,"Property, Real Estate, and Community Association Managers",Management Occupations,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties.  Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way)."
11,11-9151,Social and Community Service Managers,Management Occupations,"Plan, direct, or coordinate the activities of a social service program or community outreach organization.  Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits.  Work may involve directing social workers, counselors, or probation officers. "
11,11-9161,Emergency Management Directors,Management Occupations,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."
13,13-1031,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations Occupations,"Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures.  Confer with legal counsel on claims requiring litigation.  May also settle insurance claims.  Excludes ""Fire Inspectors and Investigators"" (33-2021)."
13,13-1032,"Insurance Appraisers, Auto Damage",Business and Financial Operations Occupations,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement.  Prepare insurance forms to indicate repair cost or cost estimates and recommendations.  May seek agreement with automotive repair shop on repair costs.
13,13-1041,Compliance Officers,Business and Financial Operations Occupations,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.  Excludes ""Financial Examiners"" (13-2061), “Tax Examiners and Collectors, and Revenue Agents"" (13-2081), “Occupational Health and Safety Specialists” (29-9011), “Occupational Health and Safety Technicians” (29-9012), ""Transportation Security Screeners"" (33-9093), “Agricultural Inspectors” (45-2011), “Construction and Building Inspectors” (47-4011), and “Transportation Inspectors” (53-6051)."
13,13-1051,Cost Estimators,Business and Financial Operations Occupations,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service.  May specialize according to particular service performed or type of product manufactured."
13,13-1081,Logisticians,Business and Financial Operations Occupations,"Analyze and coordinate the logistical functions of a firm or organization.  Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.  Excludes “Transportation, Storage, and Distribution Managers” (11-3071)."
13,13-1111,Management Analysts,Business and Financial Operations Occupations,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively.  Includes program analysts and management consultants.  Excludes “Computer Systems Analysts"" (15-1121) and ""Operations Research Analysts"" (15-2031)."
13,13-1121,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,"Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions."
13,13-1141,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,"Conduct programs of compensation and benefits and job analysis for employer.  May specialize in specific areas, such as position classification and pension programs."
13,13-1151,Training and Development Specialists,Business and Financial Operations Occupations,Design and conduct training and development programs to improve individual and organizational performance.  May analyze training needs.
13,13-1161,Market Research Analysts and Marketing Specialists,Business and Financial Operations Occupations,"Research market conditions in local, regional, or national areas, or gather information to determine potential sales of a product or service, or create a marketing campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution."
13,13-2011,Accountants and Auditors,Business and Financial Operations Occupations,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others.  Install or advise on systems of recording costs or other financial and budgetary data.  Excludes “Tax Examiners and Collectors, and Revenue Agents” (13-2081)."
13,13-2021,Appraisers and Assessors of Real Estate,Business and Financial Operations Occupations,Appraise real property and estimate its fair value.  May assess taxes in accordance with prescribed schedules.
13,13-2031,Budget Analysts,Business and Financial Operations Occupations,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations.  Analyze budgeting and accounting reports."
13,13-2041,Credit Analysts,Business and Financial Operations Occupations,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money.  Prepare reports with credit information for use in decision making.
13,13-2051,Financial Analysts,Business and Financial Operations Occupations,Conduct quantitative analyses of information affecting investment programs of public or private institutions.
13,13-2052,Personal Financial Advisors,Business and Financial Operations Occupations,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate.  Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives."
13,13-2053,Insurance Underwriters,Business and Financial Operations Occupations,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
13,13-2061,Financial Examiners,Business and Financial Operations Occupations,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions.  May examine, verify, or authenticate records."
13,13-2071,Credit Counselors,Business and Financial Operations Occupations,"Advise and educate individuals or organizations on acquiring and managing debt.  May provide guidance in determining the best type of loan and explaining loan requirements or restrictions.  May help develop debt management plans, advise on credit issues, or provide budget, mortgage, and bankruptcy counseling. "
13,13-2072,Loan Officers,Business and Financial Operations Occupations,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans.  Advise borrowers on financial status and payment methods.  Includes mortgage loan officers and agents, collection analysts, loan servicing officers, and loan underwriters."
13,13-2081,"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations Occupations,Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.
13,13-2082,Tax Preparers,Business and Financial Operations Occupations,Prepare tax returns for individuals or small businesses.  Excludes “Accountants and Auditors” (13-2011).
15,15-1121,Computer Systems Analysts,Computer and Mathematical Occupations,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems.  Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations.  May analyze or recommend commercially available software."
15,15-1131,Computer Programmers,Computer and Mathematical Occupations,"Create, modify, and test the code, forms, and script that allow computer applications to run.  Work from specifications drawn up by software developers or other individuals.  May assist software developers by analyzing user needs and designing software solutions.  May develop and write computer programs to store, locate, and retrieve specific documents, data, and information."
15,15-1132,"Software Developers, Applications",Computer and Mathematical Occupations,"Develop, create, and modify general computer applications software or specialized utility programs.  Analyze user needs and develop software solutions.  Design software or customize software for client use with the aim of optimizing operational efficiency.  May analyze and design databases within an application area, working individually or coordinating database development as part of a team.  May supervise computer programmers."
15,15-1133,"Software Developers, Systems Software",Computer and Mathematical Occupations,"Research, design, develop, and test operating systems-level software, compilers, and network distribution software for medical, industrial, military, communications, aerospace, business, scientific, and general computing applications.  Set operational specifications and formulate and analyze software requirements.  May design embedded systems software.   Apply principles and techniques of computer science, engineering, and mathematical analysis."
15,15-1141,Database Administrators,Computer and Mathematical Occupations,"Administer, test, and implement computer databases, applying knowledge of database management systems.  Coordinate changes to computer databases.  May plan, coordinate, and implement security measures to safeguard computer databases.  Excludes “Information Security Analysts” (15-1122)."
15,15-1142,Network and Computer Systems Administrators,Computer and Mathematical Occupations,"Install, configure, and support an organization’s local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system.  Monitor network to ensure network availability to all system users and may perform necessary maintenance to support network availability.  May monitor and test Web site performance to ensure Web sites operate correctly and without interruption.  May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.  May supervise computer user support specialists and computer network support specialists.  May administer network security measures.  Excludes “Information Security Analysts”(15-1122), “Computer User Support Specialists” (15-1151), and “Computer Network Support Specialists” (15-1152)."
15,15-1151,Computer User Support Specialists,Computer and Mathematical Occupations,"Provide technical assistance to computer users.  Answer questions or resolve computer problems for clients in person, or via telephone or electronically.  May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.  Excludes “Network and Computer Systems Administrators” (15-1142)."
15,15-1199,"Computer Occupations, All Other",Computer and Mathematical Occupations,"All computer occupations not listed separately.  Excludes “Computer and Information Systems Managers” (11-3021), “Computer Hardware Engineers” (17-2061), “Electrical and Electronics Engineers” (17-2070), “Computer Science Teachers, Postsecondary” (25-1021), “Multimedia Artists and Animators” (27-1014), “Graphic Designers” (27-1024), “Computer Operators” (43-9011), and “Computer, Automated Teller, and Office Machine Repairs” (49-2011)."
15,15-2011,Actuaries,Computer and Mathematical Occupations,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits.  May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits."
15,15-2021,Mathematicians,Computer and Mathematical Occupations,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields.  Solve problems in various fields using mathematical methods."
15,15-2031,Operations Research Analysts,Computer and Mathematical Occupations,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decision making, policy formulation, or other managerial functions.  May collect and analyze data and develop decision support software, service, or products.  May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation."
15,15-2041,Statisticians,Computer and Mathematical Occupations,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information.  May specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics.  Includes mathematical and survey statisticians.  Excludes “Survey Researchers” (19-3022)."
17,17-1011,"Architects, Except Landscape and Naval",Architecture and Engineering Occupations,"Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.  Excludes “Landscape Architects” (17-1012) and “Marine Engineers and Naval Architects” (17-2121)."
17,17-1012,Landscape Architects,Architecture and Engineering Occupations,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites."
17,17-1021,Cartographers and Photogrammetrists,Architecture and Engineering Occupations,"Collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.  Research, study, and prepare maps and other spatial data in digital or graphic form for legal, social, political, educational, and design purposes.  May work with Geographic Information Systems (GIS).  May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems."
17,17-1022,Surveyors,Architecture and Engineering Occupations,"Make exact measurements and determine property boundaries.  Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes."
17,17-2011,Aerospace Engineers,Architecture and Engineering Occupations,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft.  May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture.  May recommend improvements in testing equipment and techniques."
17,17-2021,Agricultural Engineers,Architecture and Engineering Occupations,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products."
17,17-2031,Biomedical Engineers,Architecture and Engineering Occupations,"Apply knowledge of engineering, biology, and biomechanical principles to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and heath management and care delivery systems."
17,17-2041,Chemical Engineers,Architecture and Engineering Occupations,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering."
17,17-2051,Civil Engineers,Architecture and Engineering Occupations,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures, and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.  Includes architectural, structural, traffic, ocean, and geo-technical engineers.  Excludes “Hydrologists"" (19-2043)."
17,17-2061,Computer Hardware Engineers,Architecture and Engineering Occupations,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use.  May supervise the manufacturing and installation of computer or computer-related equipment and components.  Excludes “Software Developers, Applications"" (15-1132) and “Software Developers, Systems Software (15-1133)."
17,17-2071,Electrical Engineers,Architecture and Engineering Occupations,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.  Excludes “Computer Hardware Engineers"" (17-2061)."
17,17-2072,"Electronics Engineers, Except Computer",Architecture and Engineering Occupations,"Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties.  Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.  Excludes “Computer Hardware Engineers"" (17-2061)."
17,17-2081,Environmental Engineers,Architecture and Engineering Occupations,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines.  Work may include waste treatment, site remediation, or pollution control technology."
17,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering Occupations,"Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws.  Includes industrial product safety engineers."
17,17-2112,Industrial Engineers,Architecture and Engineering Occupations,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.  Excludes “Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"" (17-2111)."
17,17-2121,Marine Engineers and Naval Architects,Architecture and Engineering Occupations,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems."
17,17-2131,Materials Engineers,Architecture and Engineering Occupations,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications.  Develop new uses for known materials.  Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials.  Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers."
17,17-2141,Mechanical Engineers,Architecture and Engineering Occupations,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment.  Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems."
17,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture and Engineering Occupations,"Conduct sub-surface surveys to identify the characteristics of potential land or mining development sites.  May specify the ground support systems, processes and equipment for safe, economical, and environmentally sound extraction or underground construction activities.  May inspect areas for unsafe geological conditions, equipment, and working conditions.  May design, implement, and coordinate mine safety programs.  Excludes ""Petroleum Engineers"" (17-2171)."
17,17-2161,Nuclear Engineers,Architecture and Engineering Occupations,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal."
17,17-2171,Petroleum Engineers,Architecture and Engineering Occupations,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs.  Oversee drilling and offer technical advice. 
17,17-3011,Architectural and Civil Drafters,Architecture and Engineering Occupations,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works.  Use knowledge of building materials, engineering practices, and mathematics to complete drawings."
17,17-3012,Electrical and Electronics Drafters,Architecture and Engineering Occupations,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment."
17,17-3013,Mechanical Drafters,Architecture and Engineering Occupations,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information."
17,17-3022,Civil Engineering Technicians,Architecture and Engineering Occupations,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists."
17,17-3023,Electrical and Electronics Engineering Technicians,Architecture and Engineering Occupations,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, calibrate, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.  Excludes “Broadcast Technicians"" (27-4012)."
17,17-3024,Electro-Mechanical Technicians,Architecture and Engineering Occupations,"Operate, test, maintain, or calibrate unmanned, automated, servo-mechanical, or electromechanical equipment.  May operate unmanned submarines, aircraft, or other equipment at worksites, such as oil rigs, deep ocean exploration, or hazardous waste removal.  May assist engineers in testing and designing robotics equipment."
17,17-3025,Environmental Engineering Technicians,Architecture and Engineering Occupations,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientist.  May assist in the development of environmental remediation devices."
17,17-3026,Industrial Engineering Technicians,Architecture and Engineering Occupations,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff.  May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency."
17,17-3027,Mechanical Engineering Technicians,Architecture and Engineering Occupations,"Apply theory and principles of mechanical engineering to modify, develop, test, or calibrate machinery and equipment under direction of engineering staff or physical scientists."
17,17-3031,Surveying and Mapping Technicians,Architecture and Engineering Occupations,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist to obtain data used for construction, mapmaking, boundary location, mining, or other purposes.  May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features.  May verify accuracy and completeness of maps.  Excludes “Surveyors"" (17-1022), ""Cartographers and Photogrammetrists"" (17-1021), and ""Geoscientists, Except Hydrologists and Geographers"" (19-2042)."
19,19-1011,Animal Scientists,"Life, Physical, and Social Science Occupations","Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals."
19,19-1012,Food Scientists and Technologists,"Life, Physical, and Social Science Occupations","Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food."
19,19-1013,Soil and Plant Scientists,"Life, Physical, and Social Science Occupations","Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth.  May classify and map soils and investigate effects of alternative practices on soil and crop productivity."
19,19-1021,Biochemists and Biophysicists,"Life, Physical, and Social Science Occupations","Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena.  May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity.  May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms."
19,19-1022,Microbiologists,"Life, Physical, and Social Science Occupations","Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi.  Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms."
19,19-1023,Zoologists and Wildlife Biologists,"Life, Physical, and Social Science Occupations","Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife.  May specialize in wildlife research and management.  May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats."
19,19-1031,Conservation Scientists,"Life, Physical, and Social Science Occupations","Manage, improve, and protect natural resources to maximize their use without damaging the environment.  May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands.  May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.  Excludes “Zoologists and Wildlife Biologists"" (19-1023) and ""Foresters"" (19-1032)."
19,19-1032,Foresters,"Life, Physical, and Social Science Occupations","Manage public and private forested lands for economic, recreational, and conservation purposes.  May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement.  May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations.  May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules. "
19,19-1041,Epidemiologists,"Life, Physical, and Social Science Occupations","Investigate and describe the determinants and distribution of disease, disability, or health outcomes.  May develop the means for prevention and control."
19,19-1042,"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science Occupations","Conduct research dealing with the understanding of human diseases and the improvement of human health.  Engage in clinical investigation, research and development, or other related activities.  Includes physicians, dentists, public health specialists, pharmacologists, and medical pathologists who primarily conduct research.  Practitioners who primarily provide medical or dental care or dispense drugs are included in “Health Diagnosing and Treating Practitioners” (29-1000)."
19,19-2011,Astronomers,"Life, Physical, and Social Science Occupations","Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems."
19,19-2021,Atmospheric and Space Scientists,"Life, Physical, and Social Science Occupations","Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses.  Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology."
19,19-2031,Chemists,"Life, Physical, and Social Science Occupations","Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.  Excludes “Geoscientists, Except Hydrologists and Geographers"" (19-2042) and ""Biochemists and Biophysicists"" (19-1021)."
19,19-2032,Materials Scientists,"Life, Physical, and Social Science Occupations","Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass.  Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications.  Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists."
19,19-2041,"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science Occupations","Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or the health of the population.  Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and  recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.  Excludes “Zoologists and Wildlife Biologists"" (19-1023), ""Conservation Scientists"" (19-1031), ""Forest and Conservation Technicians"" (19-4093), ""Fish and Game Wardens"" (33-3031), and ""Forest and Conservation Workers"" (45-4011)."
19,19-2042,"Geoscientists, Except Hydrologists and Geographers","Life, Physical, and Social Science Occupations","Study the composition, structure, and other physical aspects of the Earth.  May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems.  May study the Earth's internal composition, atmospheres, oceans, and its magnetic, electrical, and gravitational forces.  Includes mineralogists, crystallographers, paleontologists, stratigraphers, geodesists, and seismologists."
19,19-2043,Hydrologists,"Life, Physical, and Social Science Occupations","Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation, its rate of infiltration into the soil, movement through the earth, and its return to the ocean and atmosphere."
19,19-3011,Economists,"Life, Physical, and Social Science Occupations","Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy.  May collect and process economic and statistical data using sampling techniques and econometric methods.  Excludes “Market Research Analysts and Marketing Specialists"" (13-1161)."
19,19-3022,Survey Researchers,"Life, Physical, and Social Science Occupations","Plan, develop, or conduct surveys.  May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording.  Includes social scientists who primarily design questionnaires or supervise survey teams.  Excludes ""Market Research Analysts and Marketing Specialists"" (13-1161) and ""Statisticians"" (15-2041)."
