AREA,AREA_NAME,Employment,Automation Index,Race with the Machine,Race against the Machine,Race ahead of the Machine,Running a Different Race,Changing the Course of a Race,Lat,Long
17020,"Chico, CA",62250,0.113258174,1.427357209,-1.435277817,0.078672653,0.58007168,-0.53756555,39.665959,-121.601919
20940,"El Centro, CA",44330,0.374966633,2.081609103,-2.633903081,0.045670723,0.937623245,-0.056033356,33.040814,-115.3554
23420,"Fresno, CA",321840,0.222253237,1.391243669,-1.79229309,-0.027734539,1.022256921,-0.371219724,36.761006,-119.655019
25260,"Hanford-Corcoran, CA",27820,0.399195965,1.541200402,-1.048251032,-0.005769804,0.224965764,-0.312949365,36.072478,-119.81553
31080,"Los Angeles-Long Beach-Anaheim, CA",5283060,0.133196035,1.147011763,-1.400281062,-0.017807485,0.79458889,-0.390316071,34.108705,-118.182745
31460,"Madera, CA",32020,0.049118336,0.266211241,-1.095472089,-0.078177735,1.539249348,-0.582692429,37.209821,-119.749802
32900,"Merced, CA",55140,0.42520422,1.278134455,-1.28569116,-0.197579089,0.863270376,-0.232930362,37.194806,-120.722802
33700,"Modesto, CA",150490,0.378011957,1.702372004,-1.499835464,-0.060543686,0.463242426,-0.227223322,37.562316,-121.002831
34900,"Napa, CA",59880,0.200377199,1.821710296,-1.706770013,-0.128181805,0.783946387,-0.570327665,38.5071,-122.325904
37100,"Oxnard-Thousand Oaks-Ventura, CA",262110,0.21853686,1.282296797,-1.443618128,-0.100629052,0.836455324,-0.35596808,34.358741,-119.133143
39820,"Redding, CA",51510,0.325281986,2.434047662,-2.281574218,0.148139616,0.310539262,-0.285870335,40.760514,-122.043556
40140,"Riverside-San Bernardino-Ontario, CA",1291050,0.329236305,1.084776035,-1.186577348,-0.10930935,0.802101229,-0.261754261,34.537534,-116.130921
40900,"Sacramento--Roseville--Arden-Arcade, CA",848760,0.153472269,1.219231875,-1.273806604,0.038799063,0.596121895,-0.426873961,38.789678,-121.00575
41500,"Salinas, CA",147470,0.312030337,0.529971996,-0.425568932,-0.187690613,0.804517738,-0.409199853,36.240107,-121.315572
41740,"San Diego-Carlsbad, CA",1243990,0.344263158,1.473113743,-1.144300208,0.020667004,0.228399016,-0.233616397,33.023604,-116.776117
41860,"San Francisco-Oakland-Hayward, CA",2048160,0.163530039,1.108963374,-1.104320759,0.111534244,0.409128185,-0.361775006,37.773718,-122.274432
41940,"San Jose-Sunnyvale-Santa Clara, CA",927670,0.31940081,1.516469113,-1.22113928,-0.023963063,0.157340185,-0.109306144,36.908472,-121.371372
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",94290,0.282155275,1.723377915,-1.457551238,0.054630009,0.328608869,-0.36691028,35.385224,-120.447544
42100,"Santa Cruz-Watsonville, CA",75830,0.400889774,1.46518721,-1.256716723,-0.201628676,0.7518092,-0.357761237,37.012488,-122.007205
42200,"Santa Maria-Santa Barbara, CA",153340,0.162757446,1.252000591,-1.282580891,0.031088852,0.661375526,-0.499126633,34.537057,-120.039973
42220,"Santa Rosa, CA",172950,0.297074759,1.484027031,-1.291169519,-0.027029295,0.526311392,-0.395064849,38.525182,-122.92611
44700,"Stockton-Lodi, CA",202960,0.313458373,0.92298164,-1.095185824,-0.259875352,1.07669005,-0.331152141,37.934982,-121.272244
46700,"Vallejo-Fairfield, CA",109480,0.320105052,1.325740483,-1.176742151,-0.019251499,0.534067013,-0.343708793,38.267226,-121.939594
47300,"Visalia-Porterville, CA",128210,0.201677733,0.834328388,-1.127393304,-0.11315977,0.984891825,-0.376989406,36.228834,-118.781055
49700,"Yuba City, CA",32830,0.316073631,1.344777224,-1.34158768,-0.115420879,0.794983487,-0.366678521,39.160969,-121.511833
14500,"Boulder, CO",145520,0.08952155,1.178620836,-1.122899022,-0.030529423,0.435742132,-0.371412974,40.09497,-105.397691
17820,"Colorado Springs, CO",227320,0.221799869,1.697765204,-1.407078015,0.007493017,0.281410521,-0.357790857,38.845507,-104.638728
19740,"Denver-Aurora-Lakewood, CO",1247870,0.240264455,1.285107014,-1.237331779,0.120414864,0.397419004,-0.325344648,39.434749,-104.901209
22660,"Fort Collins, CO",126290,0.379713426,1.926960872,-1.437198277,0.287619103,-0.158919438,-0.238748834,40.658093,-105.486764
24300,"Grand Junction, CO",45560,0.265269656,2.517357535,-2.487013949,0.300298074,0.238460587,-0.303832592,39.019421,-108.461893
24540,"Greeley, CO",80590,0.419281096,1.586201372,-1.219182585,0.092834276,0.295057205,-0.335629172,40.555961,-104.383666
39380,"Pueblo, CO",44090,0.295817884,1.680270088,-1.538469391,0.208220872,0.347364462,-0.401568146,38.170658,-104.489892
71950,"Bridgeport-Stamford-Norwalk, CT",350550,0.138972502,1.434920543,-1.553953287,0.046302641,0.622993101,-0.411290496,41.227413,-73.367061
73450,"Hartford-West Hartford-East Hartford, CT",494060,0.194318029,1.672685883,-1.51874228,0.063379953,0.335427272,-0.358432799,41.71865,-72.573919
75700,"New Haven, CT",227880,0.241699619,1.451746789,-1.451363836,-0.054495889,0.616360996,-0.320548441,41.349717,-72.900204
76450,"Norwich-New London-Westerly, CT-RI",91610,0.287799323,1.909860292,-1.306538357,0.093072756,-0.151566315,-0.257029054,41.472652,-72.108634
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2622300,0.058997324,1.480482687,-1.476708018,0.172487715,0.309473787,-0.426738847,38.816928,-77.448228
20100,"Dover, DE",45980,0.358990153,1.809794115,-1.519114655,-0.049737623,0.402941283,-0.284892966,39.097088,-75.502982
15980,"Cape Coral-Fort Myers, FL",225620,0.254758573,2.224285395,-1.995382734,-0.007898215,0.506835848,-0.473081722,26.559035,-81.891994
18880,"Crestview-Fort Walton Beach-Destin, FL",91480,0.130395015,2.451331336,-2.096806459,0.050830465,0.202601092,-0.477561419,30.641097,-86.367692
19660,"Deltona-Daytona Beach-Ormond Beach, FL",159110,0.104166939,2.150875093,-2.244287649,0.221409059,0.533883573,-0.557713136,29.1789,-81.189023
23540,"Gainesville, FL",94880,0.116530761,1.439449449,-1.633384022,-0.084892323,0.950240008,-0.554882351,29.677957,-82.479869
27260,"Jacksonville, FL",590520,0.287879061,1.890058914,-1.713345011,0.00727156,0.426509904,-0.322616306,30.234146,-81.756078
29460,"Lakeland-Winter Haven, FL",179160,0.30356987,2.092710579,-2.026519116,0.093120843,0.469471711,-0.325214148,27.953581,-81.69347
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2246910,0.220920025,1.998783696,-1.738927221,0.042630825,0.33181375,-0.413381026,26.101828,-80.478755
34940,"Naples-Immokalee-Marco Island, FL",121150,0.308834891,1.924611091,-1.800142349,0.164645211,0.386754819,-0.36703388,26.118786,-81.400955
35840,"North Port-Sarasota-Bradenton, FL",244830,0.244620861,1.953326965,-1.827184704,0.04887487,0.504145147,-0.434541417,27.364247,-82.319344
36100,"Ocala, FL",77310,0.301282694,2.291720432,-2.281173825,-0.007016192,0.637491815,-0.339739537,29.202805,-82.0431
36740,"Orlando-Kissimmee-Sanford, FL",1060440,0.290512309,2.299788032,-1.93565391,0.069975988,0.134955049,-0.27855285,28.434396,-81.356084
37340,"Palm Bay-Melbourne-Titusville, FL",174500,0.170174938,2.133339079,-1.91311172,0.08765036,0.278507137,-0.416209917,28.298678,-80.700534
37460,"Panama City, FL",65470,0.315682283,3.22029592,-2.805167767,0.175084278,0.067745232,-0.34227538,30.101095,-85.474971
37860,"Pensacola-Ferry Pass-Brent, FL",142420,0.090963506,2.534348731,-2.520316835,0.180966433,0.462261807,-0.566296629,30.655401,-87.161828
38940,"Port St. Lucie, FL",115300,0.322547438,2.945615637,-2.859363349,0.261748114,0.269743503,-0.295196468,27.232699,-80.42677
39460,"Punta Gorda, FL",33950,0.271762179,2.656808624,-2.514415447,0.022320582,0.578226264,-0.471177844,26.868974,-81.941278
42680,"Sebastian-Vero Beach, FL",39610,0.383972003,2.758129491,-2.491275341,0.14293336,0.277996408,-0.303811916,27.700528,-80.574789
45220,"Tallahassee, FL",133290,0.061655395,1.814016702,-1.821162855,0.217709779,0.360757969,-0.5096662,30.386425,-84.28041
45300,"Tampa-St. Petersburg-Clearwater, FL",1114100,0.354582354,2.750807437,-2.338890904,0.091286604,0.060270534,-0.208891317,28.125907,-82.465286
10500,"Albany, GA",44480,0.438257099,2.302725405,-1.759961839,0.026955224,0.105171353,-0.236633043,31.589303,-84.174913
12020,"Athens-Clarke County, GA",66260,0.47886788,2.601115248,-2.227350062,0.199965707,-0.034084782,-0.060778231,33.943984,-83.213897
12060,"Atlanta-Sandy Springs-Roswell, GA",2317080,0.298659936,1.710872981,-1.535496866,0.096641202,0.263460831,-0.236818212,33.693728,-84.399911
12260,"Augusta-Richmond County, GA-SC",182000,0.342803257,1.781759704,-1.196590365,-0.006859997,0.089593566,-0.32509965,33.460371,-81.982833
15260,"Brunswick, GA",31860,0.352909461,1.959946997,-1.566708604,0.16358829,0.121568153,-0.325485374,31.301739,-81.588909
17980,"Columbus, GA-AL",87430,0.429907583,2.241746914,-1.640273362,0.022320482,-0.006771475,-0.187114976,32.436836,-84.900879
19140,"Dalton, GA",44560,0.238568009,1.495138164,-1.325491502,-0.242909824,0.638165726,-0.326334554,34.796956,-84.856279
23580,"Gainesville, GA",68900,0.372555275,1.182158608,-1.331277393,-0.082800168,0.800271714,-0.195797487,34.317569,-83.8185
25980,"Hinesville, GA",10660,0.732750625,2.157004561,-0.868391368,0.086879875,-0.524367621,-0.118374822,31.778788,-81.57648
31420,"Macon, GA",75980,0.229682508,2.334387831,-1.895703501,0.098811779,0.157894447,-0.465708047,32.856216,-83.714305
40660,"Rome, GA",24190,0.234693959,2.346667425,-2.60873355,0.123007035,0.772492184,-0.398739135,34.263692,-85.213685
42340,"Savannah, GA",140650,0.302187478,1.65335867,-1.476014711,0.120634164,0.284726113,-0.280516757,32.109153,-81.273107
46660,"Valdosta, GA",37000,0.392474499,2.72874153,-2.328998628,0.152027896,0.142818959,-0.302115258,30.829645,-83.24064
47580,"Warner Robins, GA",48600,0.495747721,2.401478884,-2.063638354,0.098643676,0.086402608,-0.027139094,32.401594,-83.635095
46520,"Urban Honolulu, HI",384400,0.270833695,1.509004974,-1.217260001,0.022651029,0.336491859,-0.380054167,21.580023,-158.123406
11180,"Ames, IA",29300,0.031264828,1.777722991,-1.700024711,0.321689435,0.244217974,-0.612340862,42.037538,-93.466093
16300,"Cedar Rapids, IA",113440,0.194876087,1.558963017,-1.37524492,-0.015765868,0.385326527,-0.358402669,42.086329,-91.631144
19340,"Davenport-Moline-Rock Island, IA-IL",149560,0.252933985,2.061227936,-1.750525166,0.162904077,0.144882122,-0.365554984,41.39168,-90.460076
19780,"Des Moines-West Des Moines, IA",310550,0.260451042,1.945758479,-1.768339752,0.105577182,0.284975916,-0.307520784,41.54486,-93.943487
20220,"Dubuque, IA",43400,0.375811143,2.932567151,-2.714496813,0.347461172,-0.000307537,-0.189412831,42.463481,-90.878771
26980,"Iowa City, IA",62610,0.121962955,1.760894716,-1.8744527,0.294498146,0.359175472,-0.418152679,41.517806,-91.64793
43580,"Sioux City, IA-NE-SD",69320,0.379998203,0.842349868,-0.279161262,-0.201140253,0.43247127,-0.41452142,42.580634,-96.376047
47940,"Waterloo-Cedar Falls, IA",65470,0.316882542,2.448633558,-2.092352925,0.234033236,-0.091699177,-0.18173215,42.536796,-92.471608
14260,"Boise City, ID",271570,0.136963597,1.249077653,-1.228027783,-0.091909161,0.675237776,-0.467414887,43.006648,-116.141909
17660,"Coeur d'Alene, ID",47910,0.291864962,1.869970815,-2.012434541,-0.032727234,0.729416494,-0.262360572,47.675966,-116.695922
26820,"Idaho Falls, ID",51510,0.50969194,2.278186623,-1.755380706,0.209709361,-0.113057705,-0.109765632,43.620423,-112.420919
30300,"Lewiston, ID-WA",18110,0.271258417,1.57657093,-1.20921344,-0.028373401,0.362026203,-0.429751875,46.251696,-116.925017
38540,"Pocatello, ID",21360,0.479221959,2.703953242,-2.356714623,-0.067991938,0.216248375,-0.016273097,42.692921,-112.228982
14010,"Bloomington, IL",56460,0.320832054,2.507272877,-2.075662759,0.189968936,0.068899915,-0.369646915,40.405593,-88.861307
16580,"Champaign-Urbana, IL",74070,0.374724517,2.585656366,-2.16862032,0.278389574,-0.02430209,-0.296399013,40.234489,-88.298623
16980,"Chicago-Naperville-Elgin, IL-IN-WI",4007520,0.246789528,1.766893517,-1.768704424,0.151152543,0.395067771,-0.297619879,41.823521,-87.828297
19180,"Danville, IL",16920,0.47398773,2.411037946,-2.101777315,0.044721761,0.178428703,-0.058423364,40.186754,-87.726778
19500,"Decatur, IL",32580,0.358198282,1.69434876,-1.189071045,0.082987208,0.081355574,-0.311422214,39.860237,-88.961529
28100,"Kankakee, IL",30340,0.436399114,1.617516582,-1.572476741,0.062617217,0.487040747,-0.158298691,41.13951,-87.861117
37900,"Peoria, IL",135770,0.413441282,2.639481971,-2.392119281,0.410895698,-0.119719419,-0.125097687,40.788255,-89.514745
40420,"Rockford, IL",112830,0.334022247,2.231362055,-2.316555797,0.063374344,0.491940315,-0.13609867,42.331183,-89.042914
44100,"Springfield, IL",74610,0.128440011,2.066659178,-1.858064724,0.068260283,0.300878813,-0.44929354,39.828565,-89.696205
14020,"Bloomington, IN",46930,0.268381003,2.003996228,-1.823246533,0.137895776,0.383644231,-0.433908699,39.241736,-86.671754
18020,"Columbus, IN",31710,0.213328023,2.344139893,-2.463372706,-0.026289064,0.615156498,-0.256306598,39.205843,-85.897999
21140,"Elkhart-Goshen, IN",90410,0.457825998,1.491897976,-1.298045363,-0.001411568,0.399506268,-0.134121315,41.600693,-85.863986
21780,"Evansville, IN-KY",127720,0.428524157,1.620016019,-1.382910819,-0.106047702,0.502611177,-0.205144519,38.02007,-87.586166
23060,"Fort Wayne, IN",176320,0.373761429,1.801579684,-1.478515998,0.025017793,0.289886492,-0.264206541,41.006999,-85.216424
26900,"Indianapolis-Carmel-Anderson, IN",879250,0.327024422,1.617022552,-1.352822651,0.043613569,0.270512135,-0.251301183,39.74867,-86.212382
29020,"Kokomo, IN",23230,0.2993074,2.373167359,-1.933416456,0.238328988,0.027559132,-0.406331624,40.483537,-86.114118
29200,"Lafayette-West Lafayette, IN",62530,0.237854747,1.991122606,-1.78859895,0.165068413,0.323474399,-0.45321172,40.514717,-86.930475
33140,"Michigan City-La Porte, IN",29560,0.351382043,2.246570487,-1.928771011,0.076356463,0.300137207,-0.342911104,41.549013,-86.744739
34620,"Muncie, IN",31160,0.422107754,3.073426299,-2.270048331,0.145591506,-0.283774061,-0.243087659,40.227543,-85.399262
43780,"South Bend-Mishawaka, IN-MI",106000,0.246324767,1.734375622,-1.494615067,0.061597027,0.334203128,-0.389235943,41.774981,-86.123014
45460,"Terre Haute, IN",50690,0.320487422,2.058383809,-1.934044756,0.166892456,0.333743251,-0.304487337,39.392389,-87.347096
29940,"Lawrence, KS",35970,0.344049188,2.869951312,-2.292278706,0.222378499,-0.140121171,-0.315880746,38.896417,-95.290947
45820,"Topeka, KS",86820,0.317927784,1.781276671,-1.400366446,-0.059619989,0.38420747,-0.387569921,39.041389,-95.802639
48620,"Wichita, KS",242260,0.288549214,1.831863241,-1.760070466,-0.066410326,0.56676736,-0.283600595,37.629831,-97.398832
14540,"Bowling Green, KY",53910,0.458101517,2.502404025,-2.158619221,0.160328295,0.108883664,-0.154895246,37.046821,-86.397068
21060,"Elizabethtown-Fort Knox, KY",38420,0.720503439,3.205810245,-2.414619703,0.328378179,-0.58531261,0.186247329,37.73298,-85.972171
30460,"Lexington-Fayette, KY",208240,0.222580346,1.957040379,-1.854817817,0.095053013,0.359580977,-0.334276206,38.102876,-84.438545
31140,"Louisville/Jefferson County, KY-IN",534410,0.459445887,2.015124296,-1.615860424,-0.01751934,0.190505478,-0.112804122,38.33524,-85.668941
36980,"Owensboro, KY",38330,0.460127061,1.89865389,-1.379193285,0.000577961,0.151579288,-0.211490793,37.693723,-87.077058
10780,"Alexandria, LA",44370,0.457383504,2.144143933,-2.047983367,0.058777864,0.460199858,-0.157754784,31.325348,-92.546803
12940,"Baton Rouge, LA",323350,0.247295119,1.066831867,-1.009251648,-0.099678966,0.720680964,-0.431287097,30.57089,-91.134533
26380,"Houma-Thibodaux, LA",66710,0.333244989,2.001880846,-1.963227618,0.109261833,0.397275552,-0.211945625,29.33413,-90.843674
29180,"Lafayette, LA",160310,0.11291063,1.606714525,-1.886564325,0.04782687,0.872353543,-0.527419982,29.957773,-92.04935
29340,"Lake Charles, LA",82840,0.261542018,1.531311269,-1.338396884,0.129220101,0.284745358,-0.345337826,29.978755,-93.253243
33740,"Monroe, LA",58850,0.232187897,1.634023607,-1.710900232,-0.023430192,0.700479861,-0.367985147,32.690477,-92.262793
35380,"New Orleans-Metairie, LA",451730,0.242057203,1.608006859,-1.626555719,0.009129302,0.668922383,-0.417445622,29.805532,-89.701382
43340,"Shreveport-Bossier City, LA",138500,0.325483543,1.950268736,-1.862384293,-0.014681615,0.531378806,-0.279098091,32.490638,-93.671191
70900,"Barnstable Town, MA",85750,0.476385903,2.200752039,-1.447225148,0.153783261,-0.207423229,-0.22350102,41.799014,-70.21188
71650,"Boston-Cambridge-Nashua, MA-NH",2397790,0.127599535,1.439169858,-1.347624066,0.126943733,0.350801209,-0.4416912,42.517606,-71.021993
76600,"Pittsfield, MA",29000,0.149694705,1.893513697,-1.635969559,0.087529544,0.294273038,-0.489652014,42.371493,-73.217928
78100,"Springfield, MA-CT",281720,0.165883359,1.766399466,-1.790602731,0.172709006,0.408025037,-0.390647419,42.2478,-72.632108
79600,"Worcester, MA-CT",242690,0.145792449,1.187623952,-1.085343619,0.016318508,0.512173545,-0.484979938,42.217311,-71.925535
12580,"Baltimore-Columbia-Towson, MD",1142030,0.270849508,1.632885699,-1.334128676,0.132325876,0.107554595,-0.267787987,39.304361,-76.549501
19060,"Cumberland, MD-WV",25720,0.395115898,3.017163858,-2.269591191,0.116970567,-0.264798174,-0.204629162,39.532185,-78.807082
25180,"Hagerstown-Martinsburg, MD-WV",81220,0.296601883,2.176024647,-2.017126373,0.046367247,0.315648738,-0.224312376,39.542152,-77.899767
41540,"Salisbury, MD-DE",135050,0.283900653,0.630607328,-0.593387124,-0.255793076,0.995605911,-0.493132386,38.399521,-75.478262
70750,"Bangor, ME",48400,0.234903948,1.831680292,-2.061870093,-0.094803931,0.870493001,-0.310595321,45.409284,-68.666616
74650,"Lewiston-Auburn, ME",35700,0.261683952,1.600724837,-1.38803432,0.114326491,0.2633623,-0.328695357,44.167681,-70.207435
76750,"Portland-South Portland, ME",174450,0.257706621,1.784327983,-1.785011969,0.16587948,0.39946755,-0.306956423,43.651417,-70.418375
11460,"Ann Arbor, MI",168800,0.006278223,2.717706052,-2.604187134,0.482238453,-0.207455797,-0.382023352,42.252217,-83.843423
12980,"Battle Creek, MI",36240,0.219462147,1.172284897,-1.204051793,0.013334841,0.58003775,-0.342143547,42.24299,-85.012385
13020,"Bay City, MI",22930,0.48721937,2.837597915,-2.043652988,0.141087838,-0.315972768,-0.131840628,43.699711,-83.978701
19820,"Detroit-Warren-Dearborn, MI",1670130,0.357078718,1.885524758,-1.550250673,0.124016672,0.050001495,-0.152213534,42.721848,-83.200846
22420,"Flint, MI",106470,0.416782201,2.347106826,-1.641156577,0.078710853,-0.131764113,-0.236114788,43.021077,-83.706372
24340,"Grand Rapids-Wyoming, MI",469870,0.227122966,1.074266874,-1.211294609,0.012844312,0.697107863,-0.345801474,42.978632,-85.811208
27100,"Jackson, MI",39460,0.390402622,2.36941138,-1.915631134,0.199760281,-0.060341188,-0.202796717,42.248474,-84.420868
28020,"Kalamazoo-Portage, MI",113330,0.316018459,2.160474399,-1.899182336,0.14361919,0.162113523,-0.251006318,42.268871,-86.037373
29620,"Lansing-East Lansing, MI",168930,0.247073373,2.172814231,-1.752906778,0.359705443,-0.206899546,-0.325639976,42.713659,-84.605372
33780,"Monroe, MI",25370,0.556276832,3.591531725,-3.130806388,0.37489274,-0.338266929,0.058925685,41.916097,-83.487106
34740,"Muskegon, MI",46390,0.377074711,2.012869803,-1.458477133,-0.040016613,0.14552908,-0.282830425,43.289258,-86.751892
35660,"Niles-Benton Harbor, MI",47090,0.216654073,1.414558678,-1.267455971,-0.26075585,0.923626519,-0.593319302,41.791382,-86.742543
40980,"Saginaw, MI",61390,0.243034715,2.454620074,-2.335482652,-0.107068344,0.557235669,-0.326270032,43.328267,-84.05541
20260,"Duluth, MN-WI",103930,0.44400036,2.34135973,-1.855892249,0.111280209,0.101171598,-0.253918928,47.329703,-92.37627
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1684970,0.162498428,1.517329247,-1.618977771,0.061026972,0.52193395,-0.31881397,45.060982,-93.351369
40340,"Rochester, MN",71080,-0.015530542,1.125995758,-1.355332671,-0.349463979,1.229981557,-0.666711207,43.949636,-92.33607
41060,"St. Cloud, MN",82760,0.449264704,1.949383131,-1.266990322,-0.022128649,0.044838978,-0.255838435,45.593031,-94.488363
17860,"Columbia, MO",69260,0.353660642,1.976540505,-1.553536801,0.041534767,0.212383599,-0.323261428,38.989861,-92.310202
27620,"Jefferson City, MO",56810,0.144390534,2.173484294,-1.927261671,0.10094261,0.313808408,-0.516583108,38.637121,-92.089227
27900,"Joplin, MO",61120,0.357931362,2.37828143,-2.317343051,0.184425151,0.274018796,-0.161450964,37.055546,-94.339736
28140,"Kansas City, MO-KS",913590,0.314495441,1.852976414,-1.582005812,0.034426005,0.236033801,-0.226934967,38.931849,-94.443824
41140,"St. Joseph, MO-KS",37630,0.345522218,2.676517055,-2.251445245,0.255579803,-0.197734833,-0.137394563,39.834843,-94.783754
41180,"St. Louis, MO-IL",1168240,0.315389401,1.82375879,-1.637652556,0.066971021,0.297053284,-0.234741138,38.740372,-90.345956
44180,"Springfield, MO",169120,0.212393111,1.826049746,-1.828645236,0.039634593,0.434660242,-0.259306233,37.36087,-93.180262
25060,"Gulfport-Biloxi-Pascagoula, MS",120600,0.450931462,2.173126532,-1.47452336,0.039882691,-0.038748879,-0.248805522,30.430245,-88.979736
25620,"Hattiesburg, MS",45960,0.468943818,2.916865778,-1.886573236,-0.021719855,-0.338936779,-0.20069209,31.188441,-89.232741
27140,"Jackson, MS",214410,0.314381284,2.13378016,-1.657840561,0.085554577,0.11792268,-0.365035571,32.316001,-90.22084
13740,"Billings, MT",66560,0.347485127,2.290019133,-1.957254088,0.235395611,0.166094678,-0.386770206,45.775175,-108.726537
24500,"Great Falls, MT",25110,0.552800046,2.435788691,-1.547480651,-0.043780849,-0.008075414,-0.283651731,47.316575,-111.350262
33540,"Missoula, MT",46490,0.439265309,2.470104947,-1.847276314,0.116597219,0.051712028,-0.351872572,47.027263,-113.892691
11700,"Asheville, NC",159210,0.500929784,2.199837397,-1.810702882,0.000737031,0.219368688,-0.108310449,35.595669,-82.681615
15500,"Burlington, NC",44580,0.370873823,2.060208019,-2.050632922,-0.192527247,0.74666309,-0.192837117,36.043954,-79.400573
16740,"Charlotte-Concord-Gastonia, NC-SC",1050680,0.426706093,1.768966271,-1.425202689,0.070771274,0.167758122,-0.155586885,35.187295,-80.867491
20500,"Durham-Chapel Hill, NC",238550,0.171073633,2.010358001,-1.74738961,0.152247752,0.045052525,-0.289195035,35.995536,-79.09699
22180,"Fayetteville, NC",100010,0.657850533,2.704913416,-1.958555004,0.160816674,-0.279107108,0.029782554,35.037956,-78.982209
24140,"Goldsboro, NC",28200,0.767703065,2.204848237,-1.30853404,-0.055044688,-0.059870151,-0.013696293,35.35419,-78.00867
24660,"Greensboro-High Point, NC",307860,0.372037963,1.650147992,-1.459535987,0.006088085,0.381124694,-0.205786821,36.025204,-79.792633
24780,"Greenville, NC",54290,0.692105809,2.596777349,-1.691774624,0.046940808,-0.329664625,0.069826902,35.59249,-77.372739
25860,"Hickory-Lenoir-Morganton, NC",123700,0.584841133,2.068851279,-1.438766789,0.042297639,-0.059443656,-0.028097341,35.814611,-81.457066
27340,"Jacksonville, NC",34790,0.760396595,3.043890498,-1.744000895,-0.138071736,-0.399732393,-0.00168888,34.763109,-77.499469
