,State,Metropolitan Areas,Automation Index,Race with the Machine,Communication,Managerial Task,Clerical Task,Equipment Maintenance,Race against the Machine,Information Processing,Perceptual Task,Equipment Operation,Operation Monitoring,Physical Task,Race ahead of the Machine,Strategic Thinking,Running a Different Race,Dynamic Physical Task,Hazardous Task,Group Task,Conflict Resolution,Creative Thinking,Changing the Course of a Race,Routine Task
10, AL,Mobile,48.80740929,13.55963778,4.26385556,2.1630827569999997,5.0258473839999995,2.106852083,18.73393536,3.6027102419999997,3.8721433139999997,3.878728676,2.966633362,4.413719767,1.951616515,1.951616515,11.6584628,4.747435136,2.182626011,1.3463315809999998,2.7557422939999996,0.626327779,2.9037568339999997,2.9037568339999997
11, AL,Montgomery,48.966508600000004,14.25068375,4.514326689,2.3215948280000003,5.607945735,1.8068164969999998,17.99958042,3.991029689,3.1810067639999997,3.5065863989999997,3.066401663,4.254555906,2.24783669,2.24783669,11.35905657,4.572431452,1.800013545,1.3703398519999999,2.950986737,0.66528498,3.109351176,3.109351176
12, AL,Tuscaloosa,48.71261131,13.21030964,4.363598657,2.205193821,4.766180024,1.875337135,18.70017216,3.5041612989999997,3.659884486,3.9246569539999996,2.937660824,4.673808598,1.837599459,1.837599459,12.21936115,5.059576241,2.1081645140000003,1.392852959,3.0596449010000004,0.599122532,2.7451689089999998,2.7451689089999998
13, AR-MO,Fayetteville-Springdale-Rogers,48.73780588,13.04324409,4.181317137,2.080097173,4.701336947,2.080492836,19.31552313,3.380259485,3.818878544,4.512505977,2.9482438639999997,4.655635263,1.9155495480000002,1.9155495480000002,11.83387332,4.859670875,2.2564838369999998,1.35987028,2.7165603789999997,0.641287946,2.629615788,2.629615788
14, AR-OK,Fort Smith,48.66966325,12.63343536,4.121447577,2.0946129780000002,4.311290629,2.1060841790000002,19.42236646,3.3114710919999997,3.876887782,4.512627526,3.068585945,4.652794118,1.8392469980000001,1.8392469980000001,12.19790179,4.960594393,2.407246447,1.36159838,2.862641014,0.605821552,2.576712645,2.576712645
15, AR,Hot Springs,48.64466055,13.544835199999998,5.081090734,2.0799618019999997,4.97880938,1.40497328,17.40120978,3.5926494780000002,2.852541237,3.507055107,2.665532454,4.7834315069999995,1.699779366,1.699779366,13.17864959,5.961957302,1.776158361,1.524660347,3.339486828,0.576386754,2.820186614,2.820186614
16, AR,Jonesboro,48.54260282,13.20575579,4.741425304,2.184313485,4.599950562,1.680066436,18.15770523,3.4398597019999997,3.385793904,3.781676415,2.819191278,4.731183934,1.858786615,1.858786615,12.64160291,5.299352809,1.974451807,1.442556636,3.311651271,0.613590391,2.678752271,2.678752271
17, AR,Little Rock-North Little Rock-Conway,48.84549697,14.45677967,4.723781376,2.284390196,5.605249426,1.8433586709999998,17.75118066,3.882034693,3.216598652,3.4499727989999998,3.1497542839999997,4.0528202339999995,2.302023183,2.302023183,11.3373751,4.456863858,1.761259814,1.3834753469999999,3.03570552,0.700070558,2.9981383580000003,2.9981383580000003
18, AR,Pine Bluff,48.60044607,12.61437955,4.2356227980000005,2.276228089,4.3637844480000005,1.738744215,18.554214,3.330251947,3.504590975,4.038360963,3.0293374510000004,4.651672668,1.7443978869999999,1.7443978869999999,12.98212583,5.25128185,2.150685878,1.466441794,3.583571637,0.53014467,2.7053287999999998,2.7053287999999998
19, AZ,Flagstaff,48.20075058,13.47435274,4.865815288,2.320323665,4.813191794,1.475021996,16.85250779,3.2804522069999997,2.837688865,3.22429459,2.6743629280000003,4.835709201,2.094804339,2.094804339,13.37419881,6.078195362000001,1.808614421,1.5173542230000001,3.34545084,0.6245839670000001,2.404886896,2.404886896
20, AZ,Lake Havasu City-Kingman,48.55841295,13.23777987,4.585416295,2.178647874,4.861536965,1.6121787369999998,18.24294866,3.4809256860000004,3.537120317,3.6266698460000004,2.7461195660000004,4.852113247,1.7903970359999999,1.7903970359999999,12.58030149,5.596686517,1.922575504,1.403806818,3.0627954510000004,0.594437202,2.70698589,2.70698589
21, AZ,Phoenix-Mesa-Scottsdale,48.86592426,14.45833322,4.617206744,2.1756110669999997,5.712682009,1.9528333999999998,17.86587197,3.8672505989999997,3.441627066,3.375359972,3.0005511589999996,4.181083173,2.224848241,2.224848241,11.3293377,4.616898138,1.769717843,1.384835205,2.860870755,0.697015763,2.987533123,2.987533123
22, AZ,Prescott,48.45606442,13.408881699999998,4.64902203,2.18630507,4.923007633,1.6505469680000002,17.89699638,3.327130878,3.535219487,3.671633407,2.7180752110000004,4.644937400000001,1.876421058,1.876421058,12.63726235,5.560347605,1.983390315,1.421570142,3.08886925,0.583085035,2.636502932,2.636502932
23, AZ,Tucson,48.76059188,14.72183857,4.7736767989999995,2.353289619,5.705555927000001,1.8893162280000002,17.15621684,3.871933652,2.9803718889999997,3.219599932,3.064370798,4.019940573,2.463618739,2.463618739,11.44698498,4.5396852,1.650562736,1.405790354,3.130290182,0.720656503,2.9719327489999996,2.9719327489999996
24, AZ,Yuma,48.39117378,11.84073844,3.830501697,1.8371769059999998,4.335665921,1.8373939190000002,20.12777694,3.00020663,4.962470816000001,4.59434818,2.48920339,5.08154792,1.592858701,1.592858701,12.48318081,5.869474294,2.293827899,1.196836862,2.668016305,0.45502544799999994,2.346618896,2.346618896
25, CA,Bakersfield,48.38180467,11.98928764,3.763354324,2.0407689490000003,4.09679739,2.088366976,20.02286342,3.049936592,4.838405848,4.660065578,2.685496183,4.788959223,1.8334597590000001,1.8334597590000001,12.22395357,5.2317214000000005,2.266034574,1.263179668,2.876177197,0.586840735,2.312240272,2.312240272
26, CA,Chico,48.694753799999994,14.28745741,5.203052458,2.240404934,5.490020754,1.353979268,16.84609071,3.7107103269999997,2.759691761,3.345630406,2.739236417,4.290821796,1.910741899,1.910741899,12.73727166,5.337439028,1.6166318380000002,1.522041357,3.610456831,0.6507026029999999,2.9131921239999996,2.9131921239999996
27, CA,El Centro,48.22305687,11.8816121,4.206613962,2.01524263,4.048900133,1.6108553719999998,19.82785797,3.069262625,5.027987566,4.561091695,2.432219791,4.73729629,1.68760024,1.68760024,12.70051315,5.732350511,2.128608896,1.2386186000000001,3.0224739439999997,0.578461199,2.125473417,2.125473417
28, CA,Fresno,48.63918552,13.04520295,4.282691494,2.200649011,4.8220108239999995,1.73985162,19.10993484,3.468858202,4.002892741,4.277834422,2.766963997,4.593385479,1.975585214,1.975585214,11.86633063,5.004361352,2.033668273,1.286228955,2.9185087960000002,0.623563257,2.6421318869999997,2.6421318869999997
29, CA,Hanford-Corcoran,48.35388213,12.56834762,4.433045096,2.296007115,4.02763599,1.811659423,18.29587605,3.294687891,3.2675714410000003,3.9247470019999997,2.8032288480000003,5.005640869,1.859842899,1.859842899,13.14130971,5.53324283,2.0216058390000002,1.3906343769999998,3.5364596919999998,0.659366971,2.488505844,2.488505844
30, CA,Los Angeles-Long Beach-Anaheim,48.93379151,15.03983883,4.766807631,2.469930752,5.927642041,1.8754584090000002,17.22564481,3.969127613,2.878822993,3.434087219,2.9785398130000003,3.965067172,2.486342544,2.486342544,11.12931548,4.2839652710000005,1.644047874,1.424277695,2.962704307,0.814320333,3.0526498419999997,3.0526498419999997
31, CA,Madera,48.478421000000004,11.39594865,3.488835195,1.930637467,4.14631799,1.830158002,20.72451331,2.930766967,5.152624884,4.936004987,2.383635177,5.3214812910000004,1.5383131559999998,1.5383131559999998,12.38499237,5.779569331,2.462403486,1.174969299,2.513890982,0.45415927100000003,2.434653517,2.434653517
32, CA,Merced,48.4024593,12.48639176,4.309488937,2.210674473,4.378497493,1.587730858,19.08972867,3.251736016,3.947591988,4.262711442,2.7319221689999997,4.895767053,1.831706258,1.831706258,12.6025355,5.362260935,1.9856427859999999,1.33098787,3.27655249,0.647091422,2.392097108,2.392097108
33, CA,Modesto,48.51947849,12.97230847,4.39152736,2.247564202,4.545504554,1.787712351,18.648097500000002,3.3920573110000003,3.63164746,4.056252756,2.758435327,4.8097046489999995,1.917496876,1.917496876,12.43815236,5.267132293,2.071280719,1.3467552409999999,3.1022360769999997,0.650748026,2.543423288,2.543423288
34, CA,Napa,48.43005116,13.17694349,4.470091913,2.273042206,4.6500204730000005,1.783788902,18.23086281,3.197092006,3.712106257,3.840129605,2.845731236,4.635803707,1.934920217,1.934920217,12.52579967,5.525130831,2.109338743,1.398355044,2.852079247,0.6408958020000001,2.56152497,2.56152497
35, CA,Oxnard-Thousand Oaks-Ventura,48.76950398,14.52613995,4.691200574,2.418413224,5.503186949,1.913339202,17.4622686,3.8353193180000003,3.060654354,3.515031402,2.92884968,4.12241385,2.431265748,2.431265748,11.47638014,4.692146219,1.697861479,1.416150416,2.926967913,0.7432541090000001,2.873449545,2.873449545
36, CA,Redding,48.55242614,13.4933628,4.736967453,2.2351257159999998,4.978970268,1.542299361,17.83060643,3.516688162,3.34581488,3.613779287,2.8663938260000004,4.487930272,1.924080554,1.924080554,12.59836343,5.256331307,1.7942197619999998,1.44926836,3.408683232,0.689860767,2.7060129330000002,2.7060129330000002
37, CA,Riverside-San Bernardino-Ontario,48.49258216,13.25126042,4.462027803,2.261264439,4.686058013,1.84191016,18.50607836,3.421791503,3.730339059,3.868532098,2.844300832,4.641114868,1.981731471,1.981731471,12.21836106,5.122805801,2.011307214,1.3529728,3.0715437710000004,0.6597314679999999,2.535150861,2.535150861
38, CA,Sacramento--Roseville--Arden-Arcade,48.94085264,15.11071635,4.837043028,2.509731521,6.020112332,1.7438294730000001,17.07551934,4.20964766,2.9143733480000003,3.109196856,3.114967918,3.72733356,2.58639007,2.58639007,11.05280744,4.2406993139999996,1.543581427,1.434831595,3.0546780669999998,0.779017032,3.11541944,3.11541944
39, CA,Salinas,48.27188892,11.67031391,3.912503628,1.948654121,4.1185948439999995,1.690561321,19.93867915,2.880437812,4.673183879,4.754216533,2.4043308359999997,5.226510091000001,1.702120118,1.702120118,12.75023234,5.994587565,2.215158352,1.253580627,2.714702441,0.572203354,2.210543398,2.210543398
40, CA,San Diego-Carlsbad,48.73029708,14.90594983,4.820108609,2.487151341,5.700836607,1.8978532769999998,16.84355326,3.987548027,2.781088796,3.171356812,2.977640112,3.92591951,2.583006845,2.583006845,11.51682535,4.58995802,1.6165113000000002,1.480947129,3.036110578,0.7932983259999999,2.8809617939999996,2.8809617939999996
41, CA,San Francisco-Oakland-Hayward,48.88623484,15.50652918,4.777172441,2.638304809,6.155783463,1.935268466,16.61079966,4.22108386,2.664201237,3.0386538730000003,3.030532939,3.65632775,2.863715022,2.863715022,10.8294616,4.141465237,1.485329989,1.47926223,2.846530296,0.876873845,3.0757293789999998,3.0757293789999998
42, CA,San Jose-Sunnyvale-Santa Clara,49.01386269,16.03242318,4.447376396,2.669452623,6.257822559,2.657771603,16.18339179,4.474901619,2.388856385,2.837147546,3.176905156,3.3055810880000003,3.5362662360000003,3.5362662360000003,10.1425895,3.72013792,1.4049745319999998,1.545120511,2.5431307469999997,0.929225788,3.11919198,3.11919198
43, CA,San Luis Obispo-Paso Robles-Arroyo Grande,48.46173521,13.74209283,4.913713446,2.238238584,5.006853462,1.583287339,17.2422371,3.498592295,3.142850878,3.4845398189999996,2.670949443,4.44530467,1.927112405,1.927112405,12.96209266,5.6483923670000005,1.853385505,1.508071642,3.280425899,0.6718172459999999,2.588200206,2.588200206
44, CA,Santa Cruz-Watsonville,48.50417032,14.58274606,5.203382586,2.4870578169999997,5.4393984510000015,1.452907206,16.53537542,3.662807046,2.735657629,3.104368364,2.729767508,4.302774878,2.3256247119999998,2.3256247119999998,12.28826061,5.151117388,1.511556065,1.5006983109999998,3.3744454889999997,0.7504433620000001,2.772163506,2.772163506
45, CA,Santa Maria-Santa Barbara,48.72761717,14.22082507,4.59190861,2.267998785,5.521289352999999,1.839628321,17.46504821,3.672844594,3.196906092,3.5564795360000003,2.665151804,4.37366618,2.241515267,2.241515267,11.94345906,5.157341472,1.769763016,1.3990789540000002,2.936855591,0.680420025,2.856769574,2.856769574
46, CA,Santa Rosa,48.58256552,14.02972866,4.6889770319999995,2.405102586,5.12076507,1.814883971,17.60829973,3.609520284,3.311208137,3.5769588160000003,2.870542302,4.240070189,2.196299181,2.196299181,12.00675238,4.951825931,1.837755118,1.444417489,3.0451296180000003,0.727624222,2.7414855730000003,2.7414855730000003
47, CA,Stockton-Lodi,48.5561958,12.80639648,4.196910776,2.196505074,4.535438903999999,1.8775417269999999,19.27439432,3.3222910189999997,4.052764656,4.2866604630000005,2.786081846,4.826596333,1.899644985,1.899644985,12.00703494,5.094552328,2.1162280819999997,1.286537984,2.900837128,0.60887942,2.568725078,2.568725078
48, CA,Vallejo-Fairfield,48.449518299999994,13.8175361,4.898902778,2.400465502,4.901844803,1.6163230130000001,17.44855392,3.6067468289999995,3.243668294,3.4343842380000003,2.812945937,4.350808626,2.104910817,2.104910817,12.454837699999999,5.284749627,1.774538827,1.440121258,3.265291842,0.69013615,2.623679761,2.623679761
49, CA,Visalia-Porterville,48.4717061,11.5730394,3.7400319189999998,1.9481885230000002,4.023715929,1.8611030309999999,20.57368378,2.941998565,4.931194291000001,5.094544138,2.449182003,5.15676478,1.631992703,1.631992703,12.39760683,5.543334351,2.337184212,1.188540322,2.80319582,0.525352127,2.29538339,2.29538339
50, CA,Yuba City,48.36454267,13.53483553,4.859778394,2.442625256,4.714403273,1.51802861,17.70375651,3.4678126610000004,3.550611123,3.536072582,2.778533724,4.37072642,2.037721172,2.037721172,12.55887422,5.200848007,1.78343037,1.469396765,3.42078464,0.684414443,2.529355234,2.529355234
51, CO,Boulder,49.04328296,16.30383338,4.842485344,2.42493227,6.642881767,2.393534,15.82536963,4.404370267,2.123036892,2.681253894,3.268939287,3.3477692930000003,3.416605423,3.416605423,10.21379017,3.840290025,1.287323805,1.4906635019999999,2.682667317,0.912845517,3.28368436,3.28368436
52, CO,Colorado Springs,48.82235574,15.36109126,4.975904306,2.3519574469999998,6.0754089570000005,1.95782055,16.48799837,4.0279805589999995,2.596667975,2.9174876789999997,3.104504662,3.841357491,2.673511025,2.673511025,11.24049272,4.484317936,1.507125491,1.4257294090000001,3.0319297389999997,0.79139015,3.059262363,3.059262363
53, CO,Denver-Aurora-Lakewood,48.84576322,15.26872067,4.789816363,2.409063454,6.069966365,1.99987449,17.05061294,4.0897788539999995,3.0400670460000003,3.073744108,3.1049877610000003,3.7420351710000004,2.694377883,2.694377883,10.79285099,4.1595591380000005,1.616207764,1.394320464,2.808847715,0.8139159090000001,3.039200732,3.039200732
54, CO,Fort Collins,48.55958629,14.49025528,4.903788502,2.261947289,5.4713966229999995,1.8531228709999998,16.99987415,3.7316572139999997,2.968418746,3.2222243089999996,2.779250769,4.2983231160000015,2.255529665,2.255529665,12.02284881,5.210057961,1.7416975469999998,1.421185876,2.9354601330000003,0.71444729,2.7910783789999996,2.7910783789999996
55, CO,Grand Junction,48.70972276,13.81869113,4.79574152,1.943001431,5.298032264,1.78191591,18.16673334,3.481447207,3.645057458,3.69137244,2.7382003939999997,4.610655844,1.723744509,1.723744509,12.18950592,5.381653295,1.9745295569999999,1.3769269030000002,2.855672241,0.600723925,2.8110478580000002,2.8110478580000002
56, CO,Greeley,48.61721685,13.51795937,4.225237816,2.265100234,4.908431466000001,2.11918985,18.78353312,3.448236617,4.104812829,3.8305459010000003,2.948468862,4.451468908,1.977556064,1.977556064,11.63181174,4.79194727,2.195016861,1.336816129,2.698933128,0.609098355,2.706356557,2.706356557
57, CO,Pueblo,48.60679692,13.8476133,5.060212921000001,1.993292076,5.295244349,1.49886395,17.52534428,3.565851012,3.074276357,3.366270918,2.78589651,4.7330494839999995,1.75913869,1.75913869,12.664696800000002,5.558741652,1.8094665840000002,1.3993023740000001,3.355188804,0.541997383,2.810003857,2.810003857
58, CT,Bridgeport-Stamford-Norwalk,48.87075770000001,15.84443835,5.118935873,2.764375715,6.258650211,1.7024765480000001,16.341385199999998,4.341240792,2.505951591,2.92550735,3.130192904,3.4384925660000003,2.897729477,2.897729477,10.69748587,3.935302987,1.435857905,1.417483725,2.988067359,0.920773897,3.0897188,3.0897188
59, CT,Hartford-West Hartford-East Hartford,49.005030299999994,15.66333341,4.844685769,2.6468339640000003,6.254017972000001,1.917795705,16.67461508,4.2935867110000006,2.5495993809999997,3.108552097,3.295535952,3.4273409339999996,2.851979188,2.851979188,10.643051,3.827004938,1.559755085,1.406373646,3.019691745,0.830225581,3.17205163,3.17205163
60, CT,New Haven,48.73037886,15.01564897,4.91614364,2.57092835,5.689425657,1.839151318,16.94291916,3.852818461,2.859008046,3.3471382889999997,3.096370435,3.787583932,2.534150124,2.534150124,11.3231217,4.335386037,1.701829355,1.438267142,3.076013787,0.7716253790000001,2.914538908,2.914538908
61, CT-RI,Norwich-New London-Westerly,48.48990153,14.05199787,4.905637979,2.4105029819999997,5.095528855,1.640328054,16.784234100000006,3.561796583,2.651415364,3.315429628,2.881033673,4.374558854,2.253834119,2.253834119,12.74113003,5.3764080110000005,1.653248747,1.523442406,3.4835715680000003,0.7044592940000001,2.65870541,2.65870541
62, DC-VA-MD-WV,Washington-Arlington-Alexandria,49.01178966,15.87098915,4.738795613,2.510413726,6.516208163,2.105571651,16.48771864,4.617823807,2.520353525,2.79007687,3.194639568,3.364824872,3.226355442,3.226355442,10.23822394,3.84057222,1.3753500180000002,1.413602478,2.726836618,0.881862604,3.188502483,3.188502483
63, DE,Dover,48.79171424,14.16575067,4.929768991,2.1422921969999997,5.473410637000001,1.6202788419999998,17.73932955,3.93799125,3.0846698910000003,3.313386803,2.9756349319999997,4.427646677,2.058217099,2.058217099,11.905167599999999,5.125835867,1.700455488,1.376443536,3.0669231160000003,0.635509592,2.923249325,2.923249325
64, FL,Cape Coral-Fort Myers,48.59488937,13.70327796,4.790701267,2.002832457,5.1827752789999995,1.726968953,17.99353992,3.67429282,3.470698079,3.351806358,2.7835722339999998,4.7131704260000005,1.940418156,1.940418156,12.12872769,5.465729564,1.829855885,1.362957023,2.854142623,0.6160425970000001,2.828925649,2.828925649
65, FL,Crestview-Fort Walton Beach-Destin,48.80287546,14.17237549,4.90987965,1.868488102,5.465507421,1.9285003180000002,17.25469201,3.9229991419999997,2.600337112,3.094444945,2.9506253289999997,4.686285483,2.12916766,2.12916766,12.33516091,5.700984538999999,1.6360658380000002,1.4271122459999999,2.91533425,0.655664034,2.911479393,2.911479393
66, FL,Deltona-Daytona Beach-Ormond Beach,48.89188715,14.16534609,4.947828057,1.884881579,5.757162059,1.5754743930000001,17.73987756,3.7324246160000003,3.035315835,3.3793978589999996,2.914752285,4.677986961,1.8538643769999998,1.8538643769999998,12.04588044,5.348336135,1.746405758,1.34785054,3.011420256,0.59186775,3.08691869,3.08691869
67, FL,Gainesville,48.98156314,14.99260682,4.7931096239999995,2.2871537930000003,6.422610542,1.4897328630000002,17.06244274,4.261974651,2.4490539080000002,3.009857904,2.944167189,4.397389091,2.3734304859999997,2.3734304859999997,11.28719859,4.91603189,1.491545149,1.375212965,2.885207624,0.61920096,3.2658844989999998,3.2658844989999998
68, FL,Jacksonville,48.95631317,14.62741548,4.7997665089999995,2.151966507,5.898811733,1.776870734,17.83126641,4.045788092,3.126415042,3.308655988,3.120859815,4.229547469,2.280934936,2.280934936,11.08521085,4.537966741,1.6862328830000002,1.327487624,2.833089344,0.7004342590000001,3.131485493,3.131485493
69, FL,Lakeland-Winter Haven,48.83565716,13.36334179,4.376913013,1.8829444469999999,5.171355154,1.932129178,19.1840851,3.539248035,3.990324172,3.87677323,2.948345388,4.82939427,1.8127258469999998,1.8127258469999998,11.56674322,4.994881036000001,2.103296116,1.237692154,2.645951133,0.5849227779999999,2.9087612039999997,2.9087612039999997
70, FL,Miami-Fort Lauderdale-West Palm Beach,48.94020363,14.78167162,4.974453868,2.0979237040000003,6.084253697,1.6250403530000002,17.44776217,4.020671667,2.993921173,3.160017107,3.019646942,4.253505283,2.240885669,2.240885669,11.2941284,4.632821771000001,1.565120651,1.359796157,3.0162370569999997,0.7201527679999999,3.175755762,3.175755762
71, FL,Naples-Immokalee-Marco Island,48.42713482,13.34196655,4.700068632,1.979921385,4.945379546,1.7165969859999999,17.96229277,3.309865517,3.561119792,3.562452134,2.538250991,4.99060434,1.759878092,1.759878092,12.79548932,5.945684042999999,1.944022208,1.4506727940000002,2.872462388,0.5826478860000001,2.567508089,2.567508089
72, FL,North Port-Sarasota-Bradenton,48.77017958,14.20497395,4.842490336,2.05278133,5.625423882000001,1.684278404,17.74992786,3.7187391080000003,3.1894905660000004,3.403324642,2.8471118910000004,4.591261651,2.0234122969999997,2.0234122969999997,11.81520321,5.15682055,1.7873970730000002,1.32668175,2.9033618,0.640942035,2.9766622660000004,2.9766622660000004
73, FL,Ocala,48.82567246,13.53076004,4.698370074,1.790135515,5.275425566,1.766828888,18.76266088,3.5795870489999997,3.725453049,3.6886154839999996,2.826102595,4.942902703,1.72502727,1.72502727,11.85373391,5.2097615610000005,1.943597394,1.2985390620000001,2.820211987,0.581623901,2.9534903580000003,2.9534903580000003
74, FL,Orlando-Kissimmee-Sanford,48.68390523,14.15851062,4.818417674,2.090368306,5.481722286,1.768002356,17.60498725,3.71848351,3.141081984,3.35412201,2.930359627,4.460940116000001,2.18361419,2.18361419,11.90205358,5.117548369,1.752057606,1.363607499,2.984295785,0.684544319,2.8347395939999998,2.8347395939999998
75, FL,Palm Bay-Melbourne-Titusville,48.97677011,14.64378963,4.55544375,2.057903395,5.776814705,2.253627785,17.45204066,4.071029183,2.872678795,3.1712596339999997,3.04708063,4.289992415,2.4544838159999998,2.4544838159999998,11.27134604,4.746629158,1.6469366019999998,1.391157977,2.794563469,0.69205883,3.1551099660000004,3.1551099660000004
76, FL,Panama City,48.693443200000004,13.38982265,4.5687713510000005,1.8107495359999999,5.071466336,1.938835427,18.15769705,3.5138757989999996,3.4568672030000003,3.4912628530000003,2.867337545,4.828353653,1.8258266440000002,1.8258266440000002,12.43998257,5.64028935,1.957817035,1.437442906,2.836429812,0.568003472,2.880114282,2.880114282
77, FL,Pensacola-Ferry Pass-Brent,49.03883496,14.36186459,4.738600474,1.977005154,5.887780762999999,1.758478204,17.82768492,3.964825794,3.104999358,3.270857032,2.93027696,4.556725779,2.027051695,2.027051695,11.51620284,5.001695345,1.708673766,1.331239674,2.856399826,0.6181942260000001,3.30603091,3.30603091
78, FL,Port St. Lucie,48.78788541,13.73011238,4.734640229,1.9166288759999999,5.422013538,1.656829739,18.37850653,3.616003758,3.597001852,3.593797447,2.861849194,4.709854276000001,1.835773012,1.835773012,11.88765672,5.146770228,1.870373855,1.316270317,2.9543612739999996,0.599881046,2.955836767,2.955836767
79, FL,Punta Gorda,48.670432500000004,13.50629279,5.0413677539999995,1.778593932,5.2558369019999995,1.4304942019999998,18.0300832,3.6317852260000003,3.205590325,3.371345092,2.602709313,5.218653248,1.63189398,1.63189398,12.60063595,6.105523176,1.732614022,1.3310408059999999,2.897302977,0.534154968,2.901526582,2.901526582
80, FL,Sebastian-Vero Beach,48.51174647,13.34553427,4.865251309,1.9968361030000001,4.963782704,1.51966415,18.13621246,3.48818875,3.334113194,3.674324017,2.81254545,4.8270410539999995,1.831717361,1.831717361,12.49696467,5.721494108,1.778726328,1.351214015,3.036973039,0.608557178,2.701317714,2.701317714
81, FL,Tallahassee,49.09909399,15.73477785,4.933033813,2.3968668109999998,6.747113654,1.6577635769999999,16.746573,4.445100967,2.53226661,2.850396763,3.1374440669999997,3.781364592,2.742135319,2.742135319,10.54562366,4.269324189,1.361444155,1.3667019219999998,2.846622374,0.7015310220000001,3.3299841519999998,3.3299841519999998
82, FL,Tampa-St. Petersburg-Clearwater,48.96414156,14.76958928,4.831255846,2.153296465,5.996485579,1.7885513880000001,17.61629278,4.038047125,3.025341548,3.2562669989999997,3.113837153,4.182799956,2.354391905,2.354391905,11.05621294,4.490742805,1.655285985,1.3080608040000001,2.8730178210000004,0.729105522,3.167654658,3.167654658
83, GA,Albany,48.61850111,14.00242402,4.9174829319999995,2.339500793,5.2313498869999995,1.514090409,17.59540974,3.57730167,3.523228843,3.4000545960000004,2.94710526,4.147719367,1.978977769,1.978977769,12.19245528,4.805666748,1.7624554419999998,1.4769442240000001,3.482362194,0.665026675,2.8492342980000003,2.8492342980000003
