Job Code,Job Title,Job Family,Race ahead of the Machine,Race with the Machine,Race against the Machine,Running a Different Race
11-9131,Postmasters and Mail Superintendents,Management Occupations,3.429735604,7.570443947,12.84535274,0.338559845
11-9141,"Property, Real Estate, and Community Association Managers",Management Occupations,-1.352217931,15.5478388,2.24398387,-2.297401446
11-9151,Social and Community Service Managers,Management Occupations,-0.040810559,-0.316121731,-0.647342926,-2.30221371
11-9161,Emergency Management Directors,Management Occupations,21.71089734,19.82936256,17.71643363,2.505492717
13-1031,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations Occupations,-1.309742193,3.245643605,4.916216439,1.889206155
13-1032,"Insurance Appraisers, Auto Damage",Business and Financial Operations Occupations,-3.586300996,5.172046605,6.518952054,3.306814135
13-1041,Compliance Officers,Business and Financial Operations Occupations,1.539464811,-4.796211118,-5.765035424,-3.237006372
13-1051,Cost Estimators,Business and Financial Operations Occupations,7.520023806,4.441186494,5.317914413,2.076596326
13-1081,Logisticians,Business and Financial Operations Occupations,12.23266237,10.95892907,12.57750739,-1.031890294
13-1111,Management Analysts,Business and Financial Operations Occupations,11.24825009,6.824376515,-1.138019162,-9.095607431
13-1121,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,17.51672769,15.75891043,13.98483222,3.372385451
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,-1.919520155,0.047068807,-4.050350223,-2.14039227
13-1151,Training and Development Specialists,Business and Financial Operations Occupations,7.836667868,-0.982666493,8.113157317,1.412112886
13-1161,Market Research Analysts and Marketing Specialists,Business and Financial Operations Occupations,38.61325023,5.117189672,12.60276223,0.961360794
13-2011,Accountants and Auditors,Business and Financial Operations Occupations,13.77418219,3.811644335,8.117705556,0.981831812
13-2021,Appraisers and Assessors of Real Estate,Business and Financial Operations Occupations,3.133331204,1.002809737,-2.649388807,-0.964290616
13-2031,Budget Analysts,Business and Financial Operations Occupations,4.435107335,1.85165825,3.459624908,2.449259862
13-2041,Credit Analysts,Business and Financial Operations Occupations,-5.494752698,2.648705284,2.570278675,-3.411614341
13-2051,Financial Analysts,Business and Financial Operations Occupations,-16.74943855,-12.99439152,-6.120465069,0.337834582
13-2052,Personal Financial Advisors,Business and Financial Operations Occupations,6.618452718,9.086341027,0.588917065,-0.729345055
13-2053,Insurance Underwriters,Business and Financial Operations Occupations,-6.544227404,-3.170375208,0.161011401,-3.677296198
13-2061,Financial Examiners,Business and Financial Operations Occupations,-4.482762809,-12.39004801,3.852124617,-2.849017006
13-2071,Credit Counselors,Business and Financial Operations Occupations,-15.76341067,-15.57449032,-12.81189776,-7.834413359
13-2072,Loan Officers,Business and Financial Operations Occupations,12.93454764,-0.702081768,4.986067185,-2.171109504
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations Occupations,-0.541600145,-1.279959401,8.009971079,-0.003815615
13-2082,Tax Preparers,Business and Financial Operations Occupations,-8.959522708,-1.858214702,-0.24874914,0.238209745
15-1121,Computer Systems Analysts,Computer and Mathematical Occupations,-2.705642245,2.300790522,0.578233858,-1.335603861
15-1131,Computer Programmers,Computer and Mathematical Occupations,-17.93600054,3.211742471,5.472894402,-2.365630505
15-1132,"Software Developers, Applications",Computer and Mathematical Occupations,-1.300881548,5.014354418,-7.657405046,-0.557124055
15-1133,"Software Developers, Systems Software",Computer and Mathematical Occupations,-43.69818144,-6.220029906,-11.15041809,-13.25290194
15-1141,Database Administrators,Computer and Mathematical Occupations,4.516143948,-1.415348979,2.47918313,7.723545361
15-1142,Network and Computer Systems Administrators,Computer and Mathematical Occupations,-4.466778952,1.376213025,-1.760255041,2.998298046
15-1151,Computer User Support Specialists,Computer and Mathematical Occupations,5.131915271,-0.254835089,-3.481526609,2.910229141
15-1199,"Computer Occupations, All Other",Computer and Mathematical Occupations,-9.313755857,-1.769993873,2.482414009,-1.632265983
15-2011,Actuaries,Computer and Mathematical Occupations,14.07458891,3.5780732,4.752652742,2.026177707
15-2021,Mathematicians,Computer and Mathematical Occupations,-3.250129621,-0.604743835,-1.492862119,1.731984515
15-2031,Operations Research Analysts,Computer and Mathematical Occupations,-0.573839672,2.107920263,3.186891047,-0.830695225
15-2041,Statisticians,Computer and Mathematical Occupations,-0.945648084,-0.999974362,-4.094346928,-3.47454546
17-1011,"Architects, Except Landscape and Naval",Architecture and Engineering Occupations,17.74279388,18.75509797,10.86434123,7.747399263
17-1012,Landscape Architects,Architecture and Engineering Occupations,-6.067364108,6.808594816,0.540480567,-11.86905908
17-1021,Cartographers and Photogrammetrists,Architecture and Engineering Occupations,-7.853459933,2.313629189,6.068055563,-2.932426928
17-1022,Surveyors,Architecture and Engineering Occupations,-6.335510694,-5.239030852,2.037906182,2.35291295
17-2011,Aerospace Engineers,Architecture and Engineering Occupations,-11.08417493,-2.01222647,0.17001225,1.450252568
17-2021,Agricultural Engineers,Architecture and Engineering Occupations,-7.869327479,-8.354728275,0.560221315,-10.73119786
17-2031,Biomedical Engineers,Architecture and Engineering Occupations,3.04397565,-7.791837118,2.594499998,-12.27466694
17-2041,Chemical Engineers,Architecture and Engineering Occupations,11.80626848,7.064559464,5.164827296,4.512382059
17-2051,Civil Engineers,Architecture and Engineering Occupations,10.0262715,6.925440786,3.837375742,2.663302543
17-2061,Computer Hardware Engineers,Architecture and Engineering Occupations,-5.761776788,-3.259910684,-2.375743066,-1.306817782
17-2071,Electrical Engineers,Architecture and Engineering Occupations,-4.738238572,-0.28665216,7.447840059,0.920261433
17-2072,"Electronics Engineers, Except Computer",Architecture and Engineering Occupations,13.04086327,3.564057513,10.5747927,7.341526058
17-2081,Environmental Engineers,Architecture and Engineering Occupations,-2.361563074,19.45081076,13.21182385,-1.560037507
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering Occupations,7.889879012,-1.630133891,-2.119801537,3.71075207
17-2112,Industrial Engineers,Architecture and Engineering Occupations,-0.697473048,0.521329553,3.640609436,4.331882779
17-2121,Marine Engineers and Naval Architects,Architecture and Engineering Occupations,0.625149329,-0.385035295,0.885156671,6.182638015
17-2131,Materials Engineers,Architecture and Engineering Occupations,2.228350159,6.603719272,7.568205954,-0.614466391
17-2141,Mechanical Engineers,Architecture and Engineering Occupations,1.179384555,6.087212325,1.637408149,3.929448476
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture and Engineering Occupations,15.37460509,-0.662275104,9.812561443,-5.924907794
17-2161,Nuclear Engineers,Architecture and Engineering Occupations,0.606553893,-6.660522148,-4.612090902,-3.931458143
17-2171,Petroleum Engineers,Architecture and Engineering Occupations,12.15466219,8.657567939,8.335602359,-0.168270559
17-3011,Architectural and Civil Drafters,Architecture and Engineering Occupations,-7.00718738,4.636452524,-0.68205803,-1.807159579
17-3012,Electrical and Electronics Drafters,Architecture and Engineering Occupations,0.247458816,0.404405068,-1.430133424,0.361008854
17-3013,Mechanical Drafters,Architecture and Engineering Occupations,-25.41340998,-0.956215022,-12.64018228,-14.06411476
17-3022,Civil Engineering Technicians,Architecture and Engineering Occupations,-11.00304765,1.857450596,1.817641638,-0.554786476
17-3023,Electrical and Electronics Engineering Technicians,Architecture and Engineering Occupations,6.538439107,0.721335481,2.086339287,11.7627809
17-3024,Electro-Mechanical Technicians,Architecture and Engineering Occupations,4.966234352,-5.784774799,4.566553332,3.565008921
17-3025,Environmental Engineering Technicians,Architecture and Engineering Occupations,10.20844484,1.105117667,-3.02210173,1.9092217
17-3026,Industrial Engineering Technicians,Architecture and Engineering Occupations,3.694683959,0.116962364,-3.894671635,6.338387732
17-3027,Mechanical Engineering Technicians,Architecture and Engineering Occupations,6.646213743,6.554270582,16.47978558,1.854831026
17-3031,Surveying and Mapping Technicians,Architecture and Engineering Occupations,-6.486986415,0.438594504,-1.375047761,-3.882762566
19-1011,Animal Scientists,"Life, Physical, and Social Science Occupations",10.42297614,-0.154731479,8.145525326,2.916995421
19-1012,Food Scientists and Technologists,"Life, Physical, and Social Science Occupations",2.303085964,13.34592694,6.878610441,3.758028311
19-1013,Soil and Plant Scientists,"Life, Physical, and Social Science Occupations",13.33131213,-2.562402997,1.185016713,-2.789786055
19-1021,Biochemists and Biophysicists,"Life, Physical, and Social Science Occupations",10.15284193,7.068660961,6.50251155,-2.625749412
19-1022,Microbiologists,"Life, Physical, and Social Science Occupations",7.372852528,-6.420877447,1.616325254,1.746256563
19-1023,Zoologists and Wildlife Biologists,"Life, Physical, and Social Science Occupations",5.874869704,10.12447913,11.25922078,5.213736582
19-1031,Conservation Scientists,"Life, Physical, and Social Science Occupations",1.002582406,-0.857110359,-4.715217832,-2.10387485
19-1032,Foresters,"Life, Physical, and Social Science Occupations",-4.878609495,9.017015906,-1.992976253,-3.5445744
19-1041,Epidemiologists,"Life, Physical, and Social Science Occupations",18.52100556,-3.998991555,5.749622895,2.038760237
19-1042,"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science Occupations",5.109622162,-1.107614885,-4.043547494,-3.638779542
19-2011,Astronomers,"Life, Physical, and Social Science Occupations",-3.076408556,5.24686412,-1.217547714,0.729615492
19-2021,Atmospheric and Space Scientists,"Life, Physical, and Social Science Occupations",7.663384154,5.339914643,2.699989886,-5.433727088
19-2031,Chemists,"Life, Physical, and Social Science Occupations",-0.659967253,1.547219935,6.328311954,-0.852237188
19-2032,Materials Scientists,"Life, Physical, and Social Science Occupations",-2.626512979,3.376650305,-6.450066009,-8.855815124
19-2041,"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science Occupations",5.297054387,-0.306959917,9.715768814,-5.657382074
19-2042,"Geoscientists, Except Hydrologists and Geographers","Life, Physical, and Social Science Occupations",10.1782711,-0.28504621,5.306074724,5.750306357
19-2043,Hydrologists,"Life, Physical, and Social Science Occupations",5.978224563,-8.037360618,3.881019382,2.90907709
19-3011,Economists,"Life, Physical, and Social Science Occupations",3.969096722,2.172752746,0.07256704,-1.758486234
19-3022,Survey Researchers,"Life, Physical, and Social Science Occupations",15.58798143,17.97216206,0.940853398,-0.439640738
19-3031,"Clinical, Counseling, and School Psychologists","Life, Physical, and Social Science Occupations",6.07682147,0.336503016,3.003889108,1.18493982
19-3032,Industrial-Organizational Psychologists,"Life, Physical, and Social Science Occupations",18.68812955,5.321937954,9.677287577,0.691267405
19-3041,Sociologists,"Life, Physical, and Social Science Occupations",-0.664350292,-2.642851322,0.970134548,-0.71538989
19-3051,Urban and Regional Planners,"Life, Physical, and Social Science Occupations",9.675297057,25.71778441,2.338933761,-3.810562336
19-3091,Anthropologists and Archeologists,"Life, Physical, and Social Science Occupations",1.62776678,-1.972237801,1.327105763,0.409373326
19-3092,Geographers,"Life, Physical, and Social Science Occupations",5.054595187,1.173724395,-2.35895187,1.222393101
19-3093,Historians,"Life, Physical, and Social Science Occupations",2.250379998,-2.120954956,-3.889128094,-9.713137921
19-3094,Political Scientists,"Life, Physical, and Social Science Occupations",3.565611419,-3.207934955,-0.37936866,-0.342952959
19-4011,Agricultural and Food Science Technicians,"Life, Physical, and Social Science Occupations",0.127929413,6.353787283,4.760696687,4.080052958
19-4021,Biological Technicians,"Life, Physical, and Social Science Occupations",-1.508736783,-3.460596524,-1.733424907,-8.596971358
19-4031,Chemical Technicians,"Life, Physical, and Social Science Occupations",5.511958688,11.97146295,2.378338759,11.45464895
19-4051,Nuclear Technicians,"Life, Physical, and Social Science Occupations",8.441055653,-6.230149835,3.062283313,4.65683882
19-4091,"Environmental Science and Protection Technicians, Including Health","Life, Physical, and Social Science Occupations",5.776211976,3.845322397,1.705749417,-3.392526573
19-4092,Forensic Science Technicians,"Life, Physical, and Social Science Occupations",-2.270718622,4.01594778,1.785774304,8.557289792
19-4093,Forest and Conservation Technicians,"Life, Physical, and Social Science Occupations",14.44184744,26.64804395,9.336195911,21.37646477
21-1012,"Educational, Guidance, School, and Vocational Counselors",Community and Social Service Occupations,19.43016289,3.279007949,11.17199726,3.317304066
21-1013,Marriage and Family Therapists,Community and Social Service Occupations,10.01029116,-2.330937536,4.700588411,-0.969766507
21-1015,Rehabilitation Counselors,Community and Social Service Occupations,4.948507723,-8.48980019,2.161713747,-5.702011473
21-1021,"Child, Family, and School Social Workers",Community and Social Service Occupations,26.58029588,3.70470536,37.35393876,4.974034421
21-1022,Healthcare Social Workers,Community and Social Service Occupations,6.186147622,0.565626363,5.169913923,0.792907019
21-1023,Mental Health and Substance Abuse Social Workers,Community and Social Service Occupations,16.72933872,5.298508414,8.202190153,2.319169191
21-1091,Health Educators,Community and Social Service Occupations,1.463159374,2.144916626,-11.59181824,1.735014106
21-1092,Probation Officers and Correctional Treatment Specialists,Community and Social Service Occupations,-12.09225297,-6.85403459,-15.60715675,-6.745999768
21-1093,Social and Human Service Assistants,Community and Social Service Occupations,1.524737319,-6.634855301,8.972397698,-0.560756243
21-2011,Clergy,Community and Social Service Occupations,-18.35778982,-22.39482691,-9.836789426,-5.914173368
21-2021,"Directors, Religious Activities and Education",Community and Social Service Occupations,21.85037983,13.92600549,11.68441496,2.575184802
23-1011,Lawyers,Legal Occupations,13.66215202,3.943477461,17.02327801,1.407327899
23-1012,Judicial Law Clerks,Legal Occupations,-4.811919405,1.039241505,-0.194675432,0.349597277
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal Occupations,6.93721819,3.532337161,11.20446321,3.286257885
23-1022,"Arbitrators, Mediators, and Conciliators",Legal Occupations,-2.621849761,-5.276759038,2.336696219,-1.280049457
23-1023,"Judges, Magistrate Judges, and Magistrates",Legal Occupations,11.87354875,-2.888419483,7.252572741,0.845360885
23-2011,Paralegals and Legal Assistants,Legal Occupations,-13.60497525,-0.697964962,-0.389740905,-5.799702451
23-2091,Court Reporters,Legal Occupations,-7.256986838,-0.072622935,1.671305397,-2.662058489
23-2093,"Title Examiners, Abstractors, and Searchers",Legal Occupations,-5.13468346,-3.416865359,-2.328196657,-1.153939248
25-1011,"Business Teachers, Postsecondary","Education, Training, and Library Occupations",0.399359232,-3.09434532,-4.259618933,0.048470932
25-1021,"Computer Science Teachers, Postsecondary","Education, Training, and Library Occupations",-5.940473946,-3.968056044,-6.635370193,-3.93676918
25-1022,"Mathematical Science Teachers, Postsecondary","Education, Training, and Library Occupations",8.284616818,-1.412758083,2.809130138,-0.712501138
25-1031,"Architecture Teachers, Postsecondary","Education, Training, and Library Occupations",11.83206167,2.213899587,-2.764668512,-0.291695812
25-1032,"Engineering Teachers, Postsecondary","Education, Training, and Library Occupations",-11.6593061,-7.981314623,-5.045046245,-2.61600579
25-1041,"Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library Occupations",9.135454548,2.850918342,3.804928863,-2.242090164
25-1042,"Biological Science Teachers, Postsecondary","Education, Training, and Library Occupations",1.414615278,-0.16397309,0.252002682,-0.657965935
25-1043,"Forestry and Conservation Science Teachers, Postsecondary","Education, Training, and Library Occupations",-5.666058204,-0.968732987,-0.680831755,-2.297876687
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Education, Training, and Library Occupations",5.367071266,-8.338797474,0.792108441,-0.542223139
25-1052,"Chemistry Teachers, Postsecondary","Education, Training, and Library Occupations",5.817885184,-9.263896133,-3.343226571,-2.803939651
25-1053,"Environmental Science Teachers, Postsecondary","Education, Training, and Library Occupations",-3.254227209,-3.709840225,-7.195824827,-0.723934235
25-1054,"Physics Teachers, Postsecondary","Education, Training, and Library Occupations",17.06366712,7.564442832,10.56470812,1.78586727
25-1061,"Anthropology and Archeology Teachers, Postsecondary","Education, Training, and Library Occupations",-0.745001942,-7.183057191,-6.898766411,1.284743441
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Education, Training, and Library Occupations",-7.998626347,-3.930650748,-8.578165052,-0.124012558
25-1063,"Economics Teachers, Postsecondary","Education, Training, and Library Occupations",2.251095158,3.544069724,-1.270728757,-0.431246219
25-1064,"Geography Teachers, Postsecondary","Education, Training, and Library Occupations",-1.459263364,-2.252544946,-2.375778356,-1.265487594
25-1065,"Political Science Teachers, Postsecondary","Education, Training, and Library Occupations",3.561204236,0.934876953,-4.894503314,0.000943994
25-1066,"Psychology Teachers, Postsecondary","Education, Training, and Library Occupations",0.993282156,-1.035882033,-8.365247385,-0.527570021
25-1067,"Sociology Teachers, Postsecondary","Education, Training, and Library Occupations",-0.101847972,-0.5369653,-5.905376879,-1.341088204
25-1071,"Health Specialties Teachers, Postsecondary","Education, Training, and Library Occupations",-1.533983992,-7.703211101,-6.397443215,-0.311385164
25-1072,"Nursing Instructors and Teachers, Postsecondary","Education, Training, and Library Occupations",-5.885768052,-6.116283917,-12.84770647,-0.294574629
25-1081,"Education Teachers, Postsecondary","Education, Training, and Library Occupations",-2.928731486,-4.920718064,-7.803789421,-0.900417384
25-1082,"Library Science Teachers, Postsecondary","Education, Training, and Library Occupations",-1.207337432,11.01437727,2.219636593,-1.373388778
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Education, Training, and Library Occupations",-3.730075946,-0.817617569,-4.643593254,0.851068499
25-1112,"Law Teachers, Postsecondary","Education, Training, and Library Occupations",2.247173582,-0.427865079,-0.80802346,-0.666839319
25-1113,"Social Work Teachers, Postsecondary","Education, Training, and Library Occupations",-7.434125701,-9.619294622,-16.67793548,0.08122209
25-1121,"Art, Drama, and Music Teachers, Postsecondary","Education, Training, and Library Occupations",-0.183373637,-0.740262341,-3.416741795,0.220182361
25-1122,"Communications Teachers, Postsecondary","Education, Training, and Library Occupations",-0.414909308,0.794112816,-12.3184666,-0.561230601
25-1123,"English Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations",-0.338730482,-3.077893959,-11.22324721,0.271980655
25-1124,"Foreign Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations",7.435142496,-0.584286641,-1.137531929,0.040265983
25-1125,"History Teachers, Postsecondary","Education, Training, and Library Occupations",0.325143989,2.713203462,-7.198269087,-0.644565712
25-1126,"Philosophy and Religion Teachers, Postsecondary","Education, Training, and Library Occupations",-2.656382647,-7.943077471,-10.71562526,-0.036176058
25-1191,Graduate Teaching Assistants,"Education, Training, and Library Occupations",0.654351088,6.063607319,2.220764629,-0.156926031
25-1192,"Home Economics Teachers, Postsecondary","Education, Training, and Library Occupations",-4.497311534,-9.656078938,-4.849933634,-1.642622646
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","Education, Training, and Library Occupations",8.031654367,0.956747659,1.192741647,-2.798073796
25-1194,"Vocational Education Teachers, Postsecondary","Education, Training, and Library Occupations",-3.622129289,8.222771286,-4.060959341,-2.417198771
25-2011,"Preschool Teachers, Except Special Education","Education, Training, and Library Occupations",8.08042433,3.484805103,9.691796554,3.948975247
25-2012,"Kindergarten Teachers, Except Special Education","Education, Training, and Library Occupations",-7.150353788,-3.903220887,-2.316385889,-2.258271653
25-2021,"Elementary School Teachers, Except Special Education","Education, Training, and Library Occupations",7.161220658,-6.431729021,4.175747276,-0.181473937
25-2022,"Middle School Teachers, Except Special and Career/Technical Education","Education, Training, and Library Occupations",-5.454674094,-7.381371211,1.48041322,-3.373310675
25-2023,"Career/Technical Education Teachers, Middle School","Education, Training, and Library Occupations",1.446907815,-9.027930706,2.393369099,-6.472174276
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","Education, Training, and Library Occupations",2.476496584,-10.4851947,-2.856856267,-2.130830168
25-2032,"Career/Technical Education Teachers, Secondary School","Education, Training, and Library Occupations",1.148440966,-11.12796668,-5.916342135,-5.430345752
25-2053,"Special Education Teachers, Middle School","Education, Training, and Library Occupations",5.863698868,-8.20308766,1.008943159,-1.855700169
25-2054,"Special Education Teachers, Secondary School","Education, Training, and Library Occupations",9.773968243,-1.114478515,-6.129538344,1.254808614
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"Education, Training, and Library Occupations",-0.444253412,-5.084258144,-2.561849275,-0.897587746
25-3021,Self-Enrichment Education Teachers,"Education, Training, and Library Occupations",-7.06133805,-6.476424298,-3.588918968,-0.440081847
25-4011,Archivists,"Education, Training, and Library Occupations",3.644249666,10.37266454,4.998523374,-0.066638084
25-4012,Curators,"Education, Training, and Library Occupations",-7.172821644,-6.574118501,-0.39465519,-9.149112663
25-4013,Museum Technicians and Conservators,"Education, Training, and Library Occupations",6.992934153,-0.381042496,1.266630065,2.83301672
25-4021,Librarians,"Education, Training, and Library Occupations",-17.70562667,0.118134002,-11.01965488,-7.185163147
25-4031,Library Technicians,"Education, Training, and Library Occupations",-12.16903363,2.151208195,-5.274103681,-0.333972885
25-9011,Audio-Visual and Multimedia Collections Specialists,"Education, Training, and Library Occupations",-3.09678214,-6.841146737,-5.2198138,8.788926951
25-9021,Farm and Home Management Advisors,"Education, Training, and Library Occupations",7.6240332,-4.457004549,2.714601359,0.445011069
25-9031,Instructional Coordinators,"Education, Training, and Library Occupations",3.931011703,-4.100986443,-1.809133537,-3.644244259
25-9041,Teacher Assistants,"Education, Training, and Library Occupations",-3.192110184,0.677720709,-1.496471093,1.041021718
27-1011,Art Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",15.39926315,4.075487459,5.643419178,3.418885337
27-1012,Craft Artists,"Arts, Design, Entertainment, Sports, and Media Occupations",-7.97291946,-3.275856553,-1.731755226,-4.829023021
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media Occupations",-1.889713403,-2.97177223,-1.24490626,-3.883915776
27-1014,Multimedia Artists and Animators,"Arts, Design, Entertainment, Sports, and Media Occupations",-8.19291194,6.850049976,1.674867876,-0.342367502
27-1021,Commercial and Industrial Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",1.01878641,-0.111167481,-6.802175806,0.370539252
27-1023,Floral Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",-11.00948103,1.386776001,0.977097144,1.128397864
27-1024,Graphic Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",5.110484669,-2.473740252,0.295254249,-0.388832476
27-1025,Interior Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",9.600102655,10.67632937,10.76858202,-2.165292043
27-1026,Merchandise Displayers and Window Trimmers,"Arts, Design, Entertainment, Sports, and Media Occupations",-2.420214607,2.512382377,-2.004149742,-8.466033943
27-1027,Set and Exhibit Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",11.5027176,-0.564065963,0.82764586,-3.715117101
27-2011,Actors,"Arts, Design, Entertainment, Sports, and Media Occupations",-6.951217575,-0.575584174,-5.055158552,3.10952304
27-2012,Producers and Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",-1.194057208,-2.730105641,-2.232063125,-4.714448703
27-2021,Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media Occupations",-7.031441954,1.604197796,-4.033037284,4.591620208
27-2022,Coaches and Scouts,"Arts, Design, Entertainment, Sports, and Media Occupations",9.238684642,-25.01665556,-0.748806289,-2.391589727
27-2023,"Umpires, Referees, and Other Sports Officials","Arts, Design, Entertainment, Sports, and Media Occupations",7.154997168,13.91141319,5.835117416,2.651165445
27-2032,Choreographers,"Arts, Design, Entertainment, Sports, and Media Occupations",1.146263817,1.075071656,-1.487675853,-0.098883935
27-2041,Music Directors and Composers,"Arts, Design, Entertainment, Sports, and Media Occupations",3.410902736,-1.433794394,-1.440627249,-0.375699163
27-3011,Radio and Television Announcers,"Arts, Design, Entertainment, Sports, and Media Occupations",7.447643045,1.882452848,7.863095769,5.118507006
27-3012,Public Address System and Other Announcers,"Arts, Design, Entertainment, Sports, and Media Occupations",-6.699863146,-3.551587944,-4.956229817,-11.36211783
27-3021,Broadcast News Analysts,"Arts, Design, Entertainment, Sports, and Media Occupations",-12.51518596,-4.70443151,-7.577050179,-4.768578376
27-3022,Reporters and Correspondents,"Arts, Design, Entertainment, Sports, and Media Occupations",-1.277880835,-0.509437537,-5.18166461,-1.243157229
27-3031,Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media Occupations",-5.253751907,9.604385706,3.460190748,-3.147105654
27-3041,Editors,"Arts, Design, Entertainment, Sports, and Media Occupations",-6.796126226,-2.596112987,-3.15945321,-1.308095378
27-3042,Technical Writers,"Arts, Design, Entertainment, Sports, and Media Occupations",-2.045576054,-3.486400549,-0.908213449,-2.068787967
27-3043,Writers and Authors,"Arts, Design, Entertainment, Sports, and Media Occupations",-2.981032579,-0.88990101,-2.263707693,-2.077355678
27-3091,Interpreters and Translators,"Arts, Design, Entertainment, Sports, and Media Occupations",2.958842733,0.704208535,2.416400826,-1.171526939
27-4011,Audio and Video Equipment Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations",-2.108369067,-8.490255208,-2.605434178,-11.24492743
27-4012,Broadcast Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations",-4.715311291,-0.264182498,-2.330378557,-5.691537387
27-4014,Sound Engineering Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations",-8.119741299,-7.269924041,-1.465590819,-20.28599329
27-4021,Photographers,"Arts, Design, Entertainment, Sports, and Media Occupations",3.971494271,-3.993624,0.997669948,-3.302061159
27-4031,"Camera Operators, Television, Video, and Motion Picture","Arts, Design, Entertainment, Sports, and Media Occupations",-4.573374972,-0.63063247,0.22361571,-6.907387131
