,Job Code,Job Title,Automation Index,Race with the Machine,Communication,Managerial Task,Clerical Task,Equipment Maintenance,Race against the Machine,Information Processing,Perceptual Task,Equipment Operation,Operation Monitoring,Physical Task,Race ahead of the Machine,Strategic Thinking,Running a Different Race,Dynamic Physical Task,Hazardous Task,Group Task,Conflict Resolution,Creative Thinking,Changing the Course of a Race,Routine Task
10,11-3051,Industrial Production Managers,48.99556862,20.80662367,5.524182851,9.590821888,3.093159426,2.598459505,11.23093311,3.745010106,0.849430966,2.155902782,4.480589255,0,5.630835861,5.630835861,8.61513428,0.530958411,1.433604859,3.156495659,2.310000662,1.184074688,2.712041698,2.712041698
11,11-3061,Purchasing Managers,48.57669811,27.16327081,8.759657225,10.82170794,6.873791555,0.708114084,6.361220336,5.205175296,0.054002902,0.222101558,0.87994058,0,5.595490991,5.595490991,7.1942173,0,0,1.558118674,3.490162452,2.145936174,2.262498679,2.262498679
12,11-3071,"Transportation, Storage, and Distribution Managers",48.92021917,23.34061368,6.931929023,9.596850967,6.160853755,0.650979939,10.93020825,5.369369908,2.773309823,0.569120416,2.218408104,0,5.188295905,5.188295905,7.559910996,0,0.234791165,2.906613922,3.203222723,1.215283185,1.901190337,1.901190337
13,11-3111,Compensation and Benefits Managers,49.50346489,25.4802646,7.746787921,8.527290331,9.206186351,0,9.392597922,8.820743657,0,0,0.571854266,0,8.19941481,8.19941481,5.021068002,0,0,1.860280517,2.580322228,0.580465257,1.410119552,1.410119552
14,11-3131,Training and Development Managers,47.28636823,26.34103088,8.692212303,12.15297494,5.400804824,0.095038813,6.838425291,4.602813094,0,0.134185904,2.101426293,0,7.902189625,7.902189625,4.393046795,0,0,1.000033743,1.378480349,2.014532703,1.811675634,1.811675634
15,11-9021,Construction Managers,48.90258304,20.93962179,5.32368057,7.688165163,4.856918559,3.070857497,14.27350491,5.086041845,3.209696766,1.831824546,4.057214792,0.088726965,5.59649013,5.59649013,6.156527075,0.024000146,0.931182896,1.156565088,3.142301297,0.902477648,1.936439128,1.936439128
16,11-9031,"Education Administrators, Preschool and Childcare Center/Program",47.92579244,24.88093454,9.105195161,9.820481625,5.893268991,0.061988767,6.940836283,2.541475432,0.152465171,1.072684446,3.174211233,0,5.999006117,5.999006117,8.461775595,0.22415776,0,3.294451023,4.045533483,0.897633329,1.643239906,1.643239906
17,11-9032,"Education Administrators, Elementary and Secondary School",48.04987532,23.06433776,7.443412456,9.155974635,5.884246198,0.580704476,9.336803888,5.610307062,0.187487922,0.184702968,3.354305937,0,6.646038121,6.646038121,6.79750403,0.190663643,0,2.126706015,3.275674228,1.204460144,2.205191517,2.205191517
18,11-9033,"Education Administrators, Postsecondary",47.88439338,22.90156934,8.129742567,8.684856211,5.969349434,0.11762113,9.969612721,5.279952264,0,0,4.689660457,0,7.312714876,7.312714876,5.345726217,0,0,1.787187438,1.819341566,1.739197213,2.354770224,2.354770224
19,11-9041,Architectural and Engineering Managers,48.71845248,21.95596511,4.932215109,6.167766472,7.453264701,3.402718831,11.9766051,7.205454504,0.228851894,0.625272329,3.917026378,0,6.635897424,6.635897424,6.084089129,0,0.051107866,2.244173478,1.994872723,1.793935062,2.065895712,2.065895712
20,11-9051,Food Service Managers,48.9644363,20.39797188,9.11967152,6.875495756,4.006512447,0.396292154,9.609785482,1.714599987,0.330049994,0.70425682,3.894926627,2.965952054,2.273223186,2.273223186,15.03282745,3.301800171,1.604244978,4.772439031,4.969551698,0.384791568,1.650628305,1.650628305
21,11-9071,Gaming Managers,48.97181908,22.19442655,8.227070201,8.947317243,4.284916877,0.73512223,10.48802877,4.027196194,0,0.523302439,5.937530137,0,4.57998061,4.57998061,10.01253115,1.360506654,0.413917151,2.990047516,4.759305648,0.488754178,1.696852001,1.696852001
22,11-9081,Lodging Managers,48.14046259,24.3889153,9.261768521,8.600051536,6.144756203,0.382339045,7.353678449,2.666148327,0.663051028,0.87331929,3.150170687,0.000989117,5.204398815,5.204398815,8.639543883,0.566984589,0.135737467,3.131110571,3.364055303,1.441655954,2.553926133,2.553926133
23,11-9111,Medical and Health Services Managers,48.95460142,25.09570582,7.045367411,10.21249444,7.300079884,0.537764089,8.665984625,6.496805875,0,0,1.888677934,0.280500817,7.374307202,7.374307202,4.042296141,0,0,1.270801325,1.914268443,0.857226373,3.776307635,3.776307635
24,11-9121,Natural Sciences Managers,48.67395811,21.03107302,4.916856959,6.280564667,7.511390253,2.322261138,12.77590369,9.06075587,0.308295678,0.06858313,3.338269014,0,7.66297164,7.66297164,4.686376201,0,0.645080933,1.901446644,0.694399194,1.44544943,2.517633556,2.517633556
25,11-9131,Postmasters and Mail Superintendents,49.23968209,24.12534211,8.549544978,8.924767694,6.201081183,0.449948257,8.446798307,3.873062392,0.542495119,0.614828273,3.416412524,0,4.012336217,4.012336217,9.57245343,0.601730945,0.060324834,3.798179723,4.611372353,0.500845575,3.082752029,3.082752029
26,11-9141,"Property, Real Estate, and Community Association Managers",48.94965785,28.881761,7.201053253,11.05559256,10.62511518,0,9.597150178,4.655815209,1.628400584,0.593261279,2.719673105,0,3.735803478,3.735803478,6.426893107,0,0,0.560029935,5.364238477,0.502624695,0.308050088,0.308050088
27,11-9151,Social and Community Service Managers,48.00876874,23.13199954,8.758535501,6.448875418,7.674810868,0.249777754,7.730220248,3.990219894,0.420280437,0.003355428,3.31636449,0,7.564858356,7.564858356,8.037053952,0,0,2.808457465,3.697052741,1.531543746,1.544636644,1.544636644
28,11-9161,Emergency Management Directors,47.66237009,22.11875334,7.962851266,8.373077786,5.387674726,0.395149559,11.2035029,4.732580229,2.298229503,0.783310768,3.3893824,0,6.979226082,6.979226082,5.475783312,0,0.066085547,1.815892502,2.116789044,1.477016218,1.88510446,1.88510446
29,13-1031,"Claims Adjusters, Examiners, and Investigators",52.38475436,18.77131084,3.657954859,2.882676277,11.56307027,0.667609427,18.9997801,11.25361072,0.079054205,0.449500838,6.370569942,0.847044395,3.18982668,3.18982668,7.295756378,0,0,0,6.760584456,0.535171922,4.128080362,4.128080362
30,13-1032,"Insurance Appraisers, Auto Damage",49.74300862,17.32684912,4.71215821,2.372019502,8.23256878,2.010102627,20.59869102,5.607385288,9.032065881,1.518144138,3.352889942,1.088205767,2.460295934,2.460295934,6.427570147,0.183873057,0.544489994,0,5.398330817,0.300876279,2.929602404,2.929602404
31,13-1041,Compliance Officers,49.78718072,15.94826208,4.847005769,1.22397339,9.241702532,0.635580388,21.14136826,8.081227462,4.493583986,1.524647654,7.041909162,0,5.228547956,5.228547956,4.372631656,0,0.089087196,0.19849923,3.736543469,0.34850176,3.096370769,3.096370769
32,13-1051,Cost Estimators,51.25614971,21.59924922,1.604904432,8.246864447,9.340376392,2.407103953,17.5668336,13.13891877,0.599937197,0.312461709,3.515515931,0,5.695013025,5.695013025,2.912411683,0,0,0.207758722,1.034960856,1.669692106,3.482642169,3.482642169
33,13-1081,Logisticians,48.71390386,24.57622788,7.822997602,8.797259862,7.209137294,0.74683312,8.927753015,5.055574525,0.543047383,0.203707602,3.125423505,0,7.892484057,7.892484057,4.154685639,0,0.133450094,1.027120181,1.532113036,1.462002327,3.162753277,3.162753277
34,13-1111,Management Analysts,48.10150377,20.52920553,5.788129132,7.443674451,6.438242612,0.859159334,11.22321999,8.941392111,0,0,2.281827881,0,9.698289746,9.698289746,4.497141573,0,0,0.966041128,1.448632389,2.082468056,2.153646927,2.153646927
35,13-1121,"Meeting, Convention, and Event Planners",47.95384182,24.50186164,8.518938759,8.123820219,6.698211561,1.160891102,8.259293452,3.078871323,0.980665556,0.42339514,2.814364709,0.961996724,5.667046416,5.667046416,7.879997303,0.280600059,0.251117194,2.614501619,2.622408415,2.111370015,1.645643013,1.645643013
36,13-1141,"Compensation, Benefits, and Job Analysis Specialists",51.47186939,18.86958799,3.961322687,3.007934667,11.68605471,0.214275928,16.45844947,13.16779338,0,0,2.867023653,0.423632443,9.764706671,9.764706671,2.117091369,0,0,0,1.454272231,0.662819138,4.262033888,4.262033888
37,13-1151,Training and Development Specialists,46.51041436,23.86325529,8.407714175,8.60846,6.65694673,0.190134381,7.616937611,5.124839655,0,0.339843268,2.152254688,0,8.897684429,8.897684429,4.643674981,0,0,1.622119778,1.039115756,1.982439446,1.488862052,1.488862052
38,13-1161,Market Research Analysts and Marketing Specialists,48.98814871,16.87728894,3.130952763,3.338305642,9.905967531,0.502063003,15.04563874,12.5114016,0,0,2.534237131,0,9.973007039,9.973007039,2.719808914,0,0,0,0.029291411,2.690517503,4.372405078,4.372405078
39,13-2011,Accountants and Auditors,51.71788523,19.42595575,3.003532139,6.921607231,9.366685455,0.134130925,17.8616452,12.93024915,0,0,4.931396058,0,6.324174663,6.324174663,2.478085053,0,0,0.817811277,0.797382077,0.862891699,5.628024559,5.628024559
40,13-2021,Appraisers and Assessors of Real Estate,51.2369456,15.74769579,1.375986474,2.367288099,10.06538457,1.939036642,24.94064798,15.22670634,5.185262896,1.575497615,2.953181128,0,4.900761809,4.900761809,0.785621538,0,0,0,0.232088312,0.553533226,4.862218487,4.862218487
41,13-2031,Budget Analysts,53.3082597,18.24272642,1.375841408,4.232047787,11.31931763,1.315519591,19.57407469,15.78072233,0,0.086440254,3.706912102,0,5.927510402,5.927510402,3.347526577,0,0,2.469207096,0,0.878319481,6.216421612,6.216421612
42,13-2041,Credit Analysts,54.07225858,18.69294839,1.010751117,2.466917249,15.21528002,0,22.53299438,15.12479524,0,0.854761166,5.78168808,0.771749896,6.346180547,6.346180547,2.506288046,0,0,0,2.506288046,0,3.993847222,3.993847222
43,13-2051,Financial Analysts,51.8243024,16.95343363,1.572194414,1.937007887,11.96911207,1.475119258,21.17234439,18.015592,0,0.141312247,3.015440149,0,6.187725916,6.187725916,3.082830879,0,0,0.577857766,0,2.504973113,4.427967581,4.427967581
44,13-2052,Personal Financial Advisors,49.42659359,21.29628897,6.171319258,6.191444763,8.93352495,0,15.48850502,11.48825909,0,0.369436112,3.630809825,0,8.148404547,8.148404547,2.631027995,0,0,0,0.687197024,1.94383097,1.862367058,1.862367058
45,13-2053,Insurance Underwriters,52.1820399,20.00804362,4.194089555,0.932533588,14.88142047,0,18.17133031,14.86981546,0,0,3.114257844,0.187257002,4.319002067,4.319002067,5.14925156,0,0,0,4.293554329,0.855697231,4.534412351,4.534412351
46,13-2061,Financial Examiners,49.6041939,18.18789442,6.13198667,3.908638085,7.978661745,0.16860792,15.75438688,10.56618437,0,0,5.188202513,0,8.355067765,8.355067765,2.981579861,0,0,1.184401367,1.193427503,0.60375099,4.325264973,4.325264973
47,13-2071,Credit Counselors,50.06014786,25.83106352,8.100545703,1.191449798,16.52259675,0.01647127,11.36123047,8.860754289,0,0.119941656,2.380534522,0,6.197052858,6.197052858,4.335824277,0,0,0.074078766,3.417104085,0.844641425,2.33497673,2.33497673
48,13-2072,Loan Officers,50.84877886,22.26800138,9.091739405,0.548412714,12.62784926,0,15.10319658,10.32088689,0.129989436,0.271785716,4.380534544,0,6.353193154,6.353193154,3.607668352,0,0,0.172364595,1.934537192,1.500766565,3.516719387,3.516719387
49,13-2081,"Tax Examiners and Collectors, and Revenue Agents",52.4800076,19.66078722,6.28054294,0.606970768,12.77327351,0,19.02954258,11.5472403,0,0.496616331,6.605615475,0.380070465,4.383752325,4.383752325,3.684431576,0,0,0,3.684431576,0,5.721493899,5.721493899
50,13-2082,Tax Preparers,55.31945001,20.34143044,3.30875284,0.594692785,16.43798481,0,22.45890715,18.97599306,0,0.165172546,3.317741543,0,2.758090354,2.758090354,1.074251729,0,0,0,0.068549355,1.005702373,8.686770339,8.686770339
51,15-1121,Computer Systems Analysts,51.43267957,19.640803,1.295146495,1.544640709,10.57494334,6.226072455,14.93310885,7.85599699,0,0,5.720164476,1.356947387,6.335316406,6.335316406,4.050371396,0,0.061513184,2.037132514,0.124540267,1.827185432,6.473079912,6.473079912
52,15-1131,Computer Programmers,52.05345163,22.88744518,0.113569455,1.997670569,14.47149387,6.304711285,17.11309812,12.03641298,0,1.460252606,3.371981718,0.244450818,5.578567352,5.578567352,2.392583686,0,0,0.210709427,0,2.181874259,4.081757291,4.081757291
53,15-1132,"Software Developers, Applications",50.74571113,19.13545771,0.720032047,2.93343015,9.754096545,5.727898967,11.56737018,5.248450908,0,0.196165603,5.011918467,1.110835202,8.090685916,8.090685916,5.662796803,0,0,2.390686048,0.239907191,3.032203564,6.289400524,6.289400524
54,15-1133,"Software Developers, Systems Software",51.21941577,22.92128295,0.650287774,0,21.86398767,0.407007508,14.07754996,9.87649302,0,0,4.201056935,0,5.231837589,5.231837589,7.113337847,0,0,2.695496888,0,4.417840958,1.875407429,1.875407429
55,15-1141,Database Administrators,51.71663761,17.90159891,0.65893562,0.614486324,11.0055113,5.622665663,19.047967,8.939131218,0,1.717595647,7.706822611,0.684417524,7.224870146,7.224870146,3.548561837,0,0,2.073471387,0,1.475090449,3.993639725,3.993639725
56,15-1142,Network and Computer Systems Administrators,50.64050723,25.97236685,1.793387094,2.06838596,9.321274024,12.78931977,12.32757776,5.151443531,0.023498331,2.473271187,4.620800363,0.058564351,7.461184835,7.461184835,1.297942695,0,0.055018265,0.098048121,0.153267275,0.991609035,3.581435086,3.581435086
57,15-1151,Computer User Support Specialists,50.24658244,28.03766987,2.973797663,1.304863594,12.79137179,10.96763683,7.281480767,2.152753655,0.291774106,2.091153352,1.525366423,1.220433231,7.084141143,7.084141143,2.578060314,0.51318708,0,1.266459949,0.212657404,0.585755881,5.265230346,5.265230346
58,15-1199,"Computer Occupations, All Other",50.9773127,17.58945903,0.588506835,1.721406119,11.49802604,3.78152004,17.47037414,11.53194363,0,0.191974562,5.225187009,0.521268943,7.940540852,7.940540852,2.908374456,0,0,0.837361723,0,2.071012733,5.068564219,5.068564219
59,15-2011,Actuaries,51.40226893,13.76285185,0.678352848,3.540659333,8.305663838,1.238175831,20.66363843,14.97956944,0,0.471513004,5.212555988,0,9.333399743,9.333399743,1.859607576,0,0,0.062881615,0.490891486,1.305834475,5.782771337,5.782771337
60,15-2021,Mathematicians,50.81841184,9.416797644,0,0.560022851,7.24743249,1.609342302,22.85216766,17.46281252,0,0,5.38935514,0,9.391423229,9.391423229,3.43566927,0,0,0,0,3.43566927,5.722354036,5.722354036
61,15-2031,Operations Research Analysts,49.9750324,13.24920403,0.584928307,1.705190097,9.549960307,1.409125321,18.94001421,15.15115015,0,0,3.788864059,0,10.91037215,10.91037215,2.901622872,0,0,0.320359229,0,2.581263643,3.973819137,3.973819137
62,15-2041,Statisticians,52.1819082,13.18184152,0.045743044,1.357056303,10.7895293,0.989512871,23.10499686,17.41723772,0,0,5.687759137,0,7.89605431,7.89605431,1.386948421,0,0,0,0,1.386948421,6.612067089,6.612067089
63,17-1011,"Architects, Except Landscape and Naval",48.60756164,20.27954449,3.615004666,6.571664011,6.097789554,3.995086255,13.305649,4.955030453,1.05511175,2.377388402,4.688913969,0.229204427,6.37911032,6.37911032,4.924582012,0,0,0.825844569,1.201648712,2.897088731,3.718675822,3.718675822
64,17-1012,Landscape Architects,47.50512171,25.23461314,6.163029488,7.464792621,7.783565963,3.823225073,8.187303872,4.735587646,0.682893375,0.287204543,2.481618309,0,6.142823219,6.142823219,4.52804686,0,0,0.414805469,1.00846375,3.10477764,3.41233461,3.41233461
65,17-1021,Cartographers and Photogrammetrists,51.67473954,19.09494351,1.640919956,1.386713596,10.45440134,5.612908625,20.71073867,13.61030891,0.008298625,1.853054153,3.574997077,1.66407991,3.912040376,3.912040376,3.183884302,0,0,1.681157878,0.398083488,1.104642937,4.773132677,4.773132677
66,17-1022,Surveyors,49.46474967,14.86301226,2.527474766,3.956962141,4.418955849,3.959619502,23.93012963,7.96737911,5.915688021,4.017630765,3.708676306,2.32075543,3.079472172,3.079472172,5.710927335,1.978382522,2.167587004,0.905772083,0.489325229,0.169860496,1.881208278,1.881208278
67,17-2011,Aerospace Engineers,49.44277826,15.63661093,1.9879589,1.554157742,6.629058341,5.465435952,18.75219251,12.09807236,0.233075536,0.487610862,5.933433751,0,7.983995928,7.983995928,3.84974438,0,0.220446842,1.504390197,0.481348659,1.643558682,3.220234503,3.220234503
68,17-2021,Agricultural Engineers,49.02024302,17.57210623,1.795237716,3.836972147,6.50840071,5.431495652,18.66220299,8.416135349,3.618192652,0.971136739,5.656738253,0,6.556811971,6.556811971,2.627716177,0.089658905,0.210898633,0.528413916,0.40658516,1.392159563,3.601405656,3.601405656
69,17-2031,Biomedical Engineers,49.15931613,21.29656718,2.267938362,3.95522934,6.678553014,8.394846463,14.08329192,8.645969669,0,0.615687454,4.821634793,0,7.387056582,7.387056582,3.796893672,0,0.341150461,0.533977663,1.054831523,1.866934024,2.595506784,2.595506784
70,17-2041,Chemical Engineers,50.007425,14.05684107,0.761301691,3.559660411,4.606078066,5.129800904,19.81296921,10.44174283,1.32721105,1.292183327,6.751832002,0,6.634818254,6.634818254,5.769210367,0,1.524890682,1.648497293,0.587191501,2.008630892,3.733586095,3.733586095
71,17-2051,Civil Engineers,48.97365419,18.23580955,2.271353282,7.172267474,5.175449749,3.616739046,17.88924458,5.977112757,2.390451198,2.506768815,7.014911807,0,6.247695441,6.247695441,2.934023775,0,0.319970146,0.211080296,0.867553323,1.53542001,3.666880844,3.666880844
72,17-2061,Computer Hardware Engineers,50.14227875,21.86350573,0.311961849,0.24760505,10.47517382,10.82876501,14.06972224,8.294666938,0,0.470421479,5.271954345,0.032679474,6.842342081,6.842342081,3.420745434,0,0,0.65454021,0,2.766205225,3.945963264,3.945963264
73,17-2071,Electrical Engineers,50.04940237,20.31354141,1.742748247,1.884718059,8.215570281,8.470504826,14.5245505,9.540383601,0,0.268143087,4.716023808,0,6.454948522,6.454948522,3.986955791,0,0.488299263,1.423812971,0.605827766,1.469015792,4.769406144,4.769406144
74,17-2072,"Electronics Engineers, Except Computer",50.0871958,20.05441133,1.097657298,1.416353817,6.384972827,11.15542739,16.90143341,7.391774057,0,2.056025056,6.913142821,0.540491475,5.075669182,5.075669182,4.433293784,0.027849619,0.464233267,1.495789261,0.712393744,1.733027893,3.622388096,3.622388096
75,17-2081,Environmental Engineers,48.82023289,19.0855593,4.144384921,6.062119191,6.097551181,2.781504009,16.62296866,8.917125952,2.45147324,0.491559982,4.762809488,0,6.388296795,6.388296795,5.284584072,0,0.848393388,1.651562705,1.300164078,1.484463902,1.438824063,1.438824063
76,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",48.78992833,15.9741585,1.827331036,3.755692453,6.101949539,4.289185476,18.35158127,6.779602878,3.735144542,1.426584635,6.410249218,0,7.442052154,7.442052154,3.651555957,0,1.12272753,0.594269,0.898472378,1.036087048,3.370580439,3.370580439
77,17-2112,Industrial Engineers,49.7749422,18.12019355,2.422844249,4.16360272,6.529667941,5.004078635,17.14669601,7.562063015,0.590806395,1.748944863,7.192911612,0.051970126,4.690777567,4.690777567,7.42321234,0,3.002118423,2.197980645,1.156137727,1.066975545,2.39406274,2.39406274
78,17-2121,Marine Engineers and Naval Architects,49.2780075,15.53584633,2.138100072,2.159478659,5.251561407,5.98670619,20.18583831,7.393469065,5.26144752,2.164385815,5.14016156,0.226374348,5.169178874,5.169178874,4.714331443,0.418555673,1.966464804,0.908079689,0.295526691,1.125704586,3.672812547,3.672812547
79,17-2131,Materials Engineers,49.67390979,16.4879827,0.728080352,3.667301734,7.062881153,5.029719457,19.66222946,12.33173544,0.291323534,1.721551579,5.317618906,0,5.977919031,5.977919031,4.567423447,0,1.946006831,0.495740027,0.679843618,1.445832971,2.978355155,2.978355155
80,17-2141,Mechanical Engineers,50.14538997,18.21045336,0.576671,2.87157794,5.474304779,9.287899642,16.48942678,8.479060205,1.050407152,0.63545277,6.239218544,0.085288103,6.431619787,6.431619787,5.157890013,0,1.560332125,1.213335603,0.589069609,1.795152675,3.856000035,3.856000035
81,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",49.64534806,18.3234465,3.34327599,5.11478148,6.357313265,3.508075768,17.29360503,9.031793955,2.381062406,0.487525987,5.393222684,0,6.850311388,6.850311388,3.441434292,0,0.936456474,0.611552579,0.662208441,1.231216798,3.736550848,3.736550848
82,17-2161,Nuclear Engineers,50.38149737,15.34146191,2.999749807,1.705361009,5.908752161,4.727598933,19.21731849,7.91573931,0.745780405,2.582040136,7.97375864,0,6.416232991,6.416232991,5.001873152,0,0.811914567,1.264270959,2.079829646,0.84585798,4.404610827,4.404610827
83,17-2171,Petroleum Engineers,49.27592343,20.87352543,4.66449341,5.920528665,6.889838259,3.398665094,15.43253656,7.784611658,0.234398808,0.57511351,6.83841258,0,6.513932786,6.513932786,3.124712695,0,0,1.10888779,0.651547384,1.364277521,3.331215964,3.331215964
84,17-3011,Architectural and Civil Drafters,52.57157585,24.91817967,0,3.777647629,11.81490455,9.325627495,16.38738684,8.912691328,0.181479802,1.516064788,2.302188672,3.474962253,3.112939297,3.112939297,2.864288932,0,0,1.111430348,0,1.752858584,5.288781102,5.288781102
85,17-3012,Electrical and Electronics Drafters,53.64637874,25.3765703,0.013826755,0.518507094,16.25350804,8.590728416,10.27488576,5.8759124,0,1.284311505,0.101202086,3.013459767,4.062509858,4.062509858,3.659180518,0,0,3.357744315,0,0.301436204,10.2732323,10.2732323
86,17-3013,Mechanical Drafters,51.23363254,24.97217898,0,1.007306843,11.47892169,12.48595045,12.78835195,8.107779277,0,0.257748216,2.6126313,1.810193162,4.355703674,4.355703674,3.885267979,0,0.496088277,0.339733127,0,3.049446575,5.232129949,5.232129949
87,17-3022,Civil Engineering Technicians,51.26552541,14.41264529,1.012486781,1.307370164,7.269245026,4.823543314,25.80925046,13.6574101,3.44627748,2.686239148,5.155538955,0.863784772,4.041886568,4.041886568,4.887696211,0.09820565,0.924133537,2.823796651,0.491665167,0.549895207,2.114046892,2.114046892
88,17-3023,Electrical and Electronics Engineering Technicians,50.50411145,20.64160788,0,0.354587265,3.787958507,16.49906211,18.86007818,4.936094502,0.390799165,4.394740851,6.448452658,2.689991005,3.3474902,3.3474902,4.915436991,0,2.652863383,1.489551636,0.140325749,0.632696224,2.739498191,2.739498191
89,17-3024,Electro-Mechanical Technicians,51.07045484,14.77820025,1.206441525,0.762284794,1.486397499,11.32307643,23.31083672,2.156759894,2.396462168,8.064779047,7.352211556,3.340624058,1.405784908,1.405784908,8.088025352,1.091623604,3.687989839,0.79027766,1.761381087,0.756753162,3.487607616,3.487607616
90,17-3025,Environmental Engineering Technicians,49.37666769,13.31215128,1.592409866,1.366416729,4.641428891,5.711895794,22.45159934,3.314381394,7.925204592,4.154211626,5.92910732,1.128694411,3.85370094,3.85370094,6.160341243,1.317320563,2.948814737,0.90098526,0.595136427,0.398084256,3.598874889,3.598874889
91,17-3026,Industrial Engineering Technicians,49.45519503,16.01135583,0.966542688,0.64804422,4.541201471,9.855567453,16.12750449,3.962612195,1.565036046,2.212960023,7.839708784,0.547187443,5.131701927,5.131701927,9.05376695,1.330370151,3.918413959,2.119559366,0.211704424,1.47371905,3.130865825,3.130865825
92,17-3027,Mechanical Engineering Technicians,50.47926552,15.65524979,1.713358629,2.281284714,3.848849587,7.811756859,22.97220276,9.599038954,2.815611976,4.102975007,5.397710158,1.056866665,3.678118363,3.678118363,5.288232022,0.953136041,2.123093754,1.32510799,0.212756831,0.674137407,2.885462586,2.885462586
93,17-3031,Surveying and Mapping Technicians,52.53005792,14.40730556,0.238049078,0.488236837,6.060168501,7.620851146,28.12773423,9.698948864,4.356500666,6.490436678,4.041618274,3.540229743,2.280742372,2.280742372,2.131429122,0.325898,1.333484064,0.053460543,0,0.418586515,5.582846641,5.582846641
94,19-1011,Animal Scientists,47.99078993,14.83616912,2.895851702,4.083738539,5.879676985,1.976901894,18.85287384,10.32057691,4.827756631,0.281606936,3.422933357,0,7.881124058,7.881124058,2.838550112,0.044853413,0.229241885,0.320262665,0.368262218,1.875929931,3.582072806,3.582072806
95,19-1012,Food Scientists and Technologists,49.3949255,18.90032887,3.004683386,6.139010526,5.816187464,3.940447492,17.05053643,8.202587339,0.930464915,1.424019472,6.493464705,0,5.110594172,5.110594172,4.827105526,0,0.950524562,1.206087051,0.783042557,1.887451356,3.506360506,3.506360506
96,19-1013,Soil and Plant Scientists,48.35323409,14.57382291,1.125157749,4.754290016,6.328973274,2.365401873,18.50638855,9.354565192,3.58409429,0.654358561,4.892409047,0.020961456,8.953433489,8.953433489,2.775313402,0.407078555,0.206963688,0.554353277,0,1.606917883,3.544275746,3.544275746
