Job Code,Job Title,Job Family,Automation Index,Race with the Machine,Race against the Machine,Race ahead of the Machine,Running a Different Race,Changing the Course of a Race
11-9051,Food Service Managers,Management Occupations,48.9644363,20.39797188,9.609785482,2.273223186,15.03282745,1.650628305
11-9071,Gaming Managers,Management Occupations,48.97181908,22.19442655,10.48802877,4.57998061,10.01253115,1.696852001
11-9081,Lodging Managers,Management Occupations,48.14046259,24.3889153,7.353678449,5.204398815,8.639543883,2.553926133
11-9111,Medical and Health Services Managers,Management Occupations,48.95460142,25.09570582,8.665984625,7.374307202,4.042296141,3.776307635
11-9121,Natural Sciences Managers,Management Occupations,48.67395811,21.03107302,12.77590369,7.66297164,4.686376201,2.517633556
11-9131,Postmasters and Mail Superintendents,Management Occupations,49.23968209,24.12534211,8.446798307,4.012336217,9.57245343,3.082752029
11-9141,"Property, Real Estate, and Community Association Managers",Management Occupations,48.94965785,28.881761,9.597150178,3.735803478,6.426893107,0.308050088
11-9151,Social and Community Service Managers,Management Occupations,48.00876874,23.13199954,7.730220248,7.564858356,8.037053952,1.544636644
11-9161,Emergency Management Directors,Management Occupations,47.66237009,22.11875334,11.2035029,6.979226082,5.475783312,1.88510446
13-1031,"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations Occupations,52.38475436,18.77131084,18.9997801,3.18982668,7.295756378,4.128080362
13-1032,"Insurance Appraisers, Auto Damage",Business and Financial Operations Occupations,49.74300862,17.32684912,20.59869102,2.460295934,6.427570147,2.929602404
13-1041,Compliance Officers,Business and Financial Operations Occupations,49.78718072,15.94826208,21.14136826,5.228547956,4.372631656,3.096370769
13-1051,Cost Estimators,Business and Financial Operations Occupations,51.25614971,21.59924922,17.5668336,5.695013025,2.912411683,3.482642169
13-1081,Logisticians,Business and Financial Operations Occupations,48.71390386,24.57622788,8.927753015,7.892484057,4.154685639,3.162753277
13-1111,Management Analysts,Business and Financial Operations Occupations,48.10150377,20.52920553,11.22321999,9.698289746,4.497141573,2.153646927
13-1121,"Meeting, Convention, and Event Planners",Business and Financial Operations Occupations,47.95384182,24.50186164,8.259293452,5.667046416,7.879997303,1.645643013
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,51.47186939,18.86958799,16.45844947,9.764706671,2.117091369,4.262033888
13-1151,Training and Development Specialists,Business and Financial Operations Occupations,46.51041436,23.86325529,7.616937611,8.897684429,4.643674981,1.488862052
13-1161,Market Research Analysts and Marketing Specialists,Business and Financial Operations Occupations,48.98814871,16.87728894,15.04563874,9.973007039,2.719808914,4.372405078
13-2011,Accountants and Auditors,Business and Financial Operations Occupations,51.71788523,19.42595575,17.8616452,6.324174663,2.478085053,5.628024559
13-2021,Appraisers and Assessors of Real Estate,Business and Financial Operations Occupations,51.2369456,15.74769579,24.94064798,4.900761809,0.785621538,4.862218487
13-2031,Budget Analysts,Business and Financial Operations Occupations,53.3082597,18.24272642,19.57407469,5.927510402,3.347526577,6.216421612
13-2041,Credit Analysts,Business and Financial Operations Occupations,54.07225858,18.69294839,22.53299438,6.346180547,2.506288046,3.993847222
13-2051,Financial Analysts,Business and Financial Operations Occupations,51.8243024,16.95343363,21.17234439,6.187725916,3.082830879,4.427967581
13-2052,Personal Financial Advisors,Business and Financial Operations Occupations,49.42659359,21.29628897,15.48850502,8.148404547,2.631027995,1.862367058
13-2053,Insurance Underwriters,Business and Financial Operations Occupations,52.1820399,20.00804362,18.17133031,4.319002067,5.14925156,4.534412351
13-2061,Financial Examiners,Business and Financial Operations Occupations,49.6041939,18.18789442,15.75438688,8.355067765,2.981579861,4.325264973
13-2071,Credit Counselors,Business and Financial Operations Occupations,50.06014786,25.83106352,11.36123047,6.197052858,4.335824277,2.33497673
13-2072,Loan Officers,Business and Financial Operations Occupations,50.84877886,22.26800138,15.10319658,6.353193154,3.607668352,3.516719387
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations Occupations,52.4800076,19.66078722,19.02954258,4.383752325,3.684431576,5.721493899
13-2082,Tax Preparers,Business and Financial Operations Occupations,55.31945001,20.34143044,22.45890715,2.758090354,1.074251729,8.686770339
15-1121,Computer Systems Analysts,Computer and Mathematical Occupations,51.43267957,19.640803,14.93310885,6.335316406,4.050371396,6.473079912
15-1131,Computer Programmers,Computer and Mathematical Occupations,52.05345163,22.88744518,17.11309812,5.578567352,2.392583686,4.081757291
15-1132,"Software Developers, Applications",Computer and Mathematical Occupations,50.74571113,19.13545771,11.56737018,8.090685916,5.662796803,6.289400524
15-1133,"Software Developers, Systems Software",Computer and Mathematical Occupations,51.21941577,22.92128295,14.07754996,5.231837589,7.113337847,1.875407429
15-1141,Database Administrators,Computer and Mathematical Occupations,51.71663761,17.90159891,19.047967,7.224870146,3.548561837,3.993639725
15-1142,Network and Computer Systems Administrators,Computer and Mathematical Occupations,50.64050723,25.97236685,12.32757776,7.461184835,1.297942695,3.581435086
15-1151,Computer User Support Specialists,Computer and Mathematical Occupations,50.24658244,28.03766987,7.281480767,7.084141143,2.578060314,5.265230346
15-1199,"Computer Occupations, All Other",Computer and Mathematical Occupations,50.9773127,17.58945903,17.47037414,7.940540852,2.908374456,5.068564219
15-2011,Actuaries,Computer and Mathematical Occupations,51.40226893,13.76285185,20.66363843,9.333399743,1.859607576,5.782771337
15-2021,Mathematicians,Computer and Mathematical Occupations,50.81841184,9.416797644,22.85216766,9.391423229,3.43566927,5.722354036
15-2031,Operations Research Analysts,Computer and Mathematical Occupations,49.9750324,13.24920403,18.94001421,10.91037215,2.901622872,3.973819137
15-2041,Statisticians,Computer and Mathematical Occupations,52.1819082,13.18184152,23.10499686,7.89605431,1.386948421,6.612067089
17-1011,"Architects, Except Landscape and Naval",Architecture and Engineering Occupations,48.60756164,20.27954449,13.305649,6.37911032,4.924582012,3.718675822
17-1012,Landscape Architects,Architecture and Engineering Occupations,47.50512171,25.23461314,8.187303872,6.142823219,4.52804686,3.41233461
17-1021,Cartographers and Photogrammetrists,Architecture and Engineering Occupations,51.67473954,19.09494351,20.71073867,3.912040376,3.183884302,4.773132677
17-1022,Surveyors,Architecture and Engineering Occupations,49.46474967,14.86301226,23.93012963,3.079472172,5.710927335,1.881208278
17-2011,Aerospace Engineers,Architecture and Engineering Occupations,49.44277826,15.63661093,18.75219251,7.983995928,3.84974438,3.220234503
17-2021,Agricultural Engineers,Architecture and Engineering Occupations,49.02024302,17.57210623,18.66220299,6.556811971,2.627716177,3.601405656
17-2031,Biomedical Engineers,Architecture and Engineering Occupations,49.15931613,21.29656718,14.08329192,7.387056582,3.796893672,2.595506784
17-2041,Chemical Engineers,Architecture and Engineering Occupations,50.007425,14.05684107,19.81296921,6.634818254,5.769210367,3.733586095
17-2051,Civil Engineers,Architecture and Engineering Occupations,48.97365419,18.23580955,17.88924458,6.247695441,2.934023775,3.666880844
17-2061,Computer Hardware Engineers,Architecture and Engineering Occupations,50.14227875,21.86350573,14.06972224,6.842342081,3.420745434,3.945963264
17-2071,Electrical Engineers,Architecture and Engineering Occupations,50.04940237,20.31354141,14.5245505,6.454948522,3.986955791,4.769406144
17-2072,"Electronics Engineers, Except Computer",Architecture and Engineering Occupations,50.0871958,20.05441133,16.90143341,5.075669182,4.433293784,3.622388096
17-2081,Environmental Engineers,Architecture and Engineering Occupations,48.82023289,19.0855593,16.62296866,6.388296795,5.284584072,1.438824063
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering Occupations,48.78992833,15.9741585,18.35158127,7.442052154,3.651555957,3.370580439
17-2112,Industrial Engineers,Architecture and Engineering Occupations,49.7749422,18.12019355,17.14669601,4.690777567,7.42321234,2.39406274
17-2121,Marine Engineers and Naval Architects,Architecture and Engineering Occupations,49.2780075,15.53584633,20.18583831,5.169178874,4.714331443,3.672812547
17-2131,Materials Engineers,Architecture and Engineering Occupations,49.67390979,16.4879827,19.66222946,5.977919031,4.567423447,2.978355155
17-2141,Mechanical Engineers,Architecture and Engineering Occupations,50.14538997,18.21045336,16.48942678,6.431619787,5.157890013,3.856000035
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture and Engineering Occupations,49.64534806,18.3234465,17.29360503,6.850311388,3.441434292,3.736550848
17-2161,Nuclear Engineers,Architecture and Engineering Occupations,50.38149737,15.34146191,19.21731849,6.416232991,5.001873152,4.404610827
17-2171,Petroleum Engineers,Architecture and Engineering Occupations,49.27592343,20.87352543,15.43253656,6.513932786,3.124712695,3.331215964
17-3011,Architectural and Civil Drafters,Architecture and Engineering Occupations,52.57157585,24.91817967,16.38738684,3.112939297,2.864288932,5.288781102
17-3012,Electrical and Electronics Drafters,Architecture and Engineering Occupations,53.64637874,25.3765703,10.27488576,4.062509858,3.659180518,10.2732323
17-3013,Mechanical Drafters,Architecture and Engineering Occupations,51.23363254,24.97217898,12.78835195,4.355703674,3.885267979,5.232129949
17-3022,Civil Engineering Technicians,Architecture and Engineering Occupations,51.26552541,14.41264529,25.80925046,4.041886568,4.887696211,2.114046892
17-3023,Electrical and Electronics Engineering Technicians,Architecture and Engineering Occupations,50.50411145,20.64160788,18.86007818,3.3474902,4.915436991,2.739498191
17-3024,Electro-Mechanical Technicians,Architecture and Engineering Occupations,51.07045484,14.77820025,23.31083672,1.405784908,8.088025352,3.487607616
17-3025,Environmental Engineering Technicians,Architecture and Engineering Occupations,49.37666769,13.31215128,22.45159934,3.85370094,6.160341243,3.598874889
17-3026,Industrial Engineering Technicians,Architecture and Engineering Occupations,49.45519503,16.01135583,16.12750449,5.131701927,9.05376695,3.130865825
17-3027,Mechanical Engineering Technicians,Architecture and Engineering Occupations,50.47926552,15.65524979,22.97220276,3.678118363,5.288232022,2.885462586
17-3031,Surveying and Mapping Technicians,Architecture and Engineering Occupations,52.53005792,14.40730556,28.12773423,2.280742372,2.131429122,5.582846641
19-1011,Animal Scientists,"Life, Physical, and Social Science Occupations",47.99078993,14.83616912,18.85287384,7.881124058,2.838550112,3.582072806
19-1012,Food Scientists and Technologists,"Life, Physical, and Social Science Occupations",49.3949255,18.90032887,17.05053643,5.110594172,4.827105526,3.506360506
19-1013,Soil and Plant Scientists,"Life, Physical, and Social Science Occupations",48.35323409,14.57382291,18.50638855,8.953433489,2.775313402,3.544275746
19-1021,Biochemists and Biophysicists,"Life, Physical, and Social Science Occupations",48.9512591,14.93871976,16.92074405,7.073133051,5.26798557,4.750676668
19-1022,Microbiologists,"Life, Physical, and Social Science Occupations",50.04957693,13.21421135,19.23537112,5.836320122,5.834531073,5.929143264
19-1023,Zoologists and Wildlife Biologists,"Life, Physical, and Social Science Occupations",48.64117352,15.6471781,20.12226991,6.297229352,4.557913928,2.016582237
19-1031,Conservation Scientists,"Life, Physical, and Social Science Occupations",47.42440174,16.77210835,18.55731721,5.348078775,5.487263915,1.259633494
19-1032,Foresters,"Life, Physical, and Social Science Occupations",47.93870075,16.27653699,18.25079181,5.719482307,5.633840976,2.05804867
19-1041,Epidemiologists,"Life, Physical, and Social Science Occupations",48.99084192,16.18575194,16.99371506,8.928459337,2.852493091,4.030422495
19-1042,"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science Occupations",49.48862688,16.23342259,16.65505329,7.407027402,4.026948002,5.166175597
19-2011,Astronomers,"Life, Physical, and Social Science Occupations",48.84368386,13.08156403,22.52433106,7.29009611,3.270660545,2.67703211
19-2021,Atmospheric and Space Scientists,"Life, Physical, and Social Science Occupations",48.99275453,16.95875026,17.10316349,7.533983201,2.254632491,5.142225091
19-2031,Chemists,"Life, Physical, and Social Science Occupations",51.46611859,15.89011628,20.95092179,5.021219504,4.853845735,4.750015268
19-2032,Materials Scientists,"Life, Physical, and Social Science Occupations",49.07000784,15.24002042,17.83418336,7.115752333,5.829953917,3.050097797
19-2041,"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science Occupations",49.65204251,16.41912145,19.81842941,7.563796434,2.295105608,3.555589615
19-2042,"Geoscientists, Except Hydrologists and Geographers","Life, Physical, and Social Science Occupations",49.09223522,13.54044969,22.56737679,6.737532937,3.058340142,3.188535659
19-2043,Hydrologists,"Life, Physical, and Social Science Occupations",49.48739262,15.13127406,21.03346839,6.625880704,3.338912266,3.357857197
19-3011,Economists,"Life, Physical, and Social Science Occupations",49.02622292,15.30063418,19.10375148,10.36164038,3.18779312,1.072403758
19-3022,Survey Researchers,"Life, Physical, and Social Science Occupations",49.63370368,23.04152163,13.41994396,7.40602325,2.752158608,3.014056229
19-3031,"Clinical, Counseling, and School Psychologists","Life, Physical, and Social Science Occupations",47.18788034,21.36198824,10.9055397,7.097799534,6.938498096,0.884054771
19-3032,Industrial-Organizational Psychologists,"Life, Physical, and Social Science Occupations",48.30703094,22.31345053,10.56403082,8.285956141,4.31151298,2.832080473
19-3041,Sociologists,"Life, Physical, and Social Science Occupations",46.89508485,19.51280458,14.02436825,8.812386861,3.805524363,0.740000795
19-3051,Urban and Regional Planners,"Life, Physical, and Social Science Occupations",48.10074127,23.99419298,9.382306241,7.365587529,5.661545346,1.697109176
19-3091,Anthropologists and Archeologists,"Life, Physical, and Social Science Occupations",47.80072885,16.761455,17.61727183,7.639937507,2.520636692,3.261427815
19-3092,Geographers,"Life, Physical, and Social Science Occupations",48.47166116,16.44474411,16.52466926,7.755285016,2.635370368,5.111592405
19-3093,Historians,"Life, Physical, and Social Science Occupations",47.68198236,20.48932133,14.67659078,8.82173905,2.094145987,1.600185209
19-3094,Political Scientists,"Life, Physical, and Social Science Occupations",47.05759086,19.23384347,13.17015156,9.906220182,3.211789527,1.535586121
19-4011,Agricultural and Food Science Technicians,"Life, Physical, and Social Science Occupations",51.45154399,9.983106605,30.14250943,2.185509247,5.735434252,3.404984454
19-4021,Biological Technicians,"Life, Physical, and Social Science Occupations",51.03030176,11.64189494,24.72130536,3.960861108,5.505404903,5.200835444
19-4031,Chemical Technicians,"Life, Physical, and Social Science Occupations",51.90570973,13.83387404,21.31113421,3.945574829,7.042568771,5.772557883
19-4051,Nuclear Technicians,"Life, Physical, and Social Science Occupations",50.94023281,7.877796213,27.03164531,1.105981839,11.53594195,3.38886749
19-4091,"Environmental Science and Protection Technicians, Including Health","Life, Physical, and Social Science Occupations",49.47101392,13.57525195,25.49363963,3.837569718,4.947857479,1.616695132
19-4092,Forensic Science Technicians,"Life, Physical, and Social Science Occupations",49.55766038,11.79983367,25.41688547,2.965488584,5.568012891,3.807439767
19-4093,Forest and Conservation Technicians,"Life, Physical, and Social Science Occupations",48.03053237,10.88968817,22.09149901,2.394829015,11.38715625,1.267359931
21-1012,"Educational, Guidance, School, and Vocational Counselors",Community and Social Service Occupations,47.09748379,21.00571845,6.654058484,7.975549414,10.8011047,0.66105274
21-1013,Marriage and Family Therapists,Community and Social Service Occupations,47.39179797,18.27077996,9.196747271,8.25095404,9.72900844,1.94430826
21-1015,Rehabilitation Counselors,Community and Social Service Occupations,47.28327018,23.78542111,4.991673072,6.65330746,10.57812496,1.274743588
21-1021,"Child, Family, and School Social Workers",Community and Social Service Occupations,48.1108828,21.80992635,9.405335343,5.687032541,9.899141643,1.309446927
21-1022,Healthcare Social Workers,Community and Social Service Occupations,47.39044759,19.97184393,8.60355947,6.719089048,11.42116801,0.674787132
21-1023,Mental Health and Substance Abuse Social Workers,Community and Social Service Occupations,47.84320133,19.28878348,10.58040273,5.975665873,9.892938615,2.105410632
21-1091,Health Educators,Community and Social Service Occupations,46.76467851,26.0073123,5.897268439,7.507814109,6.768371748,0.583911922
21-1092,Probation Officers and Correctional Treatment Specialists,Community and Social Service Occupations,49.1806357,19.86912503,10.83391226,4.688531558,12.69257,1.096496849
21-1093,Social and Human Service Assistants,Community and Social Service Occupations,48.20730563,20.64545461,9.110700581,4.063761646,13.18304633,1.204342454
21-2011,Clergy,Community and Social Service Occupations,46.68964987,23.97449661,6.798858179,7.072773082,7.352874553,1.490647441
21-2021,"Directors, Religious Activities and Education",Community and Social Service Occupations,46.52164195,27.14484102,3.814398027,7.939194374,7.051312879,0.571895657
23-1011,Lawyers,Legal Occupations,49.20237755,18.0679511,12.34027429,6.899235801,7.670106587,4.22480978
23-1012,Judicial Law Clerks,Legal Occupations,51.43769509,21.91817095,16.81469511,6.941884237,0.454037035,5.308907754
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal Occupations,50.70449471,16.06933566,16.63097036,6.226806751,6.711441621,5.065940324
23-1022,"Arbitrators, Mediators, and Conciliators",Legal Occupations,47.93822724,19.46114308,7.456909292,7.717395602,13.30277927,0
23-1023,"Judges, Magistrate Judges, and Magistrates",Legal Occupations,49.22778804,16.36530958,14.58871263,7.675303011,7.928436819,2.670025999
23-2011,Paralegals and Legal Assistants,Legal Occupations,53.36851772,29.96415916,10.98939871,4.462137337,1.991797286,5.961025232
23-2091,Court Reporters,Legal Occupations,54.99039666,16.9841167,24.14654886,1.579172172,0.993831901,11.28672703
23-2093,"Title Examiners, Abstractors, and Searchers",Legal Occupations,54.49419917,15.47081998,22.63791845,3.937786739,3.190568993,9.257104999
25-1011,"Business Teachers, Postsecondary","Education, Training, and Library Occupations",46.67389836,22.37309131,11.07132718,9.958945167,2.340303613,0.930231089
25-1021,"Computer Science Teachers, Postsecondary","Education, Training, and Library Occupations",47.15000245,21.71119659,10.85322764,9.938224408,2.210971747,2.436382072
25-1022,"Mathematical Science Teachers, Postsecondary","Education, Training, and Library Occupations",47.68716965,17.7220527,16.18092393,11.07534442,1.723864014,0.9849846
25-1031,"Architecture Teachers, Postsecondary","Education, Training, and Library Occupations",45.74592678,21.05646752,6.178906169,10.70699342,5.856911552,1.946648126
25-1032,"Engineering Teachers, Postsecondary","Education, Training, and Library Occupations",47.97906013,17.71215073,12.30290436,7.393015325,6.594084234,3.976905482
25-1041,"Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library Occupations",47.01942535,22.93930709,11.13218483,9.916192005,2.66384845,0.367892975
25-1042,"Biological Science Teachers, Postsecondary","Education, Training, and Library Occupations",46.24192398,22.22937077,10.80582701,9.461649066,2.862139125,0.882938007
25-1043,"Forestry and Conservation Science Teachers, Postsecondary","Education, Training, and Library Occupations",47.1955107,23.21598355,11.67418811,7.809597767,3.58769055,0.908050721
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Education, Training, and Library Occupations",47.29791837,19.76984123,13.47631888,9.29511497,4.08465613,0.67198716
25-1052,"Chemistry Teachers, Postsecondary","Education, Training, and Library Occupations",46.83148603,17.69298945,12.9446673,10.08846799,5.287570523,0.817790759
25-1053,"Environmental Science Teachers, Postsecondary","Education, Training, and Library Occupations",46.77466003,21.99957256,11.04023433,9.05407697,3.477343519,1.203432651
25-1054,"Physics Teachers, Postsecondary","Education, Training, and Library Occupations",47.36443497,19.38489505,14.150898,9.24102023,3.600845637,0.986776047
25-1061,"Anthropology and Archeology Teachers, Postsecondary","Education, Training, and Library Occupations",46.288306,20.55031163,9.411273675,10.52722599,3.954197745,1.84529695
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Education, Training, and Library Occupations",46.46229143,19.74967679,13.52929812,8.810523679,3.877115164,0.49567767
25-1063,"Economics Teachers, Postsecondary","Education, Training, and Library Occupations",47.07694338,20.55564874,13.81733232,9.710866158,1.895178877,1.097917297
25-1064,"Geography Teachers, Postsecondary","Education, Training, and Library Occupations",46.77832652,22.34544633,12.35916746,9.299748849,2.581511475,0.192452409
25-1065,"Political Science Teachers, Postsecondary","Education, Training, and Library Occupations",45.80018119,20.70022735,10.92253406,10.69319929,3.096944191,0.387276298
25-1066,"Psychology Teachers, Postsecondary","Education, Training, and Library Occupations",45.63585071,22.40744826,8.925967675,11.38222806,2.037869799,0.882336918
25-1067,"Sociology Teachers, Postsecondary","Education, Training, and Library Occupations",45.45687588,24.64380816,8.026710931,9.65174273,2.885273976,0.249340083
25-1071,"Health Specialties Teachers, Postsecondary","Education, Training, and Library Occupations",46.75654024,19.58744688,10.09027275,9.101357944,6.613647289,1.363815373
25-1072,"Nursing Instructors and Teachers, Postsecondary","Education, Training, and Library Occupations",46.95851869,18.849314,11.91314625,8.547441246,6.496840301,1.151776893
25-1081,"Education Teachers, Postsecondary","Education, Training, and Library Occupations",46.22850071,24.12699339,7.413446365,10.01098652,3.971306241,0.70576819
25-1082,"Library Science Teachers, Postsecondary","Education, Training, and Library Occupations",47.03044355,23.34775911,9.972876466,10.0174313,2.406634332,1.285742339
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Education, Training, and Library Occupations",46.29293748,22.44376718,8.354324708,9.867055792,4.878194334,0.749595471
25-1112,"Law Teachers, Postsecondary","Education, Training, and Library Occupations",45.91405029,24.23400922,8.9643016,9.843843482,2.322125511,0.549770479
25-1113,"Social Work Teachers, Postsecondary","Education, Training, and Library Occupations",45.71887475,21.01461612,9.357614227,11.77731312,2.897701402,0.671629878
25-1121,"Art, Drama, and Music Teachers, Postsecondary","Education, Training, and Library Occupations",44.55239375,28.23199786,2.120607904,9.832885263,3.84841656,0.518486158
25-1122,"Communications Teachers, Postsecondary","Education, Training, and Library Occupations",45.58077318,23.93152643,7.140744057,10.70039373,3.296199019,0.51190994
25-1123,"English Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations",45.32266493,22.32882485,6.720103805,10.97016066,4.889295313,0.414280313
25-1124,"Foreign Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations",45.65314676,25.11819581,5.013881424,11.97016035,3.028895711,0.522013464
25-1125,"History Teachers, Postsecondary","Education, Training, and Library Occupations",45.4865174,24.66645317,6.395490245,10.69203438,2.747877432,0.984662175
25-1126,"Philosophy and Religion Teachers, Postsecondary","Education, Training, and Library Occupations",44.99079988,21.37873414,8.426611889,12.726166,1.697253086,0.762034764
25-1191,Graduate Teaching Assistants,"Education, Training, and Library Occupations",46.4773648,31.5508942,3.596402291,4.510677624,6.81939069,0
25-1192,"Home Economics Teachers, Postsecondary","Education, Training, and Library Occupations",46.56667015,23.10360236,8.091365837,10.12405796,4.198667229,1.048976767
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","Education, Training, and Library Occupations",46.06113237,23.19427791,8.010602838,10.16771398,3.684852109,1.003685538
25-1194,"Vocational Education Teachers, Postsecondary","Education, Training, and Library Occupations",44.92601587,26.02998849,4.833896974,5.991657975,8.070472434,0
25-2011,"Preschool Teachers, Except Special Education","Education, Training, and Library Occupations",45.12156143,16.25273582,8.735803427,4.857770754,14.1438682,1.131383217
25-2012,"Kindergarten Teachers, Except Special Education","Education, Training, and Library Occupations",45.45160295,21.26214467,6.46301819,6.266057401,11.08511697,0.375265723
25-2021,"Elementary School Teachers, Except Special Education","Education, Training, and Library Occupations",46.40577728,18.75364635,8.699189205,7.308228359,9.472756226,2.171957143
25-2022,"Middle School Teachers, Except Special and Career/Technical Education","Education, Training, and Library Occupations",47.1140211,21.09686703,7.994886644,7.144058797,9.825863133,1.052345489
25-2023,"Career/Technical Education Teachers, Middle School","Education, Training, and Library Occupations",47.03673302,20.68129801,9.759957898,7.013317835,8.048355376,1.533803901
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","Education, Training, and Library Occupations",46.52132882,19.43014705,8.193719718,9.046558285,8.12115814,1.729745624
25-2032,"Career/Technical Education Teachers, Secondary School","Education, Training, and Library Occupations",46.94729121,21.26995363,9.137063696,7.077160247,7.46280864,2.000304998
25-2053,"Special Education Teachers, Middle School","Education, Training, and Library Occupations",47.21281383,20.23965958,8.002001564,6.595189592,10.30879818,2.067164915
25-2054,"Special Education Teachers, Secondary School","Education, Training, and Library Occupations",47.13044339,20.41183093,8.281492941,7.321316212,9.251255527,1.86454778
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"Education, Training, and Library Occupations",45.02783713,21.9856143,6.440087062,8.430952254,7.372677903,0.798505616
25-3021,Self-Enrichment Education Teachers,"Education, Training, and Library Occupations",43.93802798,26.41001701,5.315315045,3.973115833,7.224800078,1.01478001
25-4011,Archivists,"Education, Training, and Library Occupations",49.95100494,26.58531821,9.8488265,5.339221166,1.164157551,7.013481513
25-4012,Curators,"Education, Training, and Library Occupations",47.60502382,20.59005053,11.67944752,7.669288151,4.227606074,3.438631551
25-4013,Museum Technicians and Conservators,"Education, Training, and Library Occupations",46.76006809,11.24857563,22.55032804,4.441441184,4.947749971,3.571973269
25-4021,Librarians,"Education, Training, and Library Occupations",48.31517322,25.07716028,7.508320428,6.402880974,3.211055261,6.115756281
25-4031,Library Technicians,"Education, Training, and Library Occupations",51.01513818,21.47997729,11.38806309,1.201675088,10.41937719,6.526045522
25-9011,Audio-Visual and Multimedia Collections Specialists,"Education, Training, and Library Occupations",48.56520027,27.62362309,11.45224915,4.692308301,2.877220588,1.919799142
25-9021,Farm and Home Management Advisors,"Education, Training, and Library Occupations",46.98649548,21.57935886,13.30165856,8.022860673,2.396629923,1.685987465
25-9031,Instructional Coordinators,"Education, Training, and Library Occupations",47.49458083,23.32515707,7.793514528,8.440123154,5.042790876,2.892995207
25-9041,Teacher Assistants,"Education, Training, and Library Occupations",46.88404727,15.39879287,8.064728292,1.339278339,22.08124777,0
27-1011,Art Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",48.7652466,22.21238547,7.166931225,6.651501064,7.108590199,5.625838638
