,State,Metropolitan Areas,Race with the Machine,Communication,Interpersonal Task,Group Task,Race against the Machine,Routine Problem Solving,Information Processing,General Physical Task,Machine Control,Hazardous Task,Race ahead of the Machine,Systems Analysis,Creative and Critical Thinking,Running a Different Race,Dynamic Physical Task,Equipment Maintenance,Vehicle and Equipment Operation,Conflict Resolution,Management and Supervision
24,AZ,Yuma,0.0230851895009644,0.009788215149238742,0.009567236481655528,0.0037297378700701257,-0.01858492524325228,-0.0033005714572872033,-0.0021333754541640253,-0.0064598217264166535,-0.0014332417442924005,-0.005257914861092009,0.00035854835517878936,0.0006231627981454265,-0.00026461444296663715,0.0016505248922890905,-0.0035857081429667773,-0.0013504467425204411,-0.006224789876510289,0.008576461938036076,0.0042350077162505205
25,CA,Bakersfield,0.007634819130628066,0.001923017844341214,0.0032877246267076147,0.0024240766595792444,-0.015572934110375525,-0.0068081509678923615,-0.002958312202283445,-0.0019642568048621888,-0.0009449223754889047,-0.0028972917598486143,-0.0008056752363239626,3.758230455504739e-05,-0.0008432575408790118,0.0038560249722003337,0.0022268744223279268,-0.001524745718383274,-0.0027080832534610443,0.003970857342530651,0.0018911221791860571
26,CA,Chico,0.004208925628810048,-0.0001044415966919357,0.002123987671247024,0.0021893795542549475,-0.01876695536276657,-0.010917519552487695,-0.0055392942916375225,-0.0009276751386201114,-0.0001711199666398107,-0.0012113464133814422,0.00010502249840989296,0.0005421596948355731,-0.0004371371964256802,0.0032878785697097452,-0.004441028194462854,0.00016202311279917694,-0.002573208011780657,0.005816911330894084,0.004323180332259983
27,CA,El Centro,0.01695281277708141,0.0060798198843839,0.007847023806904968,0.00302596908579254,-0.019596812286117867,-0.004662478475407017,-0.003226889119568782,-0.002655546976949141,-0.0017415791644331544,-0.007310318549759758,-0.0026103796068473045,-0.00023840535893327432,-0.0023719742479140307,-0.0056606042246370725,-0.002538848138599434,-0.002978015473862526,-0.015053702796646654,0.012491126546241876,0.0024188356382296647
28,CA,Fresno,0.012032093057039936,0.003844503091291217,0.0053523499480512965,0.0028352400176974327,-0.015694006248937353,-0.007852061045238772,-0.00304098468503896,-0.0006463593838880662,-0.0009864651733053828,-0.0031681359614661626,-0.0017746323390670227,-0.00034220050072568745,-0.0014324318383413352,0.010901273872888669,0.0018055426225035487,-0.0010821196696575114,-0.0022623371571465073,0.009755808483307751,0.0026843795938813753
29,CA,Hanford-Corcoran,0.011787068804374743,0.00552960739687542,0.0035199542553727634,0.002737507152126558,-0.01000510866295537,-0.009986171568931695,-0.0048938044629044655,0.0023653979763228195,0.00045708845409945734,0.002052380938458529,-0.003381570508442577,-0.0009143057427615561,-0.002467264765681021,0.01887412313100434,0.003279000952539364,-0.0010935704049448627,0.007588542220007766,0.007427349418120989,0.0016728009452810914
30,CA,Los Angeles-Long Beach-Anaheim,0.006799622108689785,0.0003228037090903732,0.0037890706099749155,0.0026877477896244863,-0.015417274103372984,-0.008435321124886784,-0.0035199747411090447,-0.0011468304880727224,-0.000565814487330122,-0.0017493332619743266,-0.00018421776658630182,8.209526203040857e-05,-0.0002663130286167138,0.00764506037841578,0.0006330050162126899,-0.0016030304344060355,-0.0022908124707398496,0.007364580550120119,0.0035413177172288718
31,CA,Madera,0.0048073037838676225,-0.0016080845658949306,0.0038666542356473946,0.0025487341141151552,-0.014254979415776163,-0.012017333699311922,-0.004994278327415596,0.003290369926618901,0.00048717017827609033,-0.0010209074939436444,-0.002177142470552014,-0.0009288505206436949,-0.001248291949908319,0.018196838494225653,0.008167393277010195,-0.0003862689231271775,0.002371065639904059,0.00598698688763299,0.002057661612805607
32,CA,Merced,0.003802421828860647,-0.0017126479770366925,0.002722736065073193,0.002792333740824153,-0.018240040948097003,-0.00947069335602523,-0.006207390308479732,-0.003085952255861002,0.000989672618642523,-0.0004656776463735669,-0.0045176107679903025,-0.00030043365704197217,-0.0042171771109483286,0.010733108775314193,0.001948297425267427,-0.0004113114074430213,0.0024231734281640327,0.005441912183475048,0.0013310371458507134
33,CA,Modesto,0.009669810771857064,0.002410704360256144,0.004152243786951199,0.003106862624649721,-0.016915925855999547,-0.00828262018044807,-0.004546900388060365,-0.003219535886547921,0.00032250246802669613,-0.0011893718689698768,-0.0021702836485179254,-0.0004376285947810775,-0.0017326550537368481,0.005983734007452085,-0.002172482130314027,-0.0005025915165420575,0.00017984373759221542,0.006448621158057159,0.0020303427586588034
34,CA,Napa,0.0076169368460809045,-0.0011571692955638024,0.007300043048064676,0.0014740630935800511,-0.021046275003067216,-0.01196635161688974,-0.004932522784835677,-3.1810888531068344e-05,-0.0010375970477098995,-0.00307799266510083,-0.0024450525981126532,-0.0007741098625113525,-0.001670942735601302,0.005953818721888715,0.000556099805932575,-0.001160924319099187,-0.0040987288160379476,0.007128060966749464,0.0035293110843438243
35,CA,Oxnard-Thousand Oaks-Ventura,0.00991058708660894,0.0011412839421622025,0.00602867696197449,0.002740626182472257,-0.015944163123226163,-0.008195646132855922,-0.004065936330596222,-0.0017359115325355225,-0.0005254436159720273,-0.0014212255112664753,-0.0019026662395828996,-0.0009103829873252176,-0.00099228325225768,0.0070745831543471685,-0.00015172001077488897,-0.001628966696122865,-0.002342627968939075,0.008294744355887132,0.0029031534742968816
36,CA,Redding,0.01680957481828152,0.005809414849891351,0.007804563248694392,0.0031955967196957685,-0.013625621289643895,-0.007654248942583638,-0.0009252680530146483,-0.002561166028528225,0.00040311986355828083,-0.002888058129075645,0.00039045911448517406,0.0011347798056641385,-0.0007443206911789678,0.004021849703613828,-0.0038546717585460077,-0.0005552479476217642,-0.007359067619971269,0.011219422434183451,0.004571414595569444
37,CA,Riverside-San Bernardino-Ontario,0.006521033471191387,-0.0003966315369982807,0.0035632153027575914,0.003354449705432087,-0.013796266069450336,-0.007656553636082211,-0.004885467983851977,9.182344063838471e-05,0.00016708694895175433,-0.0015131548391062938,-0.002708078625719985,-0.0006081237673834732,-0.002099954858336509,0.009002182345030169,0.00045359969906289677,-0.0008928753629371572,-0.0009140102214679481,0.007912508354321467,0.002442959876050928
38,CA,Sacramento--Roseville--Arden-Arcade,0.006795479434088314,0.0014876170266380705,0.00290337029270471,0.0024044921147455428,-0.01158113556447807,-0.009145950488779607,-0.004695755999942458,0.0017482086811738825,0.0004148986247230722,9.746361834707049e-05,-0.00037536273799158865,0.0004926506892960271,-0.0008680134272876157,0.01071522006474382,0.0013738553485990387,0.00021144267974745721,-0.0006251062237272037,0.006400293603952875,0.0033547346561716464
39,CA,Salinas,0.0024524937463547003,-0.0012833530831245984,0.001903982471434633,0.001831864358044668,-0.014489799783768631,-0.008991573402521658,-0.005493452089022903,0.001145988721077941,0.0004770858481417499,-0.001627848861443765,-0.0033808978903772657,-0.0013433666017738152,-0.002037531288603449,0.016363683190356443,0.005989473697126081,0.0001793300731529595,0.00449877322561873,0.003590786601746783,0.002105319592711836
40,CA,San Diego-Carlsbad,0.00696806590843467,0.0019757946441397514,0.0029358586298351697,0.0020564126344597526,-0.01288391582845688,-0.0068260977355400565,-0.0027424812560967182,-0.0019210441546492344,-1.5686329026903808e-05,-0.001378606353143949,6.606194602823412e-05,0.0008051989778547798,-0.0007391370318265493,0.0025282565645699533,-0.0031717364312713672,-0.0006465116591116688,-0.002369032728607341,0.004977071213037372,0.003738466170522953
41,CA,San Francisco-Oakland-Hayward,0.003616038910640385,0.000643160725260862,0.001088220125239077,0.0018846580601404488,-0.014683029633364012,-0.007610350279357081,-0.0028499102469326377,-0.001998414737849008,-0.0005536259535454356,-0.0016707284156798304,0.0014193624260541644,0.0017736910115597716,-0.0003543285855056033,0.0018075265585023594,-0.0028556645918098172,-0.0011323421048205894,-0.0019315575581701527,0.004299545582209387,0.003427545231093551
42,CA,San Jose-Sunnyvale-Santa Clara,0.012679916181987452,0.008127059913226063,0.002275657173679696,0.0022771990950817105,-0.009137117112867438,-0.002678150264887609,-0.0009354114312209381,-0.002710204222981492,-0.0012325828127606048,-0.0015807683810167975,0.001960217119372304,0.001100817730246607,0.0008593993891256972,-0.003276005054143577,-0.003072428647247653,-0.003020030812503814,-0.003057740919497287,0.0034806066628161915,0.002393588662288969
43,CA,San Luis Obispo-Paso Robles-Arroyo Grande,0.007141071367419344,0.0005272216546286304,0.004415717670436345,0.0021981320423543576,-0.017315400835260786,-0.009055960151780305,-0.00479585454905683,-0.00030068188798645923,-0.00016618388851127874,-0.002996720357925944,0.00019041618280965858,0.0013182255034571294,-0.0011278093206474706,0.0045623106721424675,-0.003032252241150828,-0.0006937481718744478,-0.001919808378025349,0.0059367100444903675,0.0042714094187027395
44,CA,Santa Cruz-Watsonville,0.003398634553110791,-0.0020326361882754274,0.0028792581951812626,0.002552012546204961,-0.01057373452527943,-0.009242001819064741,-0.004638801896882675,0.00034829995056312457,0.0015821545779084144,0.0013766146621964452,-0.00340451506289019,-0.0008027023894394901,-0.0026018126734507034,0.010251099633630469,-0.0007355065353379168,-2.530921004258516e-05,-0.0003908936215570348,0.007275498336509888,0.0041273106640581205
45,CA,Santa Maria-Santa Barbara,0.002641008682993204,-0.0038495046468606095,0.003867988025902117,0.0026225253039516947,-0.01584769555059981,-0.009922774429106204,-0.004783503193955773,-9.200498128707212e-05,-0.0003093791246939793,-0.000740033821556782,-0.000904261150116742,-8.64320643828055e-05,-0.0008178290857339399,0.010549779624493022,0.0011477253315524546,-0.0019886969661217745,1.1199162059750967e-05,0.006476970294884289,0.004902581802118316
46,CA,Santa Rosa,0.008314939662452836,0.000917068954030216,0.005053176430441196,0.0023446942779814218,-0.013841834044657664,-0.009411539413413687,-0.004411441751456462,0.0009045519381101972,-0.00019062212795318415,-0.0007327826899444952,-0.0023284888550878647,-0.0007627291363606106,-0.0015657597187272547,0.007478980866877927,0.00029086465736990336,-0.0007371096371485662,-0.0014389650475652089,0.006437292033075853,0.00292689886114594
47,CA,Stockton-Lodi,0.010555045762780465,0.0019386144355555551,0.005181983690243175,0.0034344476369817353,-0.01778973219910196,-0.008332947001975649,-0.004476914944241881,-0.005170002123235831,0.0003710707487988435,-0.00018093887844745568,-0.002533594627544874,-0.000865851836116897,-0.0016677427914279785,0.00951834008409655,-0.001008201515146974,-0.000576878133318812,0.0003573682588118923,0.008208780656630686,0.0025372708171197585
48,CA,Vallejo-Fairfield,0.006353705311386862,-0.00029266356120572634,0.0034828426153251037,0.003163526257267487,-0.009746377967733729,-0.007827605907158176,-0.00411152203615426,-0.0004604792070069738,0.0018121207722775687,0.0008411084103081036,-0.002379800813762472,-0.00016303603469807956,-0.0022167647790643907,0.009130498870036445,-0.003514736843997696,0.0013442074829131574,-0.0005513418271002253,0.00825934766545137,0.0035930223927698353
49,CA,Visalia-Porterville,0.004350008391702104,-0.0004124627437708249,0.0025159095179509428,0.002246561617521993,-0.020075268877973614,-0.009823517627993428,-0.005181394777320075,-0.0014256270670468807,-0.000910671109319857,-0.002734058296293425,-0.002384160950136046,-0.0006875063955503746,-0.001696654554585673,0.0073647415646952985,0.0041610128571405655,-0.00147925522545885,-2.440557813641192e-05,0.004109976434012383,0.0005974130771376381
50,CA,Yuba City,0.007351254918408517,0.0009742282250434984,0.003858223025420743,0.002518803667944283,-0.01398316888562548,-0.009841819531382363,-0.004363452435901218,0.0001631710129800859,0.0011175800064507392,-0.001058647937772713,-0.001227679850884185,0.0003395572998347203,-0.0015672371507189052,0.00881969324308518,-0.000338025451734926,-0.00039182266098397237,-0.0007917678011014756,0.008648850199943985,0.0016924589569615872
51,CO,Boulder,0.0024147219715531104,-0.0006325251383998559,0.0013345573844084704,0.001712689725544515,-0.01256630410231882,-0.007614448163573692,-0.002463722615343715,-0.0021269572324826287,-0.00044201537779802597,8.083928687927995e-05,-0.00025412839671035137,-0.0010076729190221408,0.0007535445223117894,-0.0004230851884207687,-0.0045113862667160295,-0.0022740692520862517,-0.0013832460583502735,0.003422452758713869,0.004323163630017928
52,CO,Colorado Springs,0.007542993133210594,0.0006542412716793039,0.004723530936753893,0.0021652209247774077,-0.018344145957437046,-0.008851325647074942,-0.005237462673444819,-0.0024417552477280433,-0.0005205198135994142,-0.0012930825755898096,-0.0010582515414585061,1.1406085343265704e-05,-0.001069657626801775,0.002633580811287506,-0.0050948287496222775,-0.0014325800404985515,-0.0005972795007055352,0.0057817497128611894,0.003976519389252694
53,CO,Denver-Aurora-Lakewood,0.005692151220174496,0.0006637423252677452,0.002890735280130806,0.0021376736147759295,-0.015489575199770069,-0.007726601302772661,-0.0028150953643025227,-0.002319192813199589,-0.0007423534049922492,-0.0018863323145030567,0.0010073452613669628,0.0006870048325224518,0.0003203404288445108,0.000658214902162696,-0.0037152782508396358,-0.0011107995624762817,-0.0027872656396159233,0.0047235226702560746,0.003548035684838486
54,CO,Fort Collins,0.007727492334744569,0.0029219190899552262,0.0024567822531218475,0.0023487909916675084,-0.013796131040941044,-0.006075236516484389,-0.0019107843714572387,-0.004499583197744947,0.0002971617228615178,-0.001607688678115983,0.003904329280298429,0.002624687429932757,0.0012796418503656715,-0.0019960152177251056,-0.009330568687601966,0.0003626725707555137,-0.0017183517423272135,0.00454197382617566,0.0041482588152729144
55,CO,Grand Junction,0.01396453453663965,0.003267325505779108,0.007297576599727491,0.003399632431133045,-0.02051238364758501,-0.007574212620354189,-0.0040534096265358865,-0.004512048025804585,-0.0009218539230425037,-0.0034508594518478067,0.0031037617779681344,0.0011902038644649292,0.0019135579135032047,0.0016723572797396336,-0.007850938772262095,-0.00041823235035082056,-0.00693124350464637,0.01096908073798624,0.005903691169012661
56,CO,Greeley,0.00419060692961698,-0.0020724135513206024,0.0034239186028084396,0.0028391018781291372,-0.012311793281165715,-0.009143033601559129,-0.005484775565677082,-0.003014914310140553,0.002426906444986686,0.0029040237512243626,-0.0012039647227210725,-3.737261286695763e-05,-0.001166592109854118,0.012067357036487869,-0.003239921286308241,0.0021506750693447464,0.004254734303785854,0.0056596532387649745,0.003242215710900553
57,CO,Pueblo,0.008713683971997468,-0.0005117180611233299,0.006093079082571437,0.003132322950549373,-0.016428434231575608,-0.008746049236198233,-0.003243722368803607,-0.004881864107515649,0.0006433928329376767,-0.00020019135199583413,0.003014434706374511,0.0015629166093810395,0.0014515180969934696,0.006378747853355377,-0.0082682123002986,0.0005327112494251055,-0.0004767183916537174,0.008561190408848583,0.006029776887034015
58,CT,Bridgeport-Stamford-Norwalk,0.008069668732603577,0.0007884405649526832,0.004464797871275072,0.0028164302963758357,-0.01821284060179904,-0.010024109495180136,-0.005016238662109235,-0.0010049517764213062,-0.0011392366387524867,-0.0010283040293358435,-0.0004971883854515137,-9.698918934445896e-05,-0.00040019919610705465,0.0036260763503375977,-0.0016181178978091348,-0.001998890975540769,-0.0018524430009791602,0.00534988636780543,0.003745641856861232
59,CT,Hartford-West Hartford-East Hartford,0.008462429068572155,0.0019121698194837157,0.00368797787622728,0.002862281372861148,-0.017775650859738312,-0.009910415083595372,-0.003974325306751889,-0.0015665031799023815,-0.0009991999197127117,-0.0013252073697759615,0.0005410663279865198,0.0005433514544744278,-2.285126487908129e-06,0.003061522242585601,-0.00235499616334775,-0.001486178288307046,-0.001081391926280064,0.004039806211991104,0.00394428240852937
60,CT,New Haven,0.009310961198737366,0.002418018851525067,0.004408846507918229,0.0024840958392940717,-0.016181977640162076,-0.009041607554394246,-0.004245716362420354,-0.0007457459314615528,-0.0009659562229042336,-0.0011829515689816758,-0.0020064549546172303,-0.0005004906656043575,-0.0015059642890128749,0.002912789709441449,-0.0025013194266890817,-0.0014482712612617528,-0.0016660600280495493,0.005882630316089634,0.0026458101093522306
61,CT-RI,Norwich-New London-Westerly,0.01052392894600479,0.002118000597360538,0.005942132386963978,0.002463795961680275,-0.014289970172892769,-0.007592660778820967,-0.004108148499019686,-0.0008164314998879776,-0.00033288658819100383,-0.0014398428069731376,-9.962664153650992e-05,0.0005487942056307937,-0.0006484208471673017,0.0066146034738744095,-0.003581150628741405,0.0005831964498218474,0.0005708126253417753,0.004666048089972348,0.004375696937479853
62,DC-VA-MD-WV,Washington-Arlington-Alexandria,0.0034045852821854017,-0.0007873295713062972,0.002579414917320721,0.001612499936170967,-0.020852531041276517,-0.008485700716530827,-0.004970870225925128,-0.003272780238138397,-0.0018626193778837395,-0.0022605604827984353,0.0005129742324317677,0.0005312255482576682,-1.8251315825900533e-05,-0.001501376126306464,-0.0037941777388907703,-0.0032217790163559423,-0.003036411746369844,0.00414969256559582,0.004401299809714262
63,DE,Dover,0.010617673227255443,0.001410556407244655,0.005575673651315442,0.0036314431686953435,-0.018834867038834302,-0.008394328367106824,-0.005978649339547313,-0.0050702201440379,0.0009299494131484836,-0.0003216186012907525,-0.001553747333525722,0.00014160877062141007,-0.0016953561041471322,0.006373940601635071,-0.007006732529273703,-0.000508697984605436,-0.00034432387730366076,0.00940232891262293,0.00483136608019494
64,FL,Cape Coral-Fort Myers,0.014776017100625816,0.0031895954378534518,0.008464101759519234,0.003122319903253146,-0.020394551803249672,-0.009302259988354315,-0.007005236491457914,-0.004068614263410896,0.00045614326511948447,-0.0004745843251460422,0.0010159580225385725,0.0002109516782510777,0.0008050063442874932,0.011155163509530995,-0.0048721130671346286,0.0009759956240282529,0.0002971077453024426,0.008446286135936683,0.00630788707139825
65,FL,Crestview-Fort Walton Beach-Destin,0.016001594280923487,0.0018452235229783204,0.010731781017496687,0.0034245897404484704,-0.020051516111734752,-0.008947106740982536,-0.005990887984661734,-0.004127089839083657,0.000253907063438058,-0.0012403386104448651,0.0008181377159728609,-1.801594702026052e-05,0.0008361536629931214,0.01275671255564595,-0.007360841031110481,-0.001310297757666501,0.0012397008430847928,0.010184835525275113,0.010003314976063023
